"Date","APU0000712407"
1980-04-01,0.47
1980-05-01,0.421
1980-06-01,0.385
1980-07-01,0.357
1980-08-01,0.301
1980-09-01,0.306
1980-10-01,0.393
1980-11-01,0.409
1980-12-01,NA
1981-01-01,NA
1981-02-01,NA
1981-03-01,NA
1981-04-01,NA
1981-05-01,0.455
1981-06-01,0.35
1981-07-01,0.38
1981-08-01,0.344
1981-09-01,0.335
1981-10-01,0.381
1981-11-01,NA
1981-12-01,0.452
1982-01-01,NA
1982-02-01,NA
1982-03-01,NA
1982-04-01,NA
1982-05-01,0.468
1982-06-01,0.446
1982-07-01,0.439
1982-08-01,0.334
1982-09-01,0.326
1982-10-01,0.359
1982-11-01,NA
1982-12-01,NA
1983-01-01,NA
1983-02-01,NA
1983-03-01,NA
1983-04-01,NA
1983-05-01,0.567
1983-06-01,0.382
1983-07-01,0.388
1983-08-01,0.373
1983-09-01,0.339
1983-10-01,NA
1983-11-01,NA
1983-12-01,NA
1984-01-01,NA
1984-02-01,NA
1984-03-01,NA
1984-04-01,NA
1984-05-01,0.496
1984-06-01,0.442
1984-07-01,0.458
1984-08-01,0.369
1984-09-01,0.38
1984-10-01,0.417
1984-11-01,NA
1984-12-01,NA
1985-01-01,NA
1985-02-01,NA
1985-03-01,NA
1985-04-01,NA
1985-05-01,0.496
1985-06-01,0.417
1985-07-01,0.387
1985-08-01,0.325
1985-09-01,0.311
1985-10-01,NA
1985-11-01,NA
1985-12-01,NA
1986-01-01,NA
1986-02-01,NA
1986-03-01,NA
1986-04-01,NA
1986-05-01,0.526
1986-06-01,0.365
1986-07-01,0.361
1986-08-01,0.316
1986-09-01,0.427
1986-10-01,0.49
1986-11-01,NA
1986-12-01,NA
1987-01-01,NA
1987-02-01,NA
1987-03-01,NA
1987-04-01,NA
1987-05-01,0.495
1987-06-01,0.449
1987-07-01,0.323
1987-08-01,0.307
1987-09-01,0.359
1987-10-01,0.401
1987-11-01,0.428
1987-12-01,0.566
1988-01-01,0.599
1988-02-01,0.662
1988-03-01,0.614
1988-04-01,0.684
1988-05-01,0.486
1988-06-01,0.47
