"Date","CUUR0300SEHA"
1977-12-01,66.4
1978-01-01,NA
1978-02-01,66.8
1978-03-01,NA
1978-04-01,67.9
1978-05-01,NA
1978-06-01,69.1
1978-07-01,NA
1978-08-01,69.8
1978-09-01,NA
1978-10-01,70.5
1978-11-01,NA
1978-12-01,72.2
1979-01-01,NA
1979-02-01,72.4
1979-03-01,NA
1979-04-01,72.9
1979-05-01,NA
1979-06-01,73.9
1979-07-01,NA
1979-08-01,75.1
1979-09-01,NA
1979-10-01,76.3
1979-11-01,NA
1979-12-01,77.1
1980-01-01,NA
1980-02-01,78.2
1980-03-01,NA
1980-04-01,79.6
1980-05-01,NA
1980-06-01,81.3
1980-07-01,NA
1980-08-01,81.9
1980-09-01,NA
1980-10-01,83.3
1980-11-01,NA
1980-12-01,84.6
1981-01-01,NA
1981-02-01,85.4
1981-03-01,NA
1981-04-01,86.6
1981-05-01,NA
1981-06-01,87.7
1981-07-01,NA
1981-08-01,89.2
1981-09-01,NA
1981-10-01,90.4
1981-11-01,NA
1981-12-01,92.5
1982-01-01,NA
1982-02-01,92.7
1982-03-01,NA
1982-04-01,93.5
1982-05-01,NA
1982-06-01,95
1982-07-01,NA
1982-08-01,96.3
1982-09-01,NA
1982-10-01,96.5
1982-11-01,NA
1982-12-01,98.3
1983-01-01,NA
1983-02-01,99.2
1983-03-01,NA
1983-04-01,99.4
1983-05-01,NA
1983-06-01,100.1
1983-07-01,NA
1983-08-01,101.1
1983-09-01,NA
1983-10-01,101.6
1983-11-01,NA
1983-12-01,101.9
1984-01-01,NA
1984-02-01,102.6
1984-03-01,NA
1984-04-01,104
1984-05-01,NA
1984-06-01,104
1984-07-01,NA
1984-08-01,104.9
1984-09-01,NA
1984-10-01,105.7
1984-11-01,NA
1984-12-01,106.9
1985-01-01,NA
1985-02-01,107.1
1985-03-01,NA
1985-04-01,107.1
1985-05-01,NA
1985-06-01,108.9
1985-07-01,NA
1985-08-01,109.9
1985-09-01,NA
1985-10-01,111.1
1985-11-01,NA
1985-12-01,111.3
1986-01-01,NA
1986-02-01,112.2
1986-03-01,NA
1986-04-01,113.2
1986-05-01,NA
1986-06-01,113.6
1986-07-01,NA
1986-08-01,113.8
1986-09-01,NA
1986-10-01,114.5
1986-11-01,NA
1986-12-01,114.7
1987-01-01,114.8
1987-02-01,115.3
1987-03-01,115.7
1987-04-01,115.7
1987-05-01,115.6
1987-06-01,115.1
1987-07-01,115.5
1987-08-01,116.1
1987-09-01,116.7
1987-10-01,116.7
1987-11-01,116.9
1987-12-01,117.5
1988-01-01,117.7
1988-02-01,117.7
1988-03-01,117.8
1988-04-01,117.9
1988-05-01,118.1
1988-06-01,118.3
1988-07-01,118.7
1988-08-01,119
1988-09-01,119.5
1988-10-01,119.3
1988-11-01,119.4
1988-12-01,120.2
1989-01-01,120.4
1989-02-01,120.4
1989-03-01,120.4
1989-04-01,121
1989-05-01,121.4
1989-06-01,121.6
1989-07-01,121.7
1989-08-01,122.4
1989-09-01,122.3
1989-10-01,122.4
1989-11-01,122.9
1989-12-01,123.3
1990-01-01,123.9
1990-02-01,124.1
1990-03-01,124.2
1990-04-01,124.6
1990-05-01,124.6
1990-06-01,125.4
1990-07-01,126.1
1990-08-01,126.8
1990-09-01,127.5
1990-10-01,127.8
1990-11-01,127.8
1990-12-01,127.9
1991-01-01,128
1991-02-01,128.8
1991-03-01,129.1
1991-04-01,129.6
1991-05-01,130.1
1991-06-01,129.9
1991-07-01,130.6
1991-08-01,130.6
1991-09-01,131.3
1991-10-01,131.6
1991-11-01,132.3
1991-12-01,132.2
1992-01-01,132.5
1992-02-01,132.5
1992-03-01,133.1
1992-04-01,133
1992-05-01,133.3
1992-06-01,133.9
1992-07-01,134.1
1992-08-01,134
1992-09-01,134
1992-10-01,134.8
1992-11-01,135.2
1992-12-01,135.6
1993-01-01,135.8
1993-02-01,136.1
1993-03-01,135.7
1993-04-01,136.2
1993-05-01,136.9
1993-06-01,137.2
1993-07-01,137.6
1993-08-01,138.4
1993-09-01,138.7
1993-10-01,139
1993-11-01,139
1993-12-01,139.4
1994-01-01,139.9
1994-02-01,140.3
1994-03-01,140.7
1994-04-01,140.9
1994-05-01,141.4
1994-06-01,141.4
1994-07-01,141.8
1994-08-01,142.5
1994-09-01,143.1
1994-10-01,143.4
1994-11-01,143.9
1994-12-01,143.9
1995-01-01,144.2
1995-02-01,144.6
1995-03-01,144.9
1995-04-01,145.2
1995-05-01,145.6
1995-06-01,145.8
1995-07-01,146.1
1995-08-01,146.4
1995-09-01,146.9
1995-10-01,147.4
1995-11-01,147.7
1995-12-01,148.1
1996-01-01,148.6
1996-02-01,149.1
1996-03-01,149.4
1996-04-01,149.8
1996-05-01,150.3
1996-06-01,150.7
1996-07-01,151.1
1996-08-01,151.5
1996-09-01,152
1996-10-01,152.2
1996-11-01,152.7
1996-12-01,152.8
1997-01-01,153.1
1997-02-01,153.3
1997-03-01,153.4
1997-04-01,153.9
1997-05-01,154.2
1997-06-01,154.7
1997-07-01,155.2
1997-08-01,155.5
1997-09-01,155.9
1997-10-01,156.2
1997-11-01,156.6
1997-12-01,156.8
1998-01-01,157.3
1998-02-01,157.6
1998-03-01,158
1998-04-01,158.5
1998-05-01,158.9
1998-06-01,159.3
1998-07-01,159.6
1998-08-01,160.3
1998-09-01,160.8
1998-10-01,161
1998-11-01,161.4
1998-12-01,161.7
1999-01-01,162
1999-02-01,162.3
1999-03-01,162.5
1999-04-01,162.7
1999-05-01,163.2
1999-06-01,163.5
1999-07-01,163.7
1999-08-01,164
1999-09-01,164.4
1999-10-01,164.6
1999-11-01,165.2
1999-12-01,165.5
2000-01-01,166
2000-02-01,166.3
2000-03-01,166.7
2000-04-01,167
2000-05-01,167.2
2000-06-01,167.4
2000-07-01,168
2000-08-01,168.5
2000-09-01,168.9
2000-10-01,169.4
2000-11-01,169.9
2000-12-01,170.5
2001-01-01,171
2001-02-01,171.5
2001-03-01,172
2001-04-01,172.4
2001-05-01,173
2001-06-01,173.5
2001-07-01,173.9
2001-08-01,174.6
2001-09-01,175.3
2001-10-01,176
2001-11-01,176.7
2001-12-01,177.3
2002-01-01,177.8
2002-02-01,178.2
2002-03-01,178.6
2002-04-01,179.1
2002-05-01,179.4
2002-06-01,180.2
2002-07-01,180.7
2002-08-01,181.1
2002-09-01,181.4
2002-10-01,181.8
2002-11-01,182.4
2002-12-01,182.6
2003-01-01,183.2
2003-02-01,183.4
2003-03-01,183.9
2003-04-01,184.2
2003-05-01,184.5
2003-06-01,184.7
2003-07-01,184.8
2003-08-01,185.3
2003-09-01,185.4
2003-10-01,185.8
2003-11-01,185.9
2003-12-01,186
2004-01-01,186.1
2004-02-01,186.3
2004-03-01,186.7
2004-04-01,186.9
2004-05-01,187.3
2004-06-01,187.6
2004-07-01,188.1
2004-08-01,188.8
2004-09-01,189.2
2004-10-01,189.6
2004-11-01,190.1
2004-12-01,190.7
2005-01-01,191.2
2005-02-01,191.6
2005-03-01,192.1
2005-04-01,192.5
2005-05-01,192.7
2005-06-01,192.9
2005-07-01,193.4
2005-08-01,193.7
2005-09-01,194.2
2005-10-01,194.7
2005-11-01,195.3
2005-12-01,196.1
2006-01-01,196.7
2006-02-01,197.3
2006-03-01,197.8
2006-04-01,198.3
2006-05-01,199.3
2006-06-01,200.2
2006-07-01,201.3
2006-08-01,202.5
2006-09-01,203.5
2006-10-01,204.6
2006-11-01,205.3
2006-12-01,206.3
2007-01-01,206.972
2007-02-01,207.752
2007-03-01,208.607
2007-04-01,209.272
2007-05-01,209.867
2007-06-01,210.276
2007-07-01,211.033
2007-08-01,211.653
2007-09-01,212.206
2007-10-01,213.217
2007-11-01,214.356
2007-12-01,214.881
2008-01-01,215.562
2008-02-01,216.082
2008-03-01,216.632
2008-04-01,217.238
2008-05-01,217.775
2008-06-01,218.694
2008-07-01,219.124
2008-08-01,220.161
2008-09-01,220.882
2008-10-01,221.279
2008-11-01,221.831
2008-12-01,222.006
2009-01-01,222.748
2009-02-01,222.855
2009-03-01,223.148
2009-04-01,223.467
2009-05-01,223.705
2009-06-01,224.035
2009-07-01,223.856
2009-08-01,224.062
2009-09-01,223.924
