"Date","APU0200FC4101"
1998-01-01,2.158
1998-02-01,2.165
1998-03-01,2.145
1998-04-01,2.181
1998-05-01,2.176
1998-06-01,2.192
1998-07-01,2.196
1998-08-01,2.222
1998-09-01,2.233
1998-10-01,2.26
1998-11-01,2.248
1998-12-01,2.186
1999-01-01,2.108
1999-02-01,2.195
1999-03-01,2.245
1999-04-01,2.238
1999-05-01,2.245
1999-06-01,2.296
1999-07-01,2.276
1999-08-01,2.303
1999-09-01,2.331
1999-10-01,2.284
1999-11-01,2.251
1999-12-01,2.312
2000-01-01,2.384
2000-02-01,2.376
2000-03-01,2.431
2000-04-01,2.445
2000-05-01,2.406
2000-06-01,2.467
2000-07-01,2.478
2000-08-01,2.459
2000-09-01,2.483
2000-10-01,2.399
2000-11-01,2.439
2000-12-01,2.511
2001-01-01,2.604
2001-02-01,2.595
2001-03-01,2.59
2001-04-01,2.667
2001-05-01,2.667
2001-06-01,2.645
2001-07-01,2.71
2001-08-01,2.672
2001-09-01,2.712
2001-10-01,2.669
2001-11-01,2.64
2001-12-01,2.615
2002-01-01,2.621
2002-02-01,2.583
2002-03-01,2.604
2002-04-01,2.598
2002-05-01,2.686
2002-06-01,2.636
2002-07-01,2.594
2002-08-01,2.63
2002-09-01,2.59
2002-10-01,2.573
2002-11-01,2.394
2002-12-01,2.396
2003-01-01,2.4
2003-02-01,2.423
2003-03-01,2.445
2003-04-01,2.455
2003-05-01,2.51
2003-06-01,2.609
2003-07-01,2.649
2003-08-01,2.61
2003-09-01,2.549
2003-10-01,2.691
2003-11-01,2.854
2003-12-01,2.855
2004-01-01,2.875
2004-02-01,2.866
2004-03-01,2.908
2004-04-01,2.868
2004-05-01,2.934
2004-06-01,2.825
2004-07-01,2.85
2004-08-01,2.809
2004-09-01,2.82
2004-10-01,2.778
2004-11-01,2.82
2004-12-01,2.806
2005-01-01,2.714
2005-02-01,2.829
2005-03-01,2.765
2005-04-01,2.83
2005-05-01,2.952
2005-06-01,2.96
2005-07-01,2.883
2005-08-01,2.936
2005-09-01,2.883
2005-10-01,2.87
2005-11-01,2.724
2005-12-01,2.722
2006-01-01,2.804
2006-02-01,2.945
2006-03-01,3.003
2006-04-01,3.001
2006-05-01,2.989
2006-06-01,2.886
2006-07-01,2.708
2006-08-01,2.869
2006-09-01,2.911
2006-10-01,2.794
2006-11-01,3.011
2006-12-01,3.013
2007-01-01,3.026
2007-02-01,2.884
2007-03-01,2.916
2007-04-01,2.942
2007-05-01,2.959
2007-06-01,2.989
2007-07-01,2.991
2007-08-01,3.039
2007-09-01,2.992
2007-10-01,2.821
2007-11-01,2.862
2007-12-01,2.909
2008-01-01,2.937
2008-02-01,2.881
2008-03-01,3.097
2008-04-01,2.964
2008-05-01,3.098
2008-06-01,3.058
2008-07-01,2.856
2008-08-01,3.174
2008-09-01,3.138
2008-10-01,3.427
