"Date","USACPIHICMINMEI"
2001-12-01,74.09
2002-01-01,74.65
2002-02-01,74.86
2002-03-01,75.29
2002-04-01,75.79
2002-05-01,75.76
2002-06-01,75.79
2002-07-01,75.81
2002-08-01,76.03
2002-09-01,76.25
2002-10-01,76.38
2002-11-01,76.39
2002-12-01,76.18
2003-01-01,76.45
2003-02-01,77.17
2003-03-01,77.73
2003-04-01,77.5
2003-05-01,77.28
2003-06-01,77.39
2003-07-01,77.39
2003-08-01,77.72
2003-09-01,78.09
2003-10-01,77.91
2003-11-01,77.67
2003-12-01,77.56
2004-01-01,77.96
2004-02-01,78.44
2004-03-01,78.89
2004-04-01,79.15
2004-05-01,79.71
2004-06-01,79.99
2004-07-01,79.75
2004-08-01,79.75
2004-09-01,79.99
2004-10-01,80.53
2004-11-01,80.68
2004-12-01,80.3
2005-01-01,80.36
2005-02-01,80.79
2005-03-01,81.4
2005-04-01,82.15
2005-05-01,82.11
2005-06-01,82.09
2005-07-01,82.44
2005-08-01,83.01
2005-09-01,84.52
2005-10-01,84.61
2005-11-01,83.75
2005-12-01,83.25
2006-01-01,83.95
2006-02-01,84.02
2006-03-01,84.45
2006-04-01,85.27
2006-05-01,85.76
2006-06-01,85.87
2006-07-01,86.04
2006-08-01,86.23
2006-09-01,85.68
2006-10-01,84.95
2006-11-01,84.77
2006-12-01,84.92
2007-01-01,85.09
2007-02-01,85.53
2007-03-01,86.46
2007-04-01,87.13
2007-05-01,87.83
2007-06-01,87.92
2007-07-01,87.77
2007-08-01,87.53
2007-09-01,87.88
2007-10-01,88.09
2007-11-01,88.82
2007-12-01,88.72
2008-01-01,89.14
2008-02-01,89.38
2008-03-01,90.28
2008-04-01,91.01
2008-05-01,92.04
2008-06-01,93.16
2008-07-01,93.7
2008-08-01,93.22
2008-09-01,93.08
2008-10-01,91.82
2008-11-01,89.49
2008-12-01,88.29
2009-01-01,88.67
2009-02-01,89.2
2009-03-01,89.4
2009-04-01,89.66
2009-05-01,90.02
2009-06-01,91.01
2009-07-01,90.81
2009-08-01,91.09
2009-09-01,91.26
2009-10-01,91.38
2009-11-01,91.62
2009-12-01,91.45
2010-01-01,91.88
2010-02-01,91.93
2010-03-01,92.46
2010-04-01,92.68
2010-05-01,92.78
2010-06-01,92.64
2010-07-01,92.66
2010-08-01,92.81
2010-09-01,92.88
2010-10-01,93
2010-11-01,93.01
2010-12-01,93.19
2011-01-01,93.75
2011-02-01,94.32
2011-03-01,95.52
2011-04-01,96.32
2011-05-01,96.9
2011-06-01,96.71
2011-07-01,96.76
2011-08-01,97.04
2011-09-01,97.2
2011-10-01,96.86
2011-11-01,96.7
2011-12-01,96.33
2012-01-01,96.82
2012-02-01,97.35
2012-03-01,98.24
2012-04-01,98.56
2012-05-01,98.39
2012-06-01,98.17
2012-07-01,98.09
2012-08-01,98.64
2012-09-01,99.14
2012-10-01,99.03
2012-11-01,98.37
2012-12-01,97.99
2013-01-01,98.3
2013-02-01,99.28
2013-03-01,99.57
2013-04-01,99.39
2013-05-01,99.57
2013-06-01,99.82
2013-07-01,99.83
2013-08-01,99.89
2013-09-01,99.97
2013-10-01,99.56
2013-11-01,99.21
2013-12-01,99.12
2014-01-01,99.54
2014-02-01,99.97
2014-03-01,100.74
2014-04-01,101.13
2014-05-01,101.54
2014-06-01,101.73
2014-07-01,101.6
2014-08-01,101.3
2014-09-01,101.32
2014-10-01,100.9
2014-11-01,100.09
2014-12-01,99.29
2015-01-01,98.6
2015-02-01,99.1
2015-03-01,99.8
2015-04-01,99.99
2015-05-01,100.61
2015-06-01,100.96
2015-07-01,100.88
2015-08-01,100.6
2015-09-01,100.29
2015-10-01,100.14
2015-11-01,99.77
2015-12-01,99.25
2016-01-01,99.37
2016-02-01,99.4
2016-03-01,99.9
2016-04-01,100.44
2016-05-01,100.88
2016-06-01,101.21
2016-07-01,100.89
2016-08-01,100.9
2016-09-01,101.1
2016-10-01,101.16
2016-11-01,100.83
2016-12-01,100.79
2017-01-01,101.5
2017-02-01,101.85
2017-03-01,101.91
2017-04-01,102.26
2017-05-01,102.32
2017-06-01,102.35
2017-07-01,102.16
2017-08-01,102.44
2017-09-01,103.07
2017-10-01,102.86
2017-11-01,102.77
2017-12-01,102.58
2018-01-01,103.23
2018-02-01,103.79
2018-03-01,104.01
2018-04-01,104.47
2018-05-01,104.96
2018-06-01,105.09
2018-07-01,105.01
2018-08-01,104.99
2018-09-01,105.08
2018-10-01,105.21
2018-11-01,104.65
2018-12-01,104.15
2019-01-01,104.34
2019-02-01,104.83
2019-03-01,105.51
2019-04-01,106.14
2019-05-01,106.36
2019-06-01,106.29
2019-07-01,106.44
2019-08-01,106.34
2019-09-01,106.36
2019-10-01,106.59
2019-11-01,106.42
2019-12-01,106.22
2020-01-01,106.66
2020-02-01,106.98
2020-03-01,106.61
2020-04-01,105.64
2020-05-01,105.57
2020-06-01,106.29
2020-07-01,106.92
2020-08-01,107.3
2020-09-01,107.46
2020-10-01,107.44
2020-11-01,107.33
2020-12-01,107.42
2021-01-01,107.96
2021-02-01,108.66
2021-03-01,109.6
2021-04-01,110.71
2021-05-01,111.77
2021-06-01,113
2021-07-01,113.6
2021-08-01,113.81
2021-09-01,114.06
2021-10-01,115.12
2021-11-01,115.7
2021-12-01,116.02
2022-01-01,117.14
2022-02-01,118.38
2022-03-01,120.29
2022-04-01,121.01
2022-05-01,122.53
2022-06-01,124.45
2022-07-01,124.2
2022-08-01,123.88
2022-09-01,123.93
2022-10-01,124.33
2022-11-01,123.91
2022-12-01,123.13
2023-01-01,124.11
2023-02-01,124.7
2023-03-01,124.94
2023-04-01,125.63
2023-05-01,125.8
2023-06-01,126.15
2023-07-01,126.28
2023-08-01,126.94
2023-09-01,127.12
2023-10-01,126.97
