"Date","CWUR0000SEEE"
1988-12-01,100
1989-01-01,99.6
1989-02-01,99.9
1989-03-01,99.4
1989-04-01,97.1
1989-05-01,95.9
1989-06-01,95.8
1989-07-01,96.1
1989-08-01,94.7
1989-09-01,93.9
1989-10-01,93.3
1989-11-01,93.8
1989-12-01,92.7
1990-01-01,93
1990-02-01,93.4
1990-03-01,93.4
1990-04-01,92.1
1990-05-01,91.9
1990-06-01,93.9
1990-07-01,94.4
1990-08-01,94
1990-09-01,94.6
1990-10-01,93.2
1990-11-01,90
1990-12-01,89.7
1991-01-01,90
1991-02-01,90.2
1991-03-01,90.1
1991-04-01,90
1991-05-01,89.3
1991-06-01,89.2
1991-07-01,87.4
1991-08-01,88.5
1991-09-01,87.4
1991-10-01,88.2
1991-11-01,87
1991-12-01,86.9
1992-01-01,83.5
1992-02-01,84.8
1992-03-01,86.5
1992-04-01,85.1
1992-05-01,84.7
1992-06-01,84
1992-07-01,83.6
1992-08-01,82.9
1992-09-01,82.5
1992-10-01,83
1992-11-01,81.2
1992-12-01,80.6
1993-01-01,80.4
1993-02-01,81.3
1993-03-01,80.1
1993-04-01,80
1993-05-01,79.8
1993-06-01,78.9
1993-07-01,78.1
1993-08-01,76.9
1993-09-01,76.5
1993-10-01,74.7
1993-11-01,74.8
1993-12-01,74.2
1994-01-01,74.7
1994-02-01,72.7
1994-03-01,72.5
1994-04-01,72.2
1994-05-01,72
1994-06-01,71.9
1994-07-01,71.5
1994-08-01,71.3
1994-09-01,69.9
1994-10-01,69.1
1994-11-01,68.9
1994-12-01,68.2
1995-01-01,66.4
1995-02-01,65.9
1995-03-01,64.4
1995-04-01,64.2
1995-05-01,64.5
1995-06-01,64.4
1995-07-01,63.6
1995-08-01,63.9
1995-09-01,63.7
1995-10-01,62.8
1995-11-01,61.8
1995-12-01,61.4
1996-01-01,61
1996-02-01,60.8
1996-03-01,60.2
1996-04-01,58.9
1996-05-01,58.2
1996-06-01,58.4
1996-07-01,56.4
1996-08-01,56.1
1996-09-01,56.3
1996-10-01,56
1996-11-01,55.4
1996-12-01,54.9
1997-01-01,54.3
1997-02-01,54
1997-03-01,53.1
1997-04-01,52.4
1997-05-01,51.8
1997-06-01,50.9
1997-07-01,50.1
1997-08-01,49.3
1997-09-01,49.5
1997-10-01,50.1
1997-11-01,49.3
1997-12-01,48.9
1998-01-01,47.7
1998-02-01,45.8
1998-03-01,44.8
1998-04-01,44.1
1998-05-01,42.6
1998-06-01,41.8
1998-07-01,40.2
1998-08-01,38.9
1998-09-01,38.2
1998-10-01,37.4
1998-11-01,36.6
1998-12-01,36
1999-01-01,35
1999-02-01,34.4
1999-03-01,33.5
1999-04-01,33
1999-05-01,31.8
1999-06-01,30.8
1999-07-01,31.1
1999-08-01,30.8
1999-09-01,30.3
1999-10-01,29.9
1999-11-01,29.3
1999-12-01,29.3
2000-01-01,28.9
2000-02-01,28.6
2000-03-01,28.2
2000-04-01,27.6
2000-05-01,27.5
2000-06-01,27
2000-07-01,26.6
2000-08-01,26.1
2000-09-01,25.9
2000-10-01,25.5
2000-11-01,25.1
2000-12-01,24.6
2001-01-01,24
2001-02-01,23.8
2001-03-01,23.3
2001-04-01,22.8
2001-05-01,22.4
2001-06-01,22.2
2001-07-01,22
2001-08-01,21.5
2001-09-01,21.2
2001-10-01,21
2001-11-01,20.8
2001-12-01,20.6
2002-01-01,20.1
2002-02-01,19.7
2002-03-01,19.5
2002-04-01,19.3
2002-05-01,19.2
2002-06-01,19.1
2002-07-01,19.1
2002-08-01,18.9
2002-09-01,18.5
2002-10-01,18.3
2002-11-01,17.9
2002-12-01,17.8
2003-01-01,17.7
2003-02-01,17.5
2003-03-01,17.4
2003-04-01,17.4
2003-05-01,17
2003-06-01,16.8
2003-07-01,16.5
2003-08-01,16.3
2003-09-01,16.1
2003-10-01,16.2
2003-11-01,15.9
2003-12-01,15.8
2004-01-01,15.8
2004-02-01,15.8
2004-03-01,15.7
2004-04-01,15.5
2004-05-01,15.4
2004-06-01,15.4
2004-07-01,15.3
2004-08-01,15.3
2004-09-01,15.2
2004-10-01,15
2004-11-01,14.9
2004-12-01,14.8
2005-01-01,14.8
2005-02-01,14.6
2005-03-01,14.5
2005-04-01,14.5
2005-05-01,14.3
2005-06-01,14.2
2005-07-01,14.1
2005-08-01,14
2005-09-01,13.9
2005-10-01,13.8
2005-11-01,13.7
2005-12-01,13.6
2006-01-01,13.6
2006-02-01,13.5
2006-03-01,13.6
2006-04-01,13.5
2006-05-01,13.3
2006-06-01,13.3
2006-07-01,13.3
2006-08-01,13.1
2006-09-01,12.9
2006-10-01,12.4
2006-11-01,11.9
2006-12-01,11.6
2007-01-01,11.321
2007-02-01,11.272
2007-03-01,11.292
2007-04-01,11.322
2007-05-01,11.243
2007-06-01,11.062
2007-07-01,11.001
2007-08-01,10.965
2007-09-01,10.958
2007-10-01,10.877
2007-11-01,10.71
2007-12-01,10.722
2008-01-01,10.737
2008-02-01,10.754
2008-03-01,10.745
2008-04-01,10.671
2008-05-01,10.621
2008-06-01,10.585
2008-07-01,10.6
2008-08-01,10.525
2008-09-01,10.414
2008-10-01,10.375
2008-11-01,10.367
2008-12-01,10.406
2009-01-01,10.418
2009-02-01,10.442
2009-03-01,10.378
2009-04-01,10.385
2009-05-01,10.271
2009-06-01,10.238
2009-07-01,10.113
2009-08-01,10.012
2009-09-01,9.975
2009-10-01,9.995
2009-11-01,9.969
2009-12-01,9.935
2010-01-01,9.978
2010-02-01,10.077
2010-03-01,10.099
2010-04-01,10.087
2010-05-01,10.028
2010-06-01,9.976
2010-07-01,9.957
2010-08-01,9.947
2010-09-01,9.891
2010-10-01,9.864
2010-11-01,9.849
2010-12-01,9.767
2011-01-01,9.713
2011-02-01,9.734
2011-03-01,9.729
2011-04-01,9.71
2011-05-01,9.623
2011-06-01,9.575
2011-07-01,9.573
2011-08-01,9.514
2011-09-01,9.462
2011-10-01,9.44
2011-11-01,9.408
2011-12-01,9.371
2012-01-01,9.404
2012-02-01,9.423
2012-03-01,9.42
2012-04-01,9.441
2012-05-01,9.455
2012-06-01,9.418
2012-07-01,9.355
2012-08-01,9.214
2012-09-01,9.17
2012-10-01,9.13
2012-11-01,9.091
2012-12-01,9.079
2013-01-01,9.107
2013-02-01,9.19
2013-03-01,9.26
2013-04-01,9.206
2013-05-01,9.148
2013-06-01,9.101
2013-07-01,9.023
2013-08-01,9.006
2013-09-01,9.02
2013-10-01,8.988
2013-11-01,8.962
2013-12-01,8.953
2014-01-01,8.944
2014-02-01,8.967
2014-03-01,9.002
2014-04-01,9.034
2014-05-01,9.003
2014-06-01,8.985
2014-07-01,8.985
2014-08-01,8.943
2014-09-01,8.892
2014-10-01,8.902
2014-11-01,8.848
2014-12-01,8.783
2015-01-01,8.782
2015-02-01,8.792
2015-03-01,8.805
2015-04-01,8.822
2015-05-01,8.731
2015-06-01,8.676
2015-07-01,8.583
2015-08-01,8.47
2015-09-01,8.491
2015-10-01,8.535
2015-11-01,8.508
2015-12-01,8.464
2016-01-01,8.472
2016-02-01,8.471
2016-03-01,8.513
2016-04-01,8.511
2016-05-01,8.448
2016-06-01,8.403
2016-07-01,8.361
2016-08-01,8.346
2016-09-01,8.351
2016-10-01,8.285
2016-11-01,8.328
2016-12-01,8.291
2017-01-01,8.32
2017-02-01,8.289
2017-03-01,8.266
2017-04-01,8.311
2017-05-01,8.273
2017-06-01,8.269
2017-07-01,8.19
2017-08-01,8.161
2017-09-01,8.132
2017-10-01,8.13
2017-11-01,8.112
2017-12-01,8.097
2018-01-01,8.12
2018-02-01,8.053
2018-03-01,8.018
2018-04-01,7.992
2018-05-01,8.039
2018-06-01,8.093
2018-07-01,8.102
2018-08-01,8.089
2018-09-01,8.109
2018-10-01,8.058
2018-11-01,8.038
2018-12-01,8.049
2019-01-01,8.075
2019-02-01,8.057
2019-03-01,8.001
2019-04-01,8.013
2019-05-01,7.984
2019-06-01,7.98
2019-07-01,8.013
2019-08-01,8.031
2019-09-01,7.971
2019-10-01,7.942
2019-11-01,8.005
2019-12-01,7.98
2020-01-01,8.026
2020-02-01,8.026
2020-03-01,7.996
2020-04-01,8.012
2020-05-01,7.997
2020-06-01,7.982
2020-07-01,7.975
2020-08-01,7.971
2020-09-01,7.936
2020-10-01,7.912
2020-11-01,7.95
2020-12-01,7.953
2021-01-01,7.938
2021-02-01,7.917
2021-03-01,7.899
2021-04-01,7.998
2021-05-01,7.995
2021-06-01,7.983
2021-07-01,8.01
2021-08-01,8.081
2021-09-01,8.124
2021-10-01,8.097
2021-11-01,8.081
2021-12-01,8.091
2022-01-01,8.077
2022-02-01,8.037
2022-03-01,7.989
2022-04-01,7.908
2022-05-01,7.865
2022-06-01,7.86
2022-07-01,7.805
2022-08-01,7.785
2022-09-01,7.752
2022-10-01,7.711
2022-11-01,7.701
2022-12-01,7.685
2023-01-01,7.731
2023-02-01,7.719
2023-03-01,7.737
2023-04-01,7.724
2023-05-01,7.697
2023-06-01,7.71
2023-07-01,7.69
2023-08-01,7.691
2023-09-01,7.679
2023-10-01,7.611
2023-11-01,7.542
