"Date","APU0200FC2101"
1998-01-01,2.653
1998-02-01,2.709
1998-03-01,2.66
1998-04-01,2.663
1998-05-01,2.713
1998-06-01,2.568
1998-07-01,2.672
1998-08-01,2.707
1998-09-01,2.648
1998-10-01,2.645
1998-11-01,2.706
1998-12-01,2.678
1999-01-01,2.664
1999-02-01,2.625
1999-03-01,2.74
1999-04-01,2.802
1999-05-01,2.681
1999-06-01,2.795
1999-07-01,2.774
1999-08-01,2.739
1999-09-01,2.832
1999-10-01,2.78
1999-11-01,2.702
1999-12-01,2.818
2000-01-01,2.766
2000-02-01,2.784
2000-03-01,2.82
2000-04-01,2.751
2000-05-01,2.732
2000-06-01,2.868
2000-07-01,2.892
2000-08-01,2.893
2000-09-01,2.91
2000-10-01,2.895
2000-11-01,2.859
2000-12-01,2.859
2001-01-01,3.053
2001-02-01,3.062
2001-03-01,3.128
2001-04-01,3.153
2001-05-01,3.132
2001-06-01,3.051
2001-07-01,3.132
2001-08-01,3.209
2001-09-01,3.189
2001-10-01,3.206
2001-11-01,3.221
2001-12-01,3.097
2002-01-01,3.067
2002-02-01,3.153
2002-03-01,3.127
2002-04-01,3.211
2002-05-01,3.113
2002-06-01,3.113
2002-07-01,2.962
2002-08-01,3.069
2002-09-01,3.047
2002-10-01,3.008
2002-11-01,2.894
2002-12-01,2.893
2003-01-01,2.994
2003-02-01,3.006
2003-03-01,3.107
2003-04-01,3.14
2003-05-01,3.246
2003-06-01,3.041
2003-07-01,3.21
2003-08-01,3.152
2003-09-01,3.028
2003-10-01,3.233
2003-11-01,3.654
2003-12-01,3.555
2004-01-01,3.486
2004-02-01,3.527
2004-03-01,3.374
2004-04-01,3.33
2004-05-01,3.25
2004-06-01,3.348
2004-07-01,3.47
2004-08-01,3.421
2004-09-01,3.403
2004-10-01,3.408
2004-11-01,3.559
2004-12-01,3.55
2005-01-01,3.568
2005-02-01,3.748
2005-03-01,3.745
2005-04-01,3.555
2005-05-01,3.698
2005-06-01,3.678
2005-07-01,3.537
2005-08-01,3.342
2005-09-01,3.39
2005-10-01,3.405
2005-11-01,3.593
2005-12-01,3.546
2006-01-01,3.547
2006-02-01,3.499
2006-03-01,3.461
2006-04-01,3.476
2006-05-01,3.536
2006-06-01,3.523
2006-07-01,3.48
2006-08-01,3.482
2006-09-01,3.492
2006-10-01,3.684
2006-11-01,3.819
2006-12-01,3.736
2007-01-01,3.713
2007-02-01,3.843
2007-03-01,3.828
2007-04-01,3.877
2007-05-01,3.834
2007-06-01,3.762
2007-07-01,3.768
2007-08-01,3.835
2007-09-01,3.902
2007-10-01,3.884
2007-11-01,3.802
2007-12-01,3.755
2008-01-01,3.803
2008-02-01,3.799
2008-03-01,3.818
2008-04-01,3.763
2008-05-01,3.938
2008-06-01,4.043
2008-07-01,4.054
2008-08-01,3.997
2008-09-01,4.21
2008-10-01,4.394
2008-11-01,4.38
2008-12-01,4.345
2009-01-01,4.425
2009-02-01,4.362
2009-03-01,4.216
2009-04-01,4.194
2009-05-01,4.117
2009-06-01,4.042
2009-07-01,4.091
2009-08-01,4.186
2009-09-01,4.164
2009-10-01,4.129
2009-11-01,4.343
2009-12-01,4.245
2010-01-01,4.274
2010-02-01,4.268
2010-03-01,4.284
2010-04-01,4.358
2010-05-01,4.402
2010-06-01,4.144
2010-07-01,4.218
2010-08-01,4.227
2010-09-01,4.328
2010-10-01,4.107
2010-11-01,4.312
2010-12-01,4.272
2011-01-01,4.318
2011-02-01,4.501
2011-03-01,4.574
2011-04-01,4.625
2011-05-01,4.441
2011-06-01,4.585
2011-07-01,4.652
2011-08-01,4.649
2011-09-01,4.696
2011-10-01,4.592
2011-11-01,4.821
2011-12-01,4.808
2012-01-01,4.859
2012-02-01,4.936
2012-03-01,4.898
2012-04-01,4.908
2012-05-01,4.86
2012-06-01,4.898
2012-07-01,5.072
2012-08-01,5.026
2012-09-01,4.944
2012-10-01,5.013
2012-11-01,4.844
2012-12-01,4.881
2013-01-01,4.684
2013-02-01,4.744
2013-03-01,4.832
