"Date","CUUR0200SAH1"
1977-12-01,54.4
1978-01-01,NA
1978-02-01,55.7
1978-03-01,NA
1978-04-01,56.6
1978-05-01,NA
1978-06-01,57.5
1978-07-01,NA
1978-08-01,58.6
1978-09-01,NA
1978-10-01,60.8
1978-11-01,NA
1978-12-01,62.1
1979-01-01,NA
1979-02-01,63.6
1979-03-01,NA
1979-04-01,65.5
1979-05-01,NA
1979-06-01,67
1979-07-01,NA
1979-08-01,69.5
1979-09-01,NA
1979-10-01,71.7
1979-11-01,NA
1979-12-01,73.8
1980-01-01,NA
1980-02-01,75.4
1980-03-01,NA
1980-04-01,77.9
1980-05-01,NA
1980-06-01,82
1980-07-01,NA
1980-08-01,80
1980-09-01,NA
1980-10-01,83.8
1980-11-01,NA
1980-12-01,85.4
1981-01-01,NA
1981-02-01,84.6
1981-03-01,NA
1981-04-01,84.7
1981-05-01,NA
1981-06-01,88.7
1981-07-01,NA
1981-08-01,90.5
1981-09-01,NA
1981-10-01,89.4
1981-11-01,NA
1981-12-01,89.3
1982-01-01,NA
1982-02-01,91.6
1982-03-01,NA
1982-04-01,95
1982-05-01,NA
1982-06-01,97.1
1982-07-01,NA
1982-08-01,101.1
1982-09-01,NA
1982-10-01,99.8
1982-11-01,NA
1982-12-01,97.9
1983-01-01,NA
1983-02-01,98.6
1983-03-01,NA
1983-04-01,98.8
1983-05-01,NA
1983-06-01,99.4
1983-07-01,NA
1983-08-01,100.1
1983-09-01,NA
1983-10-01,100.7
1983-11-01,NA
1983-12-01,101.7
1984-01-01,NA
1984-02-01,101.8
1984-03-01,NA
1984-04-01,102.4
1984-05-01,NA
1984-06-01,103.4
1984-07-01,NA
1984-08-01,104
1984-09-01,NA
1984-10-01,105.2
1984-11-01,NA
1984-12-01,105.6
1985-01-01,NA
1985-02-01,106.3
1985-03-01,NA
1985-04-01,107
1985-05-01,NA
1985-06-01,108.2
1985-07-01,NA
1985-08-01,109.2
1985-09-01,NA
1985-10-01,110.1
1985-11-01,NA
1985-12-01,110.9
1986-01-01,NA
1986-02-01,111.3
1986-03-01,NA
1986-04-01,112.5
