"Date","FLEXCPIM157SFRBATL"
1967-01-01,0.09186
1967-02-01,0.1736
1967-03-01,-0.08029
1967-04-01,-0.01408
1967-05-01,0.12126
1967-06-01,0.53097
1967-07-01,0.51309
1967-08-01,0.49813
1967-09-01,0.36842
1967-10-01,0.13363
1967-11-01,0.25464
1967-12-01,0.18413
1968-01-01,0.41558
1968-02-01,0.34136
1968-03-01,0.21708
1968-04-01,0.24184
1968-05-01,0.2431
1968-06-01,0.34919
1968-07-01,0.31032
1968-08-01,0.4411
1968-09-01,0.33662
1968-10-01,0.50083
1968-11-01,0.21377
1968-12-01,-0.1061
1969-01-01,0.20715
1969-02-01,0.49549
1969-03-01,0.69959
1969-04-01,0.41519
1969-05-01,0.07694
1969-06-01,0.89267
1969-07-01,0.312
1969-08-01,0.35206
1969-09-01,0.36607
1969-10-01,0.39315
1969-11-01,0.67387
1969-12-01,0.7783
1970-01-01,0.04291
1970-02-01,0.42983
1970-03-01,-0.18908
1970-04-01,0.51762
1970-05-01,0.30878
1970-06-01,0.15494
1970-07-01,0.25201
1970-08-01,-0.04053
1970-09-01,0.52929
1970-10-01,0.53737
1970-11-01,0.23032
1970-12-01,0.42607
1971-01-01,-0.05489
1971-02-01,0.1351
1971-03-01,0.37539
1971-04-01,0.37585
1971-05-01,0.40049
1971-06-01,0.44449
1971-07-01,0.12096
1971-08-01,0.18776
1971-09-01,-0.12585
1971-10-01,0.28687
1971-11-01,0.0252
1971-12-01,0.69163
1972-01-01,-0.01219
1972-02-01,0.74186
1972-03-01,-0.005
1972-04-01,0.01081
1972-05-01,0.2572
1972-06-01,0.06179
1972-07-01,0.39892
1972-08-01,0.1596
1972-09-01,0.88422
1972-10-01,0.36794
1972-11-01,0.52215
1972-12-01,0.40629
1973-01-01,0.99879
1973-02-01,1.22323
1973-03-01,1.64878
1973-04-01,1.2811
1973-05-01,0.79414
1973-06-01,0.81541
1973-07-01,0.06968
1973-08-01,3.8982
1973-09-01,-0.25511
1973-10-01,0.68669
1973-11-01,1.28932
1973-12-01,1.12778
1974-01-01,1.56568
1974-02-01,2.08641
1974-03-01,1.43277
1974-04-01,0.38719
1974-05-01,1.21361
1974-06-01,0.52712
1974-07-01,0.27886
1974-08-01,1.49145
1974-09-01,1.43202
1974-10-01,0.90667
1974-11-01,1.02984
1974-12-01,0.72701
1975-01-01,0.413
1975-02-01,0.24355
1975-03-01,0.08694
1975-04-01,-0.05766
1975-05-01,0.32156
1975-06-01,0.95816
1975-07-01,1.71553
1975-08-01,0.17683
1975-09-01,0.66365
1975-10-01,0.70797
1975-11-01,0.55085
1975-12-01,0.51897
1976-01-01,-0.11613
1976-02-01,-0.37705
