"Date","APUS49A72620"
1978-11-01,0.223
1978-12-01,0.223
1979-01-01,0.248
1979-02-01,0.248
1979-03-01,0.248
1979-04-01,0.251
1979-05-01,0.27
1979-06-01,0.302
1979-07-01,0.302
1979-08-01,0.302
1979-09-01,0.302
1979-10-01,0.314
1979-11-01,0.292
1979-12-01,0.315
1980-01-01,0.315
1980-02-01,0.327
1980-03-01,0.328
1980-04-01,0.326
1980-05-01,0.357
1980-06-01,0.357
1980-07-01,0.444
1980-08-01,0.444
1980-09-01,0.442
1980-10-01,0.442
1980-11-01,0.377
1980-12-01,0.377
1981-01-01,0.365
1981-02-01,0.365
1981-03-01,0.365
1981-04-01,0.364
1981-05-01,0.428
1981-06-01,0.428
1981-07-01,0.434
1981-08-01,0.434
1981-09-01,0.434
1981-10-01,0.434
1981-11-01,0.404
1981-12-01,0.404
1982-01-01,0.409
1982-02-01,0.409
1982-03-01,0.385
1982-04-01,0.385
1982-05-01,0.549
1982-06-01,0.549
1982-07-01,0.549
1982-08-01,0.55
1982-09-01,0.55
1982-10-01,0.557
1982-11-01,0.493
1982-12-01,0.493
1983-01-01,0.515
1983-02-01,0.514
1983-03-01,0.516
1983-04-01,0.515
1983-05-01,0.638
1983-06-01,0.718
1983-07-01,0.725
1983-08-01,0.725
1983-09-01,0.725
1983-10-01,0.725
1983-11-01,0.576
1983-12-01,0.576
1984-01-01,0.528
1984-02-01,0.577
1984-03-01,0.578
1984-04-01,0.577
1984-05-01,0.725
1984-06-01,0.724
1984-07-01,0.722
1984-08-01,0.722
1984-09-01,0.725
1984-10-01,0.715
1984-11-01,0.577
1984-12-01,0.53
1985-01-01,0.571
1985-02-01,0.573
1985-03-01,0.571
1985-04-01,0.572
1985-05-01,0.763
1985-06-01,0.655
1985-07-01,0.756
1985-08-01,0.763
1985-09-01,NA
1985-10-01,0.756
1985-11-01,0.54
1985-12-01,0.511
1986-01-01,0.522
1986-02-01,0.524
1986-03-01,0.518
1986-04-01,0.52
1986-05-01,0.727
1986-06-01,0.726
1986-07-01,0.727
1986-08-01,0.727
1986-09-01,0.757
1986-10-01,0.759
1986-11-01,0.515
1986-12-01,0.515
1987-01-01,0.501
1987-02-01,0.547
1987-03-01,0.532
1987-04-01,0.535
1987-05-01,0.837
1987-06-01,0.832
1987-07-01,0.834
1987-08-01,0.835
1987-09-01,0.833
1987-10-01,0.833
1987-11-01,0.536
1987-12-01,0.532
1988-01-01,0.536
1988-02-01,0.538
1988-03-01,0.538
1988-04-01,0.538
1988-05-01,0.754
1988-06-01,0.754
1988-07-01,0.754
1988-08-01,0.754
1988-09-01,0.754
1988-10-01,0.754
1988-11-01,0.529
1988-12-01,0.529
1989-01-01,0.537
1989-02-01,0.537
1989-03-01,0.537
1989-04-01,0.536
1989-05-01,0.724
1989-06-01,0.724
1989-07-01,0.724
1989-08-01,0.726
1989-09-01,0.726
1989-10-01,0.726
1989-11-01,0.537
1989-12-01,0.537
1990-01-01,0.537
1990-02-01,0.571
1990-03-01,0.571
1990-04-01,0.571
1990-05-01,0.718
1990-06-01,0.718
1990-07-01,0.719
1990-08-01,0.719
1990-09-01,0.719
1990-10-01,0.719
1990-11-01,0.573
1990-12-01,0.614
1991-01-01,0.657
1991-02-01,0.665
1991-03-01,0.665
1991-04-01,0.664
1991-05-01,0.786
1991-06-01,0.681
1991-07-01,0.787
1991-08-01,0.787
1991-09-01,0.787
1991-10-01,0.787
1991-11-01,0.665
1991-12-01,0.665
1992-01-01,0.618
1992-02-01,0.614
1992-03-01,0.624
1992-04-01,0.624
1992-05-01,0.69
1992-06-01,0.69
1992-07-01,0.69
1992-08-01,0.69
1992-09-01,0.69
1992-10-01,0.69
1992-11-01,0.625
1992-12-01,0.625
1993-01-01,0.671
1993-02-01,0.671
1993-03-01,0.671
1993-04-01,0.672
1993-05-01,0.738
1993-06-01,0.775
1993-07-01,0.775
1993-08-01,0.775
1993-09-01,0.775
1993-10-01,0.756
1993-11-01,0.69
1993-12-01,0.69
1994-01-01,0.678
1994-02-01,0.679
1994-03-01,0.679
1994-04-01,0.679
1994-05-01,0.745
1994-06-01,0.745
1994-07-01,0.747
1994-08-01,0.746
1994-09-01,0.746
1994-10-01,0.744
1994-11-01,0.678
1994-12-01,0.68
1995-01-01,0.723
1995-02-01,0.723
1995-03-01,0.723
1995-04-01,0.723
1995-05-01,0.792
1995-06-01,0.793
1995-07-01,0.793
1995-08-01,0.793
1995-09-01,0.793
1995-10-01,0.747
1995-11-01,0.342
1995-12-01,0.676
1996-01-01,0.653
1996-02-01,0.656
1996-03-01,0.671
1996-04-01,0.671
1996-05-01,0.738
1996-06-01,0.738
1996-07-01,0.738
1996-08-01,0.738
1996-09-01,0.738
1996-10-01,0.738
1996-11-01,0.662
1996-12-01,0.662
1997-01-01,0.655
1997-02-01,0.655
1997-03-01,0.655
1997-04-01,0.655
1997-05-01,0.725
1997-06-01,0.767
1997-07-01,0.804
1997-08-01,0.771
1997-09-01,0.771
1997-10-01,0.795
1997-11-01,0.815
1997-12-01,0.83
1998-01-01,0.734
1998-02-01,0.716
1998-03-01,0.716
1998-04-01,0.753
1998-05-01,0.726
1998-06-01,0.703
