"Date","TRMMEANCPIM094SFRBCLE"
1982-12-01,100
1983-01-01,100.365399988368
1983-02-01,100.693293746484
1983-03-01,100.949759572621
1983-04-01,101.354467161341
1983-05-01,101.687213885698
1983-06-01,101.946516290463
1983-07-01,102.252457789286
1983-08-01,102.591833685846
1983-09-01,102.873550856494
1983-10-01,103.223320934043
1983-11-01,103.589144381101
1983-12-01,103.875568375603
1984-01-01,104.406580261376
1984-02-01,104.795494768533
1984-03-01,105.135975337265
1984-04-01,105.565140376296
1984-05-01,105.793055504732
1984-06-01,106.062193042837
1984-07-01,106.444441183235
1984-08-01,106.883950281744
1984-09-01,107.224589436957
1984-10-01,107.563740824399
1984-11-01,107.805221433081
1984-12-01,108.085299397485
1985-01-01,108.379939927445
1985-02-01,108.858437346786
1985-03-01,109.300402622139
1985-04-01,109.585785983314
1985-05-01,109.796409860327
1985-06-01,110.187394887572
1985-07-01,110.433663717543
1985-08-01,110.622505280542
1985-09-01,110.89076486376
1985-10-01,111.227651016575
1985-11-01,111.719833364948
1985-12-01,112.132861586471
1986-01-01,112.515683166827
1986-02-01,112.655652681501
1986-03-01,112.895834525803
1986-04-01,113.160575249641
1986-05-01,113.371167076548
1986-06-01,113.761050532506
1986-07-01,114.047387105065
1986-08-01,114.358280286326
1986-09-01,114.687060342788
1986-10-01,115.009101603767
1986-11-01,115.307205188932
1986-12-01,115.660045238803
1987-01-01,116.200177669664
1987-02-01,116.524376171968
1987-03-01,116.83479711344
1987-04-01,117.347818723975
1987-05-01,117.717347004724
1987-06-01,118.061552517129
1987-07-01,118.411605019445
1987-08-01,118.887382832
1987-09-01,119.309908596952
1987-10-01,119.69444444361
1987-11-01,120.031863087864
1987-12-01,120.209990373601
1988-01-01,120.581920089028
1988-02-01,120.905923704816
1988-03-01,121.270938680975
1988-04-01,121.795314203232
1988-05-01,122.124405152594
1988-06-01,122.593973483208
1988-07-01,123.082510448284
1988-08-01,123.575332847252
1988-09-01,124.146745163991
1988-10-01,124.623592801068
1988-11-01,124.960076510359
1988-12-01,125.337330973586
1989-01-01,125.857355579899
1989-02-01,126.345556258057
1989-03-01,126.870143001374
1989-04-01,127.360496115919
1989-05-01,127.92457574865
1989-06-01,128.306814372634
1989-07-01,128.79745963259
1989-08-01,129.102065634966
1989-09-01,129.408812134038
1989-10-01,130.044468238586
1989-11-01,130.582332136928
1989-12-01,131.07763092413
1990-01-01,131.706541425192
1990-02-01,132.188323942417
1990-03-01,132.740342400802
1990-04-01,133.169890143562
1990-05-01,133.502814861479
1990-06-01,134.21131431736
1990-07-01,134.845999612055
1990-08-01,135.544232177366
1990-09-01,136.000609610717
1990-10-01,136.485043797718
1990-11-01,136.963833322642
1990-12-01,137.443069789191
1991-01-01,138.24175143711
1991-02-01,138.672236245943
1991-03-01,138.963447931676
1991-04-01,139.354769004108
1991-05-01,139.832616511631
1991-06-01,140.155350206194
1991-07-01,140.631738246796
1991-08-01,141.050961474574
1991-09-01,141.516429644918
1991-10-01,141.77823503984
1991-11-01,142.284241551473
1991-12-01,142.732721483593
1992-01-01,143.058294807932
1992-02-01,143.315799734163
1992-03-01,143.725109671639
1992-04-01,144.054958800198
1992-05-01,144.391183085145
1992-06-01,144.849336301334
1992-07-01,145.185097056401
1992-08-01,145.472708726457
1992-09-01,145.742269659132
1992-10-01,146.217243701778
1992-11-01,146.591706054556
1992-12-01,146.870963247802
1993-01-01,147.277061475769
1993-02-01,147.633913804016
1993-03-01,147.876181062317
1993-04-01,148.377777066138
1993-05-01,148.731212927687
1993-06-01,149.026741847181
1993-07-01,149.226586703003
1993-08-01,149.609651349373
1993-09-01,149.908421833913
1993-10-01,150.331613320037
1993-11-01,150.745626585459
1993-12-01,151.116008602395
1994-01-01,151.339358057357
1994-02-01,151.731629665294
1994-03-01,152.053148999145
1994-04-01,152.292784763437
1994-05-01,152.657221406619
1994-06-01,153.062984298532
1994-07-01,153.396508550656
1994-08-01,153.845500121348
1994-09-01,154.172267980201
1994-10-01,154.390884251684
1994-11-01,154.8313614554
1994-12-01,154.934169478161
1995-01-01,155.421437435906
1995-02-01,155.826465710065
1995-03-01,156.176919415167
1995-04-01,156.582354694317
1995-05-01,156.954237774759
1995-06-01,157.21980433905
1995-07-01,157.518993635335
1995-08-01,157.928227979516
1995-09-01,158.294305604908
1995-10-01,158.728665169897
1995-11-01,159.007551433157
1995-12-01,159.350530704661
1996-01-01,159.859336964928
1996-02-01,160.224615539793
1996-03-01,160.593452615383
1996-04-01,160.936801414126
1996-05-01,161.332384086482
1996-06-01,161.636656969621
1996-07-01,162.039455537545
1996-08-01,162.350085181113
1996-09-01,162.771545998447
1996-10-01,163.191171055814
1996-11-01,163.622485337507
1996-12-01,163.926005054129
1997-01-01,164.296313894902
1997-02-01,164.610119853089
1997-03-01,164.818351649742
1997-04-01,165.087829653578
1997-05-01,165.36699316593
1997-06-01,165.710295039642
1997-07-01,165.999790930242
1997-08-01,166.214096668869
1997-09-01,166.541870886551
1997-10-01,166.881116662737
1997-11-01,167.156804268513
1997-12-01,167.411049777254
1998-01-01,167.670704324186
1998-02-01,167.905107977428
1998-03-01,168.219762141462
1998-04-01,168.502371339616
1998-05-01,168.850665725449
1998-06-01,169.09887620701
1998-07-01,169.420333177384
1998-08-01,169.783400954723
1998-09-01,169.926698149168
1998-10-01,170.234095552511
1998-11-01,170.515152044043
1998-12-01,170.715848377705
1999-01-01,170.909610870345
1999-02-01,171.0314694256
1999-03-01,171.185568778211
1999-04-01,171.644859649072
1999-05-01,171.841736303549
