"Date","CWUR0000SAE2"
1993-01-01,96
1993-02-01,96
1993-03-01,96.1
1993-04-01,95.7
1993-05-01,96.1
1993-06-01,95.9
1993-07-01,96
1993-08-01,96.2
1993-09-01,96.4
1993-10-01,96.4
1993-11-01,96.5
1993-12-01,96.8
1994-01-01,96.6
1994-02-01,97.3
1994-03-01,97.2
1994-04-01,97.1
1994-05-01,97.1
1994-06-01,97.2
1994-07-01,97.2
1994-08-01,97.2
1994-09-01,97.1
1994-10-01,97.1
1994-11-01,96.9
1994-12-01,96.9
1995-01-01,99
1995-02-01,98.4
1995-03-01,98.1
1995-04-01,98.2
1995-05-01,98.1
1995-06-01,98.4
1995-07-01,98.4
1995-08-01,98.4
1995-09-01,98.5
1995-10-01,98.5
1995-11-01,98.4
1995-12-01,98.7
1996-01-01,98.7
1996-02-01,98.7
1996-03-01,99.1
1996-04-01,97.8
1996-05-01,99
1996-06-01,99.4
1996-07-01,99.4
1996-08-01,99.7
1996-09-01,99.8
1996-10-01,100
1996-11-01,100
1996-12-01,100.1
1997-01-01,100.3
1997-02-01,100.3
1997-03-01,100.5
1997-04-01,100.5
1997-05-01,100.5
1997-06-01,100.7
1997-07-01,100.6
1997-08-01,99.7
1997-09-01,99.8
1997-10-01,99.9
1997-11-01,100.1
1997-12-01,100
1998-01-01,99.7
1998-02-01,99.3
1998-03-01,99.5
1998-04-01,99.5
1998-05-01,99.7
1998-06-01,99.8
1998-07-01,99.6
1998-08-01,98.4
1998-09-01,98.5
1998-10-01,98.4
1998-11-01,98.5
1998-12-01,97.8
1999-01-01,98.1
1999-02-01,97.7
1999-03-01,97.4
1999-04-01,97
1999-05-01,96.5
1999-06-01,96.4
1999-07-01,96.3
1999-08-01,96.5
1999-09-01,96.2
1999-10-01,96.3
1999-11-01,96.9
1999-12-01,97
2000-01-01,97.1
2000-02-01,95.7
2000-03-01,95.3
2000-04-01,94.8
2000-05-01,94.7
2000-06-01,93.6
2000-07-01,94.3
2000-08-01,94.8
2000-09-01,93.1
2000-10-01,94.2
2000-11-01,93.3
2000-12-01,94.1
2001-01-01,94.4
2001-02-01,94.4
2001-03-01,94.8
2001-04-01,94.4
2001-05-01,94
2001-06-01,94.3
2001-07-01,94.8
2001-08-01,94.7
2001-09-01,94.3
2001-10-01,94.9
2001-11-01,94.5
2001-12-01,94.6
2002-01-01,94.7
2002-02-01,94.5
2002-03-01,93.3
2002-04-01,92.6
2002-05-01,93.3
2002-06-01,93.1
2002-07-01,93.9
2002-08-01,94.6
2002-09-01,93.9
2002-10-01,93.6
2002-11-01,93.3
2002-12-01,93.2
2003-01-01,93.5
2003-02-01,93.4
2003-03-01,92.8
2003-04-01,92
2003-05-01,91.3
2003-06-01,90.7
2003-07-01,90.9
2003-08-01,90.5
2003-09-01,90.2
2003-10-01,89.9
2003-11-01,89.8
2003-12-01,89.7
2004-01-01,89.6
2004-02-01,89.6
2004-03-01,89.3
2004-04-01,89
2004-05-01,88.4
2004-06-01,88.4
2004-07-01,88.1
2004-08-01,87.6
2004-09-01,87.8
2004-10-01,87.1
2004-11-01,87.2
2004-12-01,87
2005-01-01,87
2005-02-01,87
2005-03-01,86.8
2005-04-01,87
2005-05-01,86.5
2005-06-01,86.3
2005-07-01,86
2005-08-01,85.7
2005-09-01,86.3
2005-10-01,85.9
2005-11-01,86.2
2005-12-01,86.2
2006-01-01,86.3
2006-02-01,86.3
2006-03-01,86.2
2006-04-01,86.3
2006-05-01,86
2006-06-01,86.1
2006-07-01,86.2
2006-08-01,86.2
2006-09-01,86.2
2006-10-01,86.1
2006-11-01,85.4
2006-12-01,85.2
2007-01-01,85.03
2007-02-01,85.112
2007-03-01,85.408
2007-04-01,85.523
2007-05-01,86.14
2007-06-01,85.999
2007-07-01,86.015
2007-08-01,86.148
2007-09-01,86.184
2007-10-01,86.182
2007-11-01,85.807
2007-12-01,85.834
2008-01-01,85.935
2008-02-01,85.919
2008-03-01,86.016
2008-04-01,86.244
2008-05-01,86.496
2008-06-01,87.017
2008-07-01,87.49
2008-08-01,87.369
2008-09-01,87.224
2008-10-01,87.226
2008-11-01,87.3
2008-12-01,87.444
2009-01-01,87.599
2009-02-01,87.64
2009-03-01,87.615
2009-04-01,87.671
2009-05-01,87.712
2009-06-01,87.652
2009-07-01,87.78
2009-08-01,87.667
2009-09-01,87.81
2009-10-01,87.786
2009-11-01,87.468
2009-12-01,87.541
2010-01-01,87.617
2010-02-01,87.501
2010-03-01,87.548
2010-04-01,87.581
2010-05-01,87.453
2010-06-01,87.306
2010-07-01,87.376
2010-08-01,87.391
2010-09-01,87.343
2010-10-01,87.17
2010-11-01,87.04
2010-12-01,86.472
2011-01-01,86.209
2011-02-01,86.174
2011-03-01,86.124
2011-04-01,86.057
2011-05-01,85.877
2011-06-01,85.819
2011-07-01,85.628
2011-08-01,85.545
2011-09-01,85.492
2011-10-01,85.543
2011-11-01,85.486
2011-12-01,85.51
2012-01-01,85.761
2012-02-01,85.892
2012-03-01,85.922
2012-04-01,86.021
2012-05-01,86.105
2012-06-01,86.074
2012-07-01,85.618
2012-08-01,85.048
2012-09-01,85.016
2012-10-01,85.119
2012-11-01,85.069
2012-12-01,85.047
2013-01-01,85.255
2013-02-01,85.548
2013-03-01,85.662
2013-04-01,85.151
2013-05-01,85.048
2013-06-01,84.908
2013-07-01,84.765
2013-08-01,84.681
2013-09-01,84.823
2013-10-01,84.852
2013-11-01,84.735
2013-12-01,84.724
2014-01-01,84.887
2014-02-01,84.756
2014-03-01,84.799
2014-04-01,84.937
2014-05-01,84.79
2014-06-01,84.697
2014-07-01,84.709
2014-08-01,84.58
2014-09-01,84.428
2014-10-01,83.614
2014-11-01,83.204
2014-12-01,82.861
2015-01-01,82.797
2015-02-01,82.722
2015-03-01,82.489
2015-04-01,82.469
2015-05-01,81.988
2015-06-01,81.883
2015-07-01,81.779
2015-08-01,81.88
2015-09-01,82.1
2015-10-01,82.317
2015-11-01,82.512
2015-12-01,82.362
2016-01-01,82.449
2016-02-01,82.067
2016-03-01,82.18
2016-04-01,82.143
2016-05-01,81.729
2016-06-01,81.552
2016-07-01,81.298
2016-08-01,81.266
2016-09-01,80.628
2016-10-01,80.195
2016-11-01,80.236
2016-12-01,80.135
2017-01-01,80.194
2017-02-01,79.742
2017-03-01,76.717
2017-04-01,76.186
2017-05-01,75.983
2017-06-01,75.642
2017-07-01,75.352
2017-08-01,75.274
2017-09-01,75.296
2017-10-01,75.481
2017-11-01,75.625
2017-12-01,75.663
2018-01-01,75.675
2018-02-01,75.293
2018-03-01,75.221
2018-04-01,75.141
2018-05-01,75.339
2018-06-01,75.508
2018-07-01,75.6
2018-08-01,75.317
2018-09-01,75.411
2018-10-01,75.196
2018-11-01,74.186
2018-12-01,74.171
2019-01-01,74.263
2019-02-01,74.244
2019-03-01,74.065
2019-04-01,74.184
2019-05-01,74.115
2019-06-01,74.217
2019-07-01,74.342
2019-08-01,74.358
2019-09-01,74.267
2019-10-01,74.266
2019-11-01,74.625
2019-12-01,74.625
2020-01-01,74.876
2020-02-01,74.849
2020-03-01,74.756
2020-04-01,74.902
2020-05-01,74.855
2020-06-01,74.731
2020-07-01,76.269
2020-08-01,76.599
2020-09-01,76.597
2020-10-01,76.623
2020-11-01,76.659
2020-12-01,76.634
2021-01-01,76.663
2021-02-01,76.695
2021-03-01,76.502
2021-04-01,76.745
2021-05-01,76.813
2021-06-01,76.871
2021-07-01,76.899
2021-08-01,77.106
2021-09-01,77.38
2021-10-01,77.422
2021-11-01,77.37
2021-12-01,77.366
2022-01-01,77.283
2022-02-01,77.18
2022-03-01,76.698
2022-04-01,76.399
2022-05-01,76.207
2022-06-01,76.14
2022-07-01,75.888
2022-08-01,75.8
2022-09-01,75.666
2022-10-01,75.474
2022-11-01,76.301
2022-12-01,76.358
2023-01-01,76.644
2023-02-01,76.558
2023-03-01,76.485
2023-04-01,76.428
2023-05-01,76.134
2023-06-01,75.698
2023-07-01,75.61
2023-08-01,75.551
2023-09-01,75.462
2023-10-01,75.157
2023-11-01,74.807
