"Date","STICKCPIM157SFRBATL"
1967-01-01,0.24883
1967-02-01,0.3195
1967-03-01,0.02967
1967-04-01,0.31966
1967-05-01,0.28525
1967-06-01,0.2912
1967-07-01,0.33678
1967-08-01,0.29795
1967-09-01,0.23618
1967-10-01,0.36421
1967-11-01,0.39309
1967-12-01,0.31685
1968-01-01,0.46501
1968-02-01,0.34517
1968-03-01,0.4605
1968-04-01,0.30354
1968-05-01,0.25199
1968-06-01,0.70233
1968-07-01,0.51008
1968-08-01,0.48351
1968-09-01,0.23316
1968-10-01,0.58758
1968-11-01,0.5526
1968-12-01,0.58171
1969-01-01,0.47095
1969-02-01,0.34481
1969-03-01,0.7704
1969-04-01,0.65007
1969-05-01,0.4841
1969-06-01,0.38082
1969-07-01,0.53369
1969-08-01,0.5103
1969-09-01,0.61182
1969-10-01,0.39512
1969-11-01,0.48854
1969-12-01,0.57145
1970-01-01,0.69492
1970-02-01,0.74482
1970-03-01,0.7491
1970-04-01,0.54606
1970-05-01,0.59521
1970-06-01,0.49853
1970-07-01,0.40369
1970-08-01,0.58085
1970-09-01,0.55044
1970-10-01,0.31782
1970-11-01,0.69183
1970-12-01,0.54251
1971-01-01,0.45066
1971-02-01,0.14831
1971-03-01,0.0382
1971-04-01,0.31451
1971-05-01,0.37246
1971-06-01,0.68402
1971-07-01,0.32684
1971-08-01,0.37332
1971-09-01,0.3391
1971-10-01,0.0598
1971-11-01,0.30278
1971-12-01,0.31166
1972-01-01,0.41653
1972-02-01,0.21808
1972-03-01,0.23777
1972-04-01,0.25204
1972-05-01,0.25711
1972-06-01,0.31978
1972-07-01,0.31433
1972-08-01,0.2857
1972-09-01,0.13167
1972-10-01,0.22693
1972-11-01,0.26072
1972-12-01,0.22246
1973-01-01,0.16175
1973-02-01,0.29682
1973-03-01,0.28941
1973-04-01,0.35744
1973-05-01,0.4776
1973-06-01,0.33368
1973-07-01,0.26612
1973-08-01,0.57788
1973-09-01,0.81548
1973-10-01,1.06692
1973-11-01,0.48382
1973-12-01,0.602
1974-01-01,0.6565
1974-02-01,0.68527
1974-03-01,0.72455
1974-04-01,0.67741
1974-05-01,0.96397
1974-06-01,1.0796
1974-07-01,1.08764
1974-08-01,1.11583
1974-09-01,1.11949
1974-10-01,0.99197
1974-11-01,0.78548
1974-12-01,1.01574
1975-01-01,0.81962
1975-02-01,0.79668
1975-03-01,0.53385
1975-04-01,0.65849
1975-05-01,0.27444
1975-06-01,0.60794
1975-07-01,0.46225
1975-08-01,0.3753
1975-09-01,0.78695
1975-10-01,0.63146
1975-11-01,0.77219
1975-12-01,0.62189
1976-01-01,0.74707
1976-02-01,0.48106
1976-03-01,0.50718
1976-04-01,0.268
1976-05-01,0.39175
1976-06-01,0.54871
1976-07-01,0.67041
1976-08-01,0.55412
1976-09-01,0.5587
1976-10-01,0.42564
1976-11-01,0.50422
1976-12-01,0.29614
1977-01-01,0.59488
1977-02-01,0.4798
1977-03-01,0.56386
1977-04-01,0.72915
1977-05-01,0.57923
1977-06-01,0.71279
1977-07-01,0.63867
1977-08-01,0.52317
1977-09-01,0.57984
1977-10-01,0.49562
1977-11-01,0.57493
1977-12-01,0.58618
1978-01-01,0.63642
1978-02-01,0.53485
1978-03-01,0.66535
1978-04-01,0.69705
1978-05-01,0.77679
1978-06-01,0.78402
1978-07-01,0.85092
1978-08-01,0.78954
1978-09-01,0.93873
1978-10-01,0.89281
1978-11-01,0.7336
1978-12-01,0.47953
1979-01-01,0.6804
1979-02-01,0.97056
1979-03-01,0.77941
1979-04-01,0.91224
1979-05-01,0.93987
1979-06-01,0.9187
1979-07-01,1.03675
1979-08-01,1.11949
1979-09-01,0.96036
1979-10-01,1.15348
1979-11-01,1.28115
1979-12-01,1.14584
1980-01-01,1.27358
1980-02-01,1.02607
1980-03-01,1.34508
1980-04-01,1.23169
1980-05-01,1.18443
1980-06-01,1.45164
1980-07-01,-0.27088
1980-08-01,0.43162
1980-09-01,0.84394
1980-10-01,1.11567
1980-11-01,1.1133
1980-12-01,1.00023
1981-01-01,0.73175
1981-02-01,0.4444
1981-03-01,0.55223
1981-04-01,0.71944
1981-05-01,1.07895
1981-06-01,1.09297
1981-07-01,1.40103
1981-08-01,0.88338
1981-09-01,1.14763
1981-10-01,0.30285
1981-11-01,0.46649
1981-12-01,0.38439
1982-01-01,0.37442
1982-02-01,0.41848
1982-03-01,0.02245
1982-04-01,0.85134
1982-05-01,1.04351
1982-06-01,0.94231
1982-07-01,0.55866
1982-08-01,0.39952
1982-09-01,-0.01263
1982-10-01,0.2898
1982-11-01,-0.12288
1982-12-01,-0.28104
1983-01-01,0.5117
1983-02-01,0.35447
1983-03-01,0.23015
1983-04-01,0.52142
1983-05-01,0.22823
1983-06-01,0.29006
1983-07-01,0.32384
1983-08-01,0.3227
1983-09-01,0.34062
1983-10-01,0.43818
1983-11-01,0.43721
1983-12-01,0.29367
1984-01-01,0.5582
1984-02-01,0.39848
1984-03-01,0.33009
1984-04-01,0.48947
1984-05-01,0.30699
1984-06-01,0.3598
1984-07-01,0.44509
1984-08-01,0.4373
1984-09-01,0.38239
1984-10-01,0.39135
1984-11-01,0.32457
1984-12-01,0.39592
1985-01-01,0.239
1985-02-01,0.53406
1985-03-01,0.40295
1985-04-01,0.31872
1985-05-01,0.54152
1985-06-01,0.39651
1985-07-01,0.32311
1985-08-01,0.44031
1985-09-01,0.29624
1985-10-01,0.5079
1985-11-01,0.54154
1985-12-01,0.26634
1986-01-01,0.48714
1986-02-01,0.36387
1986-03-01,0.48828
1986-04-01,0.44807
1986-05-01,0.26249
1986-06-01,0.40062
1986-07-01,0.27854
1986-08-01,0.30286
1986-09-01,0.39091
1986-10-01,0.41434
1986-11-01,0.30016
1986-12-01,0.33091
1987-01-01,0.36624
1987-02-01,0.32033
1987-03-01,0.33113
1987-04-01,0.50201
1987-05-01,0.30051
1987-06-01,0.1845
1987-07-01,0.28823
1987-08-01,0.40941
1987-09-01,0.40715
1987-10-01,0.46466
1987-11-01,0.26628
1987-12-01,0.31168
1988-01-01,0.40947
1988-02-01,0.34159
1988-03-01,0.40317
1988-04-01,0.47399
1988-05-01,0.34192
1988-06-01,0.4003
1988-07-01,0.32624
1988-08-01,0.39147
1988-09-01,0.44388
1988-10-01,0.37147
1988-11-01,0.37828
1988-12-01,0.35963
1989-01-01,0.39237
1989-02-01,0.37543
1989-03-01,0.36665
1989-04-01,0.35684
1989-05-01,0.47397
1989-06-01,0.38933
1989-07-01,0.45253
1989-08-01,0.35467
1989-09-01,0.30425
1989-10-01,0.48665
1989-11-01,0.38236
1989-12-01,0.38665
1990-01-01,0.44748
1990-02-01,0.39638
1990-03-01,0.61921
1990-04-01,0.43219
1990-05-01,0.38327
1990-06-01,0.56278
1990-07-01,0.5625
1990-08-01,0.62743
1990-09-01,0.35789
1990-10-01,0.37792
1990-11-01,0.27781
1990-12-01,0.35751
1991-01-01,0.66893
1991-02-01,0.46702
1991-03-01,0.25051
1991-04-01,0.25952
1991-05-01,0.32023
1991-06-01,0.30836
1991-07-01,0.37489
1991-08-01,0.34638
1991-09-01,0.3991
1991-10-01,0.22309
1991-11-01,0.30965
1991-12-01,0.34531
1992-01-01,0.31328
1992-02-01,0.23686
1992-03-01,0.34847
1992-04-01,0.308
1992-05-01,0.1842
1992-06-01,0.24525
1992-07-01,0.26833
1992-08-01,0.21221
1992-09-01,0.15368
1992-10-01,0.4682
1992-11-01,0.31298
1992-12-01,0.20049
1993-01-01,0.36356
1993-02-01,0.25902
1993-03-01,0.14569
1993-04-01,0.37838
1993-05-01,0.28914
1993-06-01,0.27882
1993-07-01,0.14669
1993-08-01,0.2892
1993-09-01,0.25894
1993-10-01,0.28218
1993-11-01,0.32005
1993-12-01,0.30405
1994-01-01,0.20302
1994-02-01,0.28196
1994-03-01,0.28035
