"Date","CUSR0000SETD"
1967-01-01,29.8
1967-02-01,29.9
1967-03-01,30
1967-04-01,30.1
1967-05-01,30.2
1967-06-01,30.3
1967-07-01,30.4
1967-08-01,30.6
1967-09-01,30.7
1967-10-01,30.8
1967-11-01,31
1967-12-01,31.1
1968-01-01,31.1
1968-02-01,31.3
1968-03-01,31.5
1968-04-01,31.7
1968-05-01,31.8
1968-06-01,31.9
1968-07-01,32
1968-08-01,32.2
1968-09-01,32.4
1968-10-01,32.6
1968-11-01,32.8
1968-12-01,33
1969-01-01,33.2
1969-02-01,33.3
1969-03-01,33.5
1969-04-01,33.6
1969-05-01,33.8
1969-06-01,33.9
1969-07-01,34.1
1969-08-01,34.3
1969-09-01,34.5
1969-10-01,34.8
1969-11-01,34.9
1969-12-01,35.1
1970-01-01,35.5
1970-02-01,35.7
1970-03-01,35.9
1970-04-01,36.1
1970-05-01,36.4
1970-06-01,36.6
1970-07-01,36.8
1970-08-01,37
1970-09-01,37.1
1970-10-01,37.3
1970-11-01,37.6
1970-12-01,37.7
1971-01-01,37.8
1971-02-01,38.2
1971-03-01,38.4
1971-04-01,38.8
1971-05-01,39
1971-06-01,39.3
1971-07-01,39.6
1971-08-01,39.8
1971-09-01,39.9
1971-10-01,40
1971-11-01,40.1
1971-12-01,40.3
1972-01-01,40.4
1972-02-01,40.5
1972-03-01,40.6
1972-04-01,40.7
1972-05-01,40.8
1972-06-01,41
1972-07-01,41.1
1972-08-01,41.3
1972-09-01,41.4
1972-10-01,41.5
1972-11-01,41.7
1972-12-01,41.8
1973-01-01,42
1973-02-01,42.2
1973-03-01,42.4
1973-04-01,42.7
1973-05-01,42.9
1973-06-01,43.1
1973-07-01,43.3
1973-08-01,43.5
1973-09-01,43.7
1973-10-01,43.9
1973-11-01,44.2
1973-12-01,44.5
1974-01-01,44.7
1974-02-01,45.2
1974-03-01,45.6
1974-04-01,46
1974-05-01,46.5
1974-06-01,46.9
1974-07-01,47.7
1974-08-01,48.3
1974-09-01,49.4
1974-10-01,50
1974-11-01,50.6
1974-12-01,50.9
1975-01-01,51.7
1975-02-01,52.1
1975-03-01,52.6
1975-04-01,53
1975-05-01,53.2
1975-06-01,53.5
1975-07-01,53.9
1975-08-01,54.1
1975-09-01,54.4
1975-10-01,54.6
1975-11-01,55.2
1975-12-01,55.6
1976-01-01,56.3
1976-02-01,56.4
1976-03-01,56.6
1976-04-01,56.8
1976-05-01,57.1
1976-06-01,57.4
1976-07-01,57.7
1976-08-01,58.1
1976-09-01,58.4
1976-10-01,58.7
1976-11-01,59
1976-12-01,59.3
1977-01-01,59.7
1977-02-01,60.2
1977-03-01,60.7
1977-04-01,61
1977-05-01,61.4
1977-06-01,61.7
1977-07-01,62.1
1977-08-01,62.5
1977-09-01,62.9
1977-10-01,63.1
1977-11-01,63.4
1977-12-01,64.1
1978-01-01,64.5
1978-02-01,65
1978-03-01,65.2
1978-04-01,65.6
1978-05-01,66.1
1978-06-01,66.7
1978-07-01,67.2
1978-08-01,67.7
1978-09-01,68.2
1978-10-01,68.9
1978-11-01,69.4
1978-12-01,69.9
1979-01-01,70.4
1979-02-01,71
1979-03-01,71.7
1979-04-01,72.3
1979-05-01,72.9
1979-06-01,73.5
1979-07-01,74.2
1979-08-01,74.7
1979-09-01,75.1
1979-10-01,75.7
1979-11-01,76.2
1979-12-01,76.9
1980-01-01,77.6
1980-02-01,78.4
1980-03-01,79.1
1980-04-01,80.1
1980-05-01,80.8
1980-06-01,81.2
1980-07-01,81.8
1980-08-01,82.4
1980-09-01,83.2
1980-10-01,83.9
