"Date","CP0500USM086NEST"
2001-12-01,106.54
2002-01-01,107.12
2002-02-01,107.02
2002-03-01,107.13
2002-04-01,107.24
2002-05-01,107.25
2002-06-01,107.13
2002-07-01,107.04
2002-08-01,106.65
2002-09-01,106.67
2002-10-01,106.63
2002-11-01,106.44
2002-12-01,105.7
2003-01-01,106.01
2003-02-01,106.38
2003-03-01,105.93
2003-04-01,105.93
2003-05-01,105.16
2003-06-01,105.07
2003-07-01,104.94
2003-08-01,104.48
2003-09-01,104.21
2003-10-01,104.14
2003-11-01,103.97
2003-12-01,103.79
2004-01-01,104.24
2004-02-01,104.52
2004-03-01,104.51
2004-04-01,104.49
2004-05-01,104.3
2004-06-01,104.49
2004-07-01,104.1
2004-08-01,103.67
2004-09-01,103.8
2004-10-01,104.76
2004-11-01,104.5
2004-12-01,104.15
2005-01-01,104.64
2005-02-01,104.7
2005-03-01,104.69
2005-04-01,104.85
2005-05-01,105.13
2005-06-01,104.6
2005-07-01,104.46
2005-08-01,104.36
2005-09-01,104.27
2005-10-01,104.49
2005-11-01,104.66
2005-12-01,104.91
2006-01-01,104.96
2006-02-01,105.1
2006-03-01,105.02
2006-04-01,105.1
2006-05-01,105.33
2006-06-01,105.37
2006-07-01,105.29
2006-08-01,105.25
2006-09-01,105.2
2006-10-01,105.42
2006-11-01,105.29
2006-12-01,105.09
2007-01-01,105.16
2007-02-01,105.51
2007-03-01,105.63
2007-04-01,105.42
2007-05-01,105.36
2007-06-01,105.38
2007-07-01,104.98
2007-08-01,104.67
2007-09-01,104.31
2007-10-01,104.31
2007-11-01,104.31
2007-12-01,104.1
2008-01-01,104.5
2008-02-01,104.62
2008-03-01,105.12
2008-04-01,104.98
2008-05-01,105.2
2008-06-01,105.19
2008-07-01,105.39
2008-08-01,105.5
2008-09-01,105.88
2008-10-01,105.94
2008-11-01,105.73
2008-12-01,105.65
2009-01-01,105.82
2009-02-01,106.16
2009-03-01,106.58
2009-04-01,106.57
2009-05-01,106.56
2009-06-01,106.53
2009-07-01,106.24
2009-08-01,105.38
2009-09-01,105.33
2009-10-01,104.94
2009-11-01,104.5
2009-12-01,104.4
2010-01-01,104.44
2010-02-01,104.22
2010-03-01,104.08
2010-04-01,103.44
2010-05-01,103.43
2010-06-01,103.06
2010-07-01,102.67
2010-08-01,102.42
2010-09-01,102.05
2010-10-01,102.01
2010-11-01,101.63
2010-12-01,101.46
2011-01-01,101.83
2011-02-01,102.08
2011-03-01,102.19
2011-04-01,102.31
2011-05-01,102.53
2011-06-01,102.46
2011-07-01,102.34
2011-08-01,102.48
2011-09-01,102.31
2011-10-01,102.47
2011-11-01,102.31
2011-12-01,102.38
2012-01-01,102.75
2012-02-01,103.18
2012-03-01,103.11
2012-04-01,103.12
2012-05-01,102.95
2012-06-01,103.07
2012-07-01,103.1
2012-08-01,102.68
2012-09-01,102.35
2012-10-01,102.35
2012-11-01,102.5
2012-12-01,102.27
2013-01-01,102.43
2013-02-01,102.6
2013-03-01,102.32
2013-04-01,102.22
2013-05-01,102.34
2013-06-01,102.34
2013-07-01,101.87
2013-08-01,101.66
2013-09-01,101.45
2013-10-01,101.28
2013-11-01,100.9
2013-12-01,100.66
2014-01-01,100.96
2014-02-01,100.8
2014-03-01,100.73
2014-04-01,100.63
2014-05-01,100.56
2014-06-01,100.73
2014-07-01,100.48
2014-08-01,100.1
2014-09-01,99.95
2014-10-01,100.47
2014-11-01,100.07
2014-12-01,99.69
2015-01-01,99.83
2015-02-01,99.99
2015-03-01,100.16
2015-04-01,100.7
2015-05-01,100.52
2015-06-01,100.47
2015-07-01,100.06
2015-08-01,99.6
2015-09-01,99.83
2015-10-01,99.85
2015-11-01,99.45
2015-12-01,99.55
2016-01-01,99.75
2016-02-01,99.86
2016-03-01,99.77
2016-04-01,99.47
2016-05-01,99.33
2016-06-01,99.29
2016-07-01,99.12
2016-08-01,98.64
2016-09-01,98.67
2016-10-01,98.98
2016-11-01,98.39
2016-12-01,98.37
2017-01-01,99.02
2017-02-01,99.06
2017-03-01,99.1
2017-04-01,98.86
2017-05-01,98.78
2017-06-01,98.6
2017-07-01,98.2
2017-08-01,97.96
2017-09-01,97.75
2017-10-01,97.97
2017-11-01,97.61
2017-12-01,97.59
2018-01-01,98.48
2018-02-01,98.95
2018-03-01,99.07
2018-04-01,99.51
2018-05-01,99.16
2018-06-01,99.02
2018-07-01,99.01
2018-08-01,98.68
2018-09-01,98.92
2018-10-01,99.48
2018-11-01,99.16
2018-12-01,99.54
2019-01-01,100.49
2019-02-01,100.87
2019-03-01,100.78
2019-04-01,100.46
2019-05-01,100.42
2019-06-01,101.15
2019-07-01,101.31
2019-08-01,100.87
2019-09-01,101.15
2019-10-01,101.19
2019-11-01,100.67
2019-12-01,100.43
2020-01-01,101.06
2020-02-01,101.46
