"Date","CUUR0000SA0L2"
1935-03-01,14
1935-04-01,NA
1935-05-01,NA
1935-06-01,NA
1935-07-01,14
1935-08-01,NA
1935-09-01,NA
1935-10-01,14
1935-11-01,NA
1935-12-01,NA
1936-01-01,14.1
1936-02-01,NA
1936-03-01,NA
1936-04-01,13.9
1936-05-01,NA
1936-06-01,NA
1936-07-01,14.2
1936-08-01,NA
1936-09-01,14.4
1936-10-01,NA
1936-11-01,NA
1936-12-01,14.2
1937-01-01,NA
1937-02-01,NA
1937-03-01,14.5
1937-04-01,NA
1937-05-01,NA
1937-06-01,14.6
1937-07-01,NA
1937-08-01,NA
1937-09-01,14.9
1937-10-01,NA
1937-11-01,NA
1937-12-01,14.6
1938-01-01,NA
1938-02-01,NA
1938-03-01,14.2
1938-04-01,NA
1938-05-01,NA
1938-06-01,14.2
1938-07-01,NA
1938-08-01,NA
1938-09-01,14.2
1938-10-01,NA
1938-11-01,NA
1938-12-01,14.1
1939-01-01,NA
1939-02-01,NA
1939-03-01,13.9
1939-04-01,NA
1939-05-01,NA
1939-06-01,13.8
1939-07-01,NA
1939-08-01,NA
1939-09-01,14.2
1939-10-01,NA
1939-11-01,NA
1939-12-01,14
1940-01-01,NA
1940-02-01,NA
1940-03-01,14.1
1940-04-01,NA
1940-05-01,NA
1940-06-01,14.1
1940-07-01,NA
1940-08-01,NA
1940-09-01,14.1
1940-10-01,14.1
1940-11-01,14.1
1940-12-01,14.2
1941-01-01,14.2
1941-02-01,14.2
1941-03-01,14.3
1941-04-01,14.4
1941-05-01,14.5
1941-06-01,14.8
1941-07-01,15
1941-08-01,15.1
1941-09-01,15.4
1941-10-01,15.6
1941-11-01,15.7
1941-12-01,15.8
1942-01-01,16
1942-02-01,16.2
1942-03-01,16.4
1942-04-01,16.5
1942-05-01,16.7
1942-06-01,16.8
1942-07-01,16.9
1942-08-01,17
1942-09-01,17
1942-10-01,17.3
1942-11-01,17.4
1942-12-01,17.5
1943-01-01,17.6
1943-02-01,17.6
1943-03-01,17.9
1943-04-01,18.1
1943-05-01,18.3
1943-06-01,18.3
1943-07-01,18.1
1943-08-01,18
1943-09-01,18.1
1943-10-01,18.2
1943-11-01,18.2
1943-12-01,18.2
1944-01-01,18.2
1944-02-01,18.1
1944-03-01,18.1
1944-04-01,18.2
1944-05-01,18.3
1944-06-01,18.4
1944-07-01,18.5
1944-08-01,18.6
1944-09-01,18.6
1944-10-01,18.6
1944-11-01,18.6
1944-12-01,18.7
1945-01-01,18.7
1945-02-01,18.6
1945-03-01,18.6
1945-04-01,18.7
1945-05-01,18.8
1945-06-01,19
1945-07-01,19.1
1945-08-01,19.1
1945-09-01,19
1945-10-01,19
1945-11-01,19.1
1945-12-01,19.2
1946-01-01,19.2
1946-02-01,19.1
1946-03-01,19.2
1946-04-01,19.4
1946-05-01,19.5
1946-06-01,19.7
1946-07-01,21.1
1946-08-01,21.6
1946-09-01,21.9
1946-10-01,22.4
1946-11-01,23
1946-12-01,23.2
1947-01-01,23.2
1947-02-01,23.1
1947-03-01,23.7
1947-04-01,23.7
1947-05-01,23.6
1947-06-01,23.8
1947-07-01,24
1947-08-01,24.3
1947-09-01,24.9
1947-10-01,24.8
1947-11-01,25
1947-12-01,25.4
1948-01-01,25.7
1948-02-01,25.4
1948-03-01,25.3
1948-04-01,25.7
1948-05-01,25.9
1948-06-01,26.1
1948-07-01,26.4
1948-08-01,26.6
1948-09-01,26.6
1948-10-01,26.4
1948-11-01,26.2
1948-12-01,26
1949-01-01,25.9
1949-02-01,25.6
1949-03-01,25.6
1949-04-01,25.7
1949-05-01,25.6
1949-06-01,25.6
1949-07-01,25.5
1949-08-01,25.5
1949-09-01,25.6
1949-10-01,25.4
1949-11-01,25.4
1949-12-01,25.2
1950-01-01,25.1
1950-02-01,25.1
1950-03-01,25.1
1950-04-01,25.1
1950-05-01,25.3
1950-06-01,25.4
1950-07-01,25.7
1950-08-01,26
1950-09-01,26.1
1950-10-01,26.3
1950-11-01,26.4
1950-12-01,26.8
1951-01-01,27.3
1951-02-01,27.6
1951-03-01,27.7
1951-04-01,27.8
1951-05-01,27.9
1951-06-01,27.8
1951-07-01,27.9
1951-08-01,27.9
1951-09-01,28
1951-10-01,28.1
1951-11-01,28.3
1951-12-01,28.4
1952-01-01,28.4
1952-02-01,28.2
1952-03-01,28.2
1952-04-01,28.3
1952-05-01,28.3
1952-06-01,28.4
1952-07-01,28.6
1952-08-01,28.7
1952-09-01,28.6
1952-10-01,28.6
1952-11-01,28.6
1952-12-01,28.5
1953-01-01,28.5
1953-02-01,28.3
1953-03-01,28.4
1953-04-01,28.4
1953-05-01,28.4
1953-06-01,28.6
1953-07-01,28.6
1953-08-01,28.7
1953-09-01,28.7
1953-10-01,28.7
1953-11-01,28.6
1953-12-01,28.6
1954-01-01,28.7
1954-02-01,28.6
1954-03-01,28.5
1954-04-01,28.5
1954-05-01,28.6
1954-06-01,28.6
1954-07-01,28.7
1954-08-01,28.5
1954-09-01,28.5
1954-10-01,28.4
1954-11-01,28.4
1954-12-01,28.3
1955-01-01,28.3
1955-02-01,28.3
1955-03-01,28.3
1955-04-01,28.3
1955-05-01,28.3
1955-06-01,28.3
1955-07-01,28.4
1955-08-01,28.3
1955-09-01,28.5
1955-10-01,28.5
1955-11-01,28.5
1955-12-01,28.4
1956-01-01,28.3
1956-02-01,28.3
1956-03-01,28.4
1956-04-01,28.5
1956-05-01,28.6
1956-06-01,28.8
1956-07-01,29
1956-08-01,28.9
1956-09-01,28.9
1956-10-01,29.1
1956-11-01,29.2
1956-12-01,29.2
1957-01-01,29.3
1957-02-01,29.4
1957-03-01,29.4
1957-04-01,29.5
1957-05-01,29.6
1957-06-01,29.7
1957-07-01,29.9
1957-08-01,30
1957-09-01,30
1957-10-01,29.9
1957-11-01,30.1
1957-12-01,30.1
1958-01-01,30.3
1958-02-01,30.3
1958-03-01,30.5
1958-04-01,30.6
1958-05-01,30.6
1958-06-01,30.6
1958-07-01,30.7
1958-08-01,30.6
1958-09-01,30.7
1958-10-01,30.7
1958-11-01,30.7
1958-12-01,30.7
1959-01-01,30.7
1959-02-01,30.6
1959-03-01,30.6
1959-04-01,30.7
1959-05-01,30.7
1959-06-01,30.8
1959-07-01,31
1959-08-01,30.9
1959-09-01,31
1959-10-01,31.1
1959-11-01,31.1
1959-12-01,31.1
1960-01-01,31
1960-02-01,31.1
1960-03-01,31.1
1960-04-01,31.2
1960-05-01,31.2
1960-06-01,31.3
1960-07-01,31.3
1960-08-01,31.3
1960-09-01,31.3
1960-10-01,31.5
1960-11-01,31.6
1960-12-01,31.6
1961-01-01,31.5
1961-02-01,31.6
1961-03-01,31.6
1961-04-01,31.6
1961-05-01,31.5
1961-06-01,31.6
1961-07-01,31.7
1961-08-01,31.7
1961-09-01,31.8
1961-10-01,31.8
1961-11-01,31.8
1961-12-01,31.7
1962-01-01,31.7
1962-02-01,31.8
1962-03-01,31.9
1962-04-01,32
1962-05-01,32
1962-06-01,32
1962-07-01,32
1962-08-01,32
1962-09-01,32.2
1962-10-01,32.2
1962-11-01,32.2
1962-12-01,32.2
1963-01-01,32.2
1963-02-01,32.2
1963-03-01,32.2
1963-04-01,32.2
1963-05-01,32.2
1963-06-01,32.4
1963-07-01,32.5
1963-08-01,32.6
1963-09-01,32.5
1963-10-01,32.6
1963-11-01,32.6
1963-12-01,32.7
1964-01-01,32.7
1964-02-01,32.7
1964-03-01,32.7
1964-04-01,32.7
1964-05-01,32.7
1964-06-01,32.8
1964-07-01,32.9
1964-08-01,32.9
1964-09-01,32.9
1964-10-01,32.9
1964-11-01,33
1964-12-01,33
1965-01-01,33
1965-02-01,33
1965-03-01,33
1965-04-01,33.1
1965-05-01,33.2
1965-06-01,33.4
1965-07-01,33.5
1965-08-01,33.3
1965-09-01,33.4
1965-10-01,33.5
1965-11-01,33.6
1965-12-01,33.7
1966-01-01,33.7
1966-02-01,33.8
1966-03-01,34
1966-04-01,34.2
1966-05-01,34.2
1966-06-01,34.2
1966-07-01,34.4
1966-08-01,34.5
1966-09-01,34.6
1966-10-01,34.7
1966-11-01,34.8
1966-12-01,34.7
1967-01-01,34.7
1967-02-01,34.7
1967-03-01,34.8
1967-04-01,34.9
1967-05-01,35
1967-06-01,35.1
1967-07-01,35.3
1967-08-01,35.4
1967-09-01,35.5
1967-10-01,35.6
1967-11-01,35.7
1967-12-01,35.8
1968-01-01,35.9
1968-02-01,36
1968-03-01,36.2
1968-04-01,36.3
1968-05-01,36.4
1968-06-01,36.6
1968-07-01,36.7
1968-08-01,36.8
1968-09-01,36.9
1968-10-01,37.1
1968-11-01,37.2
1968-12-01,37.3
1969-01-01,37.4
1969-02-01,37.5
1969-03-01,37.8
1969-04-01,38
1969-05-01,38.1
1969-06-01,38.4
1969-07-01,38.5
1969-08-01,38.6
1969-09-01,38.8
1969-10-01,38.9
1969-11-01,39.1
1969-12-01,39.3
1970-01-01,39.4
1970-02-01,39.6
1970-03-01,39.7
1970-04-01,40
1970-05-01,40.1
1970-06-01,40.3
1970-07-01,40.4
1970-08-01,40.5
1970-09-01,40.6
1970-10-01,40.8
1970-11-01,41
1970-12-01,41.1
1971-01-01,41.2
1971-02-01,41.3
1971-03-01,41.6
1971-04-01,41.8
1971-05-01,42
1971-06-01,42.2
1971-07-01,42.3
1971-08-01,42.3
1971-09-01,42.3
1971-10-01,42.4
1971-11-01,42.4
1971-12-01,42.6
1972-01-01,42.6
1972-02-01,42.8
1972-03-01,42.9
1972-04-01,43
1972-05-01,43.1
1972-06-01,43.2
1972-07-01,43.3
1972-08-01,43.4
1972-09-01,43.6
1972-10-01,43.7
1972-11-01,43.9
1972-12-01,43.9
1973-01-01,44.1
1973-02-01,44.5
1973-03-01,45
1973-04-01,45.4
1973-05-01,45.7
1973-06-01,46
1973-07-01,46.1
1973-08-01,47
1973-09-01,47
1973-10-01,47.4
1973-11-01,47.7
1973-12-01,48.1
1974-01-01,48.5
1974-02-01,49.2
1974-03-01,49.8
1974-04-01,50.1
1974-05-01,50.7
1974-06-01,51.2
1974-07-01,51.6
1974-08-01,52.2
1974-09-01,52.8
1974-10-01,53.2
1974-11-01,53.7
1974-12-01,54.1
1975-01-01,54.3
1975-02-01,54.6
1975-03-01,54.8
1975-04-01,55
1975-05-01,55.3
1975-06-01,55.8
1975-07-01,56.4
1975-08-01,56.6
1975-09-01,56.9
1975-10-01,57.3
1975-11-01,57.5
1975-12-01,57.8
1976-01-01,57.9
1976-02-01,58.1
1976-03-01,58.2
1976-04-01,58.5
1976-05-01,58.8
1976-06-01,59.2
1976-07-01,59.5
1976-08-01,59.8
1976-09-01,60
1976-10-01,60.2
1976-11-01,60.4
1976-12-01,60.6
1977-01-01,60.9
1977-02-01,61.6
1977-03-01,62
1977-04-01,62.5
1977-05-01,62.8
1977-06-01,63.2
1977-07-01,63.5
1977-08-01,63.7
1977-09-01,63.8
1977-10-01,64
1977-11-01,64.3
1977-12-01,64.4
1978-01-01,64.7
1978-02-01,65.1
1978-03-01,65.6
1978-04-01,66.2
1978-05-01,66.9
1978-06-01,67.5
1978-07-01,67.9
1978-08-01,68.1
1978-09-01,68.5
1978-10-01,68.9
1978-11-01,69.3
1978-12-01,69.7
1979-01-01,70.3
1979-02-01,71
1979-03-01,71.7
1979-04-01,72.5
1979-05-01,73.4
1979-06-01,74.2
1979-07-01,74.9
1979-08-01,75.4
1979-09-01,76.1
1979-10-01,76.6
1979-11-01,77
1979-12-01,77.7
1980-01-01,78.7
1980-02-01,79.8
1980-03-01,80.9
1980-04-01,81.6
1980-05-01,82.2
1980-06-01,82.7
1980-07-01,83.2
1980-08-01,84
1980-09-01,84.9
1980-10-01,85.3
1980-11-01,85.8
1980-12-01,86.3
1981-01-01,87.2
1981-02-01,88.5
1981-03-01,89.2
1981-04-01,89.8
1981-05-01,90.2
1981-06-01,90.8
1981-07-01,91.5
1981-08-01,92
1981-09-01,92.8
1981-10-01,93.1
1981-11-01,93.5
1981-12-01,93.7
1982-01-01,94.2
1982-02-01,94.5
1982-03-01,94.5
1982-04-01,94.6
1982-05-01,95.3
1982-06-01,96.4
1982-07-01,96.9
1982-08-01,97.1
1982-09-01,97.5
1982-10-01,97.9
1982-11-01,97.9
1982-12-01,98
1983-01-01,98.1
1983-02-01,98.1
1983-03-01,98.1
1983-04-01,98.9
1983-05-01,99.4
1983-06-01,99.8
1983-07-01,100.2
1983-08-01,100.5
1983-09-01,101
1983-10-01,101.2
1983-11-01,101.3
1983-12-01,101.5
1984-01-01,102
1984-02-01,102.6
1984-03-01,102.8
1984-04-01,103.2
1984-05-01,103.5
1984-06-01,103.8
1984-07-01,104.1
1984-08-01,104.5
1984-09-01,105
1984-10-01,105.2
1984-11-01,105.1
1984-12-01,105.1
1985-01-01,105.3
1985-02-01,105.6
1985-03-01,106.2
1985-04-01,106.6
1985-05-01,106.8
1985-06-01,107.2
1985-07-01,107.2
1985-08-01,107.3
1985-09-01,107.6
1985-10-01,107.9
1985-11-01,108.2
1985-12-01,108.4
1986-01-01,108.7
1986-02-01,108.2
1986-03-01,107.5
1986-04-01,106.9
1986-05-01,107.3
1986-06-01,107.9
1986-07-01,107.8
1986-08-01,107.9
1986-09-01,108.4
1986-10-01,108.4
1986-11-01,108.5
1986-12-01,108.6
1987-01-01,109.3
1987-02-01,109.7
1987-03-01,110.2
1987-04-01,110.8
1987-05-01,111.1
1987-06-01,111.7
1987-07-01,111.8
1987-08-01,112.3
1987-09-01,113
1987-10-01,113.2
1987-11-01,113.3
1987-12-01,113.2
1988-01-01,113.3
1988-02-01,113.5
1988-03-01,114
1988-04-01,114.7
1988-05-01,115.2
1988-06-01,115.7
1988-07-01,116.1
1988-08-01,116.5
1988-09-01,117.5
1988-10-01,117.9
1988-11-01,118
1988-12-01,118.1
1989-01-01,118.7
1989-02-01,119.2
1989-03-01,119.9
