"Date","CUURA300SA0L2"
1977-12-01,64.2
1978-01-01,NA
1978-02-01,65
1978-03-01,NA
1978-04-01,66
1978-05-01,NA
1978-06-01,67.5
1978-07-01,NA
1978-08-01,68.3
1978-09-01,NA
1978-10-01,68.9
1978-11-01,NA
1978-12-01,69.4
1979-01-01,NA
1979-02-01,70.8
1979-03-01,NA
1979-04-01,72.5
1979-05-01,NA
1979-06-01,74.5
1979-07-01,NA
1979-08-01,75.4
1979-09-01,NA
1979-10-01,76.4
1979-11-01,NA
1979-12-01,77.5
1980-01-01,NA
1980-02-01,79.8
1980-03-01,NA
1980-04-01,81.4
1980-05-01,NA
1980-06-01,82.7
1980-07-01,NA
1980-08-01,84.2
1980-09-01,NA
1980-10-01,85.4
1980-11-01,NA
1980-12-01,86.1
1981-01-01,NA
1981-02-01,88.3
1981-03-01,NA
1981-04-01,89.4
1981-05-01,NA
1981-06-01,90.6
1981-07-01,NA
1981-08-01,91.4
1981-09-01,NA
1981-10-01,92.4
1981-11-01,NA
1981-12-01,93
1982-01-01,NA
1982-02-01,93.9
1982-03-01,NA
1982-04-01,94.2
1982-05-01,NA
1982-06-01,96.2
1982-07-01,NA
1982-08-01,96.6
1982-09-01,NA
1982-10-01,97.6
1982-11-01,NA
1982-12-01,97.7
1983-01-01,NA
1983-02-01,98
1983-03-01,NA
1983-04-01,98.8
1983-05-01,NA
1983-06-01,100.1
1983-07-01,NA
1983-08-01,100.7
1983-09-01,NA
1983-10-01,101.4
1983-11-01,NA
1983-12-01,101.4
1984-01-01,NA
1984-02-01,102.8
1984-03-01,NA
1984-04-01,103.3
1984-05-01,NA
1984-06-01,104.3
1984-07-01,NA
1984-08-01,105
1984-09-01,NA
1984-10-01,105.7
1984-11-01,NA
1984-12-01,105.7
1985-01-01,NA
1985-02-01,106
1985-03-01,NA
1985-04-01,107.2
1985-05-01,NA
1985-06-01,107.9
1985-07-01,NA
1985-08-01,108.1
1985-09-01,NA
1985-10-01,108.6
1985-11-01,NA
1985-12-01,109.2
1986-01-01,NA
1986-02-01,109.2
1986-03-01,NA
1986-04-01,107.6
1986-05-01,NA
1986-06-01,108.7
1986-07-01,NA
1986-08-01,108.6
1986-09-01,NA
1986-10-01,109
1986-11-01,NA
1986-12-01,109.1
1987-01-01,109.7
1987-02-01,110.4
1987-03-01,110.8
1987-04-01,111.7
1987-05-01,112.2
1987-06-01,112.7
1987-07-01,113
1987-08-01,113.4
1987-09-01,113.9
1987-10-01,114.4
1987-11-01,114.7
1987-12-01,114.3
1988-01-01,114.3
1988-02-01,114.7
1988-03-01,115.3
1988-04-01,115.8
1988-05-01,116.3
1988-06-01,116.9
1988-07-01,117.3
1988-08-01,117.7
1988-09-01,118.6
1988-10-01,119.1
1988-11-01,119
1988-12-01,119.1
1989-01-01,119.5
1989-02-01,119.9
1989-03-01,120.4
1989-04-01,121.5
1989-05-01,122.3
1989-06-01,122.7
1989-07-01,122.9
1989-08-01,122.8
1989-09-01,123.6
1989-10-01,124.1
1989-11-01,124.1
1989-12-01,124.1
1990-01-01,125.3
1990-02-01,126.3
1990-03-01,127
1990-04-01,127
1990-05-01,127.5
1990-06-01,128.1
1990-07-01,128.6
1990-08-01,129.2
1990-09-01,130.7
1990-10-01,132.2
1990-11-01,132.2
1990-12-01,132
1991-01-01,132.5
1991-02-01,133.2
1991-03-01,133.3
1991-04-01,133.2
1991-05-01,134
1991-06-01,134.1
1991-07-01,133.9
1991-08-01,133.9
1991-09-01,134.8
1991-10-01,135.6
1991-11-01,135.4
1991-12-01,135.1
1992-01-01,135
1992-02-01,135.8
1992-03-01,136.5
1992-04-01,136.6
1992-05-01,137.1
1992-06-01,137.7
1992-07-01,137.8
1992-08-01,137.5
1992-09-01,138
1992-10-01,139
1992-11-01,139.2
1992-12-01,138.5
1993-01-01,139.1
1993-02-01,140
1993-03-01,140.8
1993-04-01,141.4
1993-05-01,142.1
1993-06-01,141.9
1993-07-01,141.4
1993-08-01,142.5
1993-09-01,142.5
1993-10-01,143.1
1993-11-01,143.4
1993-12-01,143.4
1994-01-01,143.2
1994-02-01,143.8
1994-03-01,144.8
1994-04-01,144.6
1994-05-01,145
1994-06-01,145.6
1994-07-01,145.7
1994-08-01,146
1994-09-01,146.3
1994-10-01,146.4
1994-11-01,146.1
1994-12-01,146.1
1995-01-01,146.5
1995-02-01,147.3
1995-03-01,148
1995-04-01,148.4
1995-05-01,148.9
1995-06-01,148.8
1995-07-01,148.7
1995-08-01,149.4
1995-09-01,149.1
1995-10-01,149.7
1995-11-01,149.6
1995-12-01,149.2
1996-01-01,150
1996-02-01,150
1996-03-01,150.9
1996-04-01,152.1
1996-05-01,152.5
1996-06-01,153.1
1996-07-01,153
1996-08-01,152.8
1996-09-01,153.3
1996-10-01,153.5
1996-11-01,153.4
1996-12-01,153.8
1997-01-01,154.7
1997-02-01,154.7
1997-03-01,154.8
1997-04-01,155.1
1997-05-01,155.1
1997-06-01,155.3
1997-07-01,155.1
1997-08-01,155.2
1997-09-01,155.8
1997-10-01,155.9
1997-11-01,155.6
1997-12-01,155.3
1998-01-01,155.4
1998-02-01,155
1998-03-01,155.5
1998-04-01,155.7
1998-05-01,155.9
1998-06-01,156.7
1998-07-01,156.6
1998-08-01,156.9
1998-09-01,156.8
1998-10-01,156.9
1998-11-01,156.3
1998-12-01,156
1999-01-01,156.4
1999-02-01,156.2
1999-03-01,156.7
1999-04-01,158
1999-05-01,158.2
1999-06-01,158.6
1999-07-01,159
1999-08-01,159.6
1999-09-01,160.6
1999-10-01,161.3
1999-11-01,160.7
1999-12-01,160.9
2000-01-01,161.1
2000-02-01,161.6
2000-03-01,163.4
2000-04-01,163.9
2000-05-01,163.6
2000-06-01,165.1
2000-07-01,165.8
2000-08-01,165.6
2000-09-01,166.2
