"Date","CUUR0200SA0"
1966-12-01,32.9
1967-01-01,NA
1967-02-01,NA
1967-03-01,33.1
1967-04-01,NA
1967-05-01,NA
1967-06-01,33.3
1967-07-01,NA
1967-08-01,NA
1967-09-01,33.7
1967-10-01,NA
1967-11-01,NA
1967-12-01,34
1968-01-01,NA
1968-02-01,NA
1968-03-01,34.4
1968-04-01,NA
1968-05-01,NA
1968-06-01,34.8
1968-07-01,NA
1968-08-01,NA
1968-09-01,35.2
1968-10-01,NA
1968-11-01,NA
1968-12-01,35.5
1969-01-01,NA
1969-02-01,NA
1969-03-01,36.1
1969-04-01,NA
1969-05-01,NA
1969-06-01,36.6
1969-07-01,NA
1969-08-01,NA
1969-09-01,37.2
1969-10-01,NA
1969-11-01,NA
1969-12-01,37.7
1970-01-01,NA
1970-02-01,NA
1970-03-01,38.2
1970-04-01,NA
1970-05-01,NA
1970-06-01,38.8
1970-07-01,NA
1970-08-01,NA
1970-09-01,39.2
1970-10-01,NA
1970-11-01,NA
1970-12-01,39.6
1971-01-01,NA
1971-02-01,NA
1971-03-01,39.8
1971-04-01,NA
1971-05-01,NA
1971-06-01,40.3
1971-07-01,NA
1971-08-01,NA
1971-09-01,40.5
1971-10-01,NA
1971-11-01,NA
1971-12-01,40.8
1972-01-01,NA
1972-02-01,NA
1972-03-01,41.1
1972-04-01,NA
1972-05-01,NA
1972-06-01,41.4
1972-07-01,NA
1972-08-01,NA
1972-09-01,41.7
1972-10-01,NA
1972-11-01,NA
1972-12-01,42
1973-01-01,NA
1973-02-01,NA
1973-03-01,42.8
1973-04-01,NA
1973-05-01,NA
1973-06-01,43.8
1973-07-01,NA
1973-08-01,NA
1973-09-01,44.8
1973-10-01,NA
1973-11-01,NA
1973-12-01,45.7
1974-01-01,NA
1974-02-01,NA
1974-03-01,47.2
1974-04-01,NA
1974-05-01,NA
1974-06-01,48.5
1974-07-01,NA
1974-08-01,NA
1974-09-01,49.8
1974-10-01,NA
1974-11-01,NA
1974-12-01,51.1
1975-01-01,NA
1975-02-01,NA
1975-03-01,51.9
1975-04-01,NA
1975-05-01,NA
1975-06-01,52.9
1975-07-01,NA
1975-08-01,NA
1975-09-01,53.8
1975-10-01,NA
1975-11-01,NA
1975-12-01,54.6
1976-01-01,NA
1976-02-01,NA
1976-03-01,55
1976-04-01,NA
1976-05-01,NA
1976-06-01,56
1976-07-01,NA
1976-08-01,NA
1976-09-01,56.8
1976-10-01,NA
1976-11-01,NA
1976-12-01,57.3
1977-01-01,NA
1977-02-01,NA
1977-03-01,58.8
1977-04-01,NA
1977-05-01,NA
1977-06-01,60
1977-07-01,NA
1977-08-01,NA
1977-09-01,60.7
1977-10-01,NA
1977-11-01,NA
1977-12-01,61.5
1978-01-01,NA
1978-02-01,62.3
1978-03-01,NA
1978-04-01,63.4
1978-05-01,NA
1978-06-01,64.7
1978-07-01,NA
