"Date","CUURX100SA0LE"
2008-08-01,127.383
2008-09-01,127.303
2008-10-01,127.828
2008-11-01,127.754
2008-12-01,127.552
2009-01-01,128.217
2009-02-01,128.622
2009-03-01,129.186
2009-04-01,129.295
2009-05-01,129.303
2009-06-01,130.143
2009-07-01,130.236
2009-08-01,130.201
2009-09-01,130.417
2009-10-01,131.173
2009-11-01,130.871
2009-12-01,130.905
2010-01-01,131.335
2010-02-01,131.595
2010-03-01,131.791
2010-04-01,131.963
2010-05-01,132.142
2010-06-01,132.456
2010-07-01,132.56
2010-08-01,132.63
2010-09-01,132.77
2010-10-01,132.748
2010-11-01,132.986
2010-12-01,132.642
2011-01-01,132.94
2011-02-01,133.283
2011-03-01,133.771
2011-04-01,134.256
2011-05-01,134.593
2011-06-01,134.98
2011-07-01,135.758
2011-08-01,136.157
2011-09-01,136.292
2011-10-01,136.517
2011-11-01,136.458
2011-12-01,136.51
2012-01-01,136.753
2012-02-01,137.211
2012-03-01,137.554
2012-04-01,137.868
2012-05-01,138.104
2012-06-01,138.12
2012-07-01,138.263
2012-08-01,138.131
2012-09-01,138.555
2012-10-01,138.924
2012-11-01,138.457
2012-12-01,138.36
2013-01-01,138.625
2013-02-01,138.905
2013-03-01,138.841
2013-04-01,139.132
2013-05-01,139.373
2013-06-01,139.264
2013-07-01,139.428
2013-08-01,139.802
2013-09-01,139.819
2013-10-01,139.984
2013-11-01,140.185
2013-12-01,139.79
2014-01-01,140.328
2014-02-01,140.658
2014-03-01,141.028
2014-04-01,141.302
2014-05-01,141.858
2014-06-01,141.855
2014-07-01,141.992
2014-08-01,141.67
2014-09-01,142.057
2014-10-01,142.291
2014-11-01,141.681
2014-12-01,141.422
2015-01-01,141.616
2015-02-01,141.866
2015-03-01,142.089
2015-04-01,142.482
2015-05-01,142.902
2015-06-01,143.467
2015-07-01,143.786
2015-08-01,143.702
2015-09-01,143.724
2015-10-01,143.67
2015-11-01,143.676
2015-12-01,143.592
2016-01-01,143.903
2016-02-01,144.47
2016-03-01,144.834
2016-04-01,145.221
2016-05-01,145.354
2016-06-01,145.438
2016-07-01,145.844
2016-08-01,146.171
2016-09-01,146.247
2016-10-01,146.612
2016-11-01,146.271
2016-12-01,146.031
2017-01-01,146.547
2017-02-01,146.783
2017-03-01,146.847
2017-04-01,147.067
2017-05-01,147.103
2017-06-01,146.925
2017-07-01,146.395
2017-08-01,146.737
2017-09-01,146.699
2017-10-01,147.176
2017-11-01,147.208
2017-12-01,147.616
2018-01-01,148.323
2018-02-01,148.647
2018-03-01,149.033
2018-04-01,149.566
2018-05-01,150.094
2018-06-01,150.266
2018-07-01,150.118
2018-08-01,150.596
2018-09-01,150.164
2018-10-01,150.019
2018-11-01,149.763
2018-12-01,150.17
2019-01-01,150.977
2019-02-01,151.084
2019-03-01,151.69
2019-04-01,151.975
2019-05-01,152.431
2019-06-01,152.954
2019-07-01,153.133
2019-08-01,153.259
2019-09-01,153.523
2019-10-01,153.365
2019-11-01,153.292
2019-12-01,152.944
2020-01-01,153.938
2020-02-01,154.704
2020-03-01,154.83
2020-04-01,155.093
2020-05-01,154.91
2020-06-01,155.32
2020-07-01,156.03
2020-08-01,156.299
2020-09-01,156.166
2020-10-01,155.737
2020-11-01,156.135
2020-12-01,156.143
2021-01-01,156.489
2021-02-01,156.707
2021-03-01,157.704
2021-04-01,159.053
2021-05-01,159.846
2021-06-01,161.244
2021-07-01,161.715
2021-08-01,161.962
2021-09-01,162.022
2021-10-01,162.75
2021-11-01,163.673
2021-12-01,164.302
2022-01-01,164.925
2022-02-01,166.205
2022-03-01,166.878
2022-04-01,167.753
2022-05-01,168.62
2022-06-01,169.465
2022-07-01,170.006
2022-08-01,171.436
2022-09-01,172.048
2022-10-01,172.614
2022-11-01,172.586
2022-12-01,172.726
2023-01-01,173.594
2023-02-01,174.663
2023-03-01,174.269
2023-04-01,174.96
2023-05-01,175.346
2023-06-01,175.955
2023-07-01,176.349
2023-08-01,176.535
2023-09-01,177.019
2023-10-01,177.324
2023-11-01,177.558
