"Date","CUURX100SA0LE"
1997-12-01,100
1998-01-01,100.5
1998-02-01,100.5
1998-03-01,101
1998-04-01,101.3
1998-05-01,101.1
1998-06-01,101.2
1998-07-01,101.4
1998-08-01,101.7
1998-09-01,101.8
1998-10-01,102.2
1998-11-01,102.1
1998-12-01,102.1
1999-01-01,102.3
1999-02-01,102.7
1999-03-01,103
1999-04-01,103.3
1999-05-01,103.4
1999-06-01,103.3
1999-07-01,103.2
1999-08-01,103.5
1999-09-01,104.1
1999-10-01,104.2
1999-11-01,104
1999-12-01,104
2000-01-01,104.4
2000-02-01,104.7
2000-03-01,105.2
2000-04-01,105.6
2000-05-01,105.6
2000-06-01,105.6
2000-07-01,106
2000-08-01,106
2000-09-01,106
2000-10-01,106.5
2000-11-01,106.4
2000-12-01,106.2
2001-01-01,107
2001-02-01,107.3
2001-03-01,108.2
2001-04-01,108.2
2001-05-01,108
2001-06-01,108.4
2001-07-01,108.6
2001-08-01,108.6
2001-09-01,108.5
2001-10-01,108.9
2001-11-01,109.5
2001-12-01,109.3
2002-01-01,109.6
2002-02-01,109.6
2002-03-01,110.1
2002-04-01,110.4
2002-05-01,110.4
2002-06-01,110.1
2002-07-01,110.3
2002-08-01,110.5
2002-09-01,111.1
2002-10-01,111.2
2002-11-01,111.2
2002-12-01,110.7
2003-01-01,110.9
2003-02-01,111.1
2003-03-01,111.8
2003-04-01,111.6
2003-05-01,111.8
2003-06-01,111.6
2003-07-01,112.3
2003-08-01,112.1
2003-09-01,112.3
2003-10-01,112.8
2003-11-01,113
2003-12-01,112.6
2004-01-01,113.2
2004-02-01,113.7
2004-03-01,114.4
2004-04-01,115
2004-05-01,114.8
2004-06-01,115.1
2004-07-01,115.8
2004-08-01,115.4
2004-09-01,115.8
2004-10-01,116.3
2004-11-01,116.1
2004-12-01,115.5
2005-01-01,115.6
2005-02-01,116.1
2005-03-01,117
2005-04-01,117.2
2005-05-01,117
2005-06-01,117.2
2005-07-01,118.1
2005-08-01,117.6
2005-09-01,117.3
2005-10-01,118.3
2005-11-01,118.4
2005-12-01,117.8
2006-01-01,118.3
2006-02-01,118.9
2006-03-01,119.7
2006-04-01,120.1
2006-05-01,120
2006-06-01,120.5
2006-07-01,120.9
2006-08-01,121.1
2006-09-01,120.6
2006-10-01,121.4
2006-11-01,120.9
2006-12-01,120.8
2007-01-01,121.196
2007-02-01,121.62
2007-03-01,121.983
2007-04-01,122.316
2007-05-01,122.593
2007-06-01,122.927
2007-07-01,123.762
2007-08-01,123.246
2007-09-01,123.023
2007-10-01,123.399
2007-11-01,123.662
2007-12-01,123.795
2008-01-01,124.653
2008-02-01,124.956
2008-03-01,125.528
2008-04-01,126.042
2008-05-01,126.101
2008-06-01,126.802
2008-07-01,127.498
