"Date","CUURA320SAM"
1977-11-01,57.9
1977-12-01,NA
1978-01-01,59.3
1978-02-01,NA
1978-03-01,59.5
1978-04-01,NA
1978-05-01,60.3
1978-06-01,NA
1978-07-01,60.6
1978-08-01,NA
1978-09-01,63
1978-10-01,NA
1978-11-01,64.4
1978-12-01,NA
1979-01-01,65.2
1979-02-01,NA
1979-03-01,67.4
1979-04-01,NA
1979-05-01,67.5
1979-06-01,NA
1979-07-01,68.4
1979-08-01,NA
1979-09-01,70.5
1979-10-01,NA
1979-11-01,72.3
1979-12-01,NA
1980-01-01,74.6
1980-02-01,NA
1980-03-01,75.5
1980-04-01,NA
1980-05-01,75.6
1980-06-01,NA
1980-07-01,75.4
1980-08-01,NA
1980-09-01,75.8
1980-10-01,NA
1980-11-01,75.7
1980-12-01,NA
1981-01-01,77.8
1981-02-01,NA
1981-03-01,79.1
1981-04-01,NA
1981-05-01,80.2
1981-06-01,NA
1981-07-01,81.6
1981-08-01,NA
1981-09-01,84.6
1981-10-01,NA
1981-11-01,85.6
1981-12-01,NA
1982-01-01,87.8
1982-02-01,NA
1982-03-01,89.1
1982-04-01,NA
1982-05-01,92
1982-06-01,NA
1982-07-01,95.1
1982-08-01,NA
1982-09-01,96.5
1982-10-01,NA
1982-11-01,99.8
1982-12-01,NA
1983-01-01,99.7
1983-02-01,NA
1983-03-01,100
1983-04-01,NA
1983-05-01,100
1983-06-01,NA
1983-07-01,101
1983-08-01,NA
1983-09-01,101.5
1983-10-01,NA
1983-11-01,102.9
1983-12-01,NA
1984-01-01,103.9
1984-02-01,NA
1984-03-01,105
1984-04-01,NA
1984-05-01,105
1984-06-01,NA
1984-07-01,105
1984-08-01,NA
1984-09-01,104.8
1984-10-01,NA
1984-11-01,106.3
1984-12-01,NA
1985-01-01,107
1985-02-01,NA
1985-03-01,108.6
1985-04-01,NA
1985-05-01,108.4
1985-06-01,NA
1985-07-01,108.7
1985-08-01,NA
1985-09-01,109.7
1985-10-01,NA
1985-11-01,111.2
1985-12-01,NA
1986-01-01,113.4
1986-02-01,NA
1986-03-01,115.4
1986-04-01,NA
1986-05-01,115.6
1986-06-01,NA
1986-07-01,116
1986-08-01,NA
1986-09-01,120.1
1986-10-01,NA
1986-11-01,121.1
1986-12-01,NA
1987-01-01,122.9
1987-02-01,NA
1987-03-01,123.7
1987-04-01,NA
1987-05-01,124.8
1987-06-01,NA
1987-07-01,128.4
1987-08-01,NA
1987-09-01,127.7
1987-10-01,NA
1987-11-01,130.2
1987-12-01,NA
1988-01-01,131.4
1988-02-01,NA
1988-03-01,133.3
1988-04-01,NA
1988-05-01,134
1988-06-01,NA
1988-07-01,134.4
1988-08-01,NA
1988-09-01,136.1
1988-10-01,NA
1988-11-01,136.7
1988-12-01,NA
1989-01-01,137.9
1989-02-01,NA
1989-03-01,137.9
1989-04-01,NA
1989-05-01,140.5
1989-06-01,NA
1989-07-01,140.9
1989-08-01,NA
1989-09-01,141.7
1989-10-01,NA
1989-11-01,142.6
1989-12-01,NA
1990-01-01,143.3
1990-02-01,NA
1990-03-01,145
1990-04-01,NA
1990-05-01,150.1
1990-06-01,NA
1990-07-01,153.5
1990-08-01,NA
1990-09-01,156.4
1990-10-01,NA
1990-11-01,158.3
1990-12-01,NA
1991-01-01,159.7
1991-02-01,NA
1991-03-01,160.4
1991-04-01,NA
1991-05-01,161.8
1991-06-01,NA
1991-07-01,163.1
1991-08-01,NA
1991-09-01,162.9
1991-10-01,NA
1991-11-01,166.7
1991-12-01,NA
1992-01-01,169.6
1992-02-01,NA
1992-03-01,171
1992-04-01,NA
1992-05-01,171.7
1992-06-01,NA
1992-07-01,171.2
1992-08-01,NA
1992-09-01,171.3
1992-10-01,NA
1992-11-01,176.4
1992-12-01,NA
1993-01-01,179.2
1993-02-01,NA
1993-03-01,180.1
1993-04-01,NA
1993-05-01,182
1993-06-01,NA
1993-07-01,183.1
1993-08-01,NA
1993-09-01,183.1
1993-10-01,NA
1993-11-01,182.7
1993-12-01,NA
1994-01-01,184.7
1994-02-01,NA
1994-03-01,185.2
1994-04-01,NA
1994-05-01,187
1994-06-01,NA
1994-07-01,186.4
