"Date","CUUR0300SA0L2"
2002-11-01,171.7
2002-12-01,171.1
2003-01-01,171.7
2003-02-01,173.2
2003-03-01,174.4
2003-04-01,174.1
2003-05-01,173.2
2003-06-01,173.6
2003-07-01,173.5
2003-08-01,174.3
2003-09-01,175
2003-10-01,174.5
2003-11-01,173.9
2003-12-01,173.8
2004-01-01,174.6
2004-02-01,175.4
2004-03-01,176.5
2004-04-01,177.4
2004-05-01,178.7
2004-06-01,179.7
2004-07-01,179
2004-08-01,179.1
2004-09-01,179.5
2004-10-01,180.6
2004-11-01,180.7
2004-12-01,180.1
2005-01-01,180.1
2005-02-01,181
2005-03-01,182.4
2005-04-01,184.3
2005-05-01,184.1
2005-06-01,184.5
2005-07-01,185.2
2005-08-01,186.6
2005-09-01,190.7
2005-10-01,191.2
2005-11-01,188.6
2005-12-01,187.5
2006-01-01,189.2
2006-02-01,188.9
2006-03-01,189.8
2006-04-01,192.4
2006-05-01,193.2
2006-06-01,193.7
2006-07-01,194.2
2006-08-01,194.3
2006-09-01,192.5
2006-10-01,190.5
2006-11-01,189.8
2006-12-01,190.6
2007-01-01,190.232
2007-02-01,191.02
2007-03-01,193.274
2007-04-01,195.373
2007-05-01,197.065
2007-06-01,197.691
2007-07-01,197.267
2007-08-01,196.573
2007-09-01,197.574
2007-10-01,197.954
2007-11-01,199.751
2007-12-01,199.66
2008-01-01,200.657
2008-02-01,201.069
2008-03-01,202.967
2008-04-01,204.883
2008-05-01,207.436
2008-06-01,210.269
2008-07-01,211.446
2008-08-01,210.109
2008-09-01,210.487
2008-10-01,206.856
2008-11-01,200.361
2008-12-01,197.547
2009-01-01,198.118
2009-02-01,199.526
2009-03-01,200.094
2009-04-01,200.969
2009-05-01,201.822
2009-06-01,204.53
2009-07-01,203.988
2009-08-01,204.419
2009-09-01,204.521
2009-10-01,205.072
2009-11-01,206.126
2009-12-01,205.828
2010-01-01,206.661
2010-02-01,206.668
2010-03-01,208.272
2010-04-01,208.683
2010-05-01,208.556
2010-06-01,208.003
2010-07-01,207.613
2010-08-01,208.208
2010-09-01,208.777
2010-10-01,209.014
2010-11-01,208.928
2010-12-01,209.565
2011-01-01,210.989
2011-02-01,212.362
2011-03-01,215.735
2011-04-01,217.945
2011-05-01,219.334
2011-06-01,218.386
2011-07-01,218.741
2011-08-01,219.68
2011-09-01,219.523
2011-10-01,218.647
2011-11-01,218.502
2011-12-01,217.631
2012-01-01,218.747
2012-02-01,220.447
2012-03-01,222.351
2012-04-01,223.549
2012-05-01,222.167
2012-06-01,221.527
2012-07-01,220.816
2012-08-01,222.527
2012-09-01,223.874
2012-10-01,222.758
2012-11-01,221.126
2012-12-01,220.6
2013-01-01,221.452
2013-02-01,223.948
2013-03-01,224.843
2013-04-01,224.091
2013-05-01,224.058
2013-06-01,225.056
2013-07-01,225.468
2013-08-01,225.779
2013-09-01,225.789
2013-10-01,224.903
2013-11-01,223.822
2013-12-01,223.907
2014-01-01,224.408
2014-02-01,225.384
2014-03-01,226.87
2014-04-01,228.543
2014-05-01,228.891
2014-06-01,229.366
2014-07-01,228.711
2014-08-01,227.957
2014-09-01,227.973
2014-10-01,226.875
2014-11-01,224.799
2014-12-01,222.662
2015-01-01,220.056
2015-02-01,221.318
2015-03-01,222.864
2015-04-01,223.505
2015-05-01,224.706
2015-06-01,225.936
2015-07-01,225.189
2015-08-01,224.371
2015-09-01,223.727
2015-10-01,223.279
2015-11-01,222.521
2015-12-01,221.191
2016-01-01,220.685
2016-02-01,220.823
2016-03-01,222.442
2016-04-01,223.568
2016-05-01,224.535
2016-06-01,225.537
2016-07-01,224.671
2016-08-01,224.826
2016-09-01,225.33
2016-10-01,225.297
2016-11-01,224.716
2016-12-01,224.763
2017-01-01,226.297
2017-02-01,226.767
2017-03-01,226.663
2017-04-01,227.281
2017-05-01,227.044
2017-06-01,227.405
2017-07-01,226.77
2017-08-01,227.608
2017-09-01,229.712
2017-10-01,228.54
2017-11-01,228.032
2017-12-01,227.358
2018-01-01,228.784
2018-02-01,230.519
2018-03-01,230.799
