"Date","CUURX100SAT"
2022-03-01,175.718
2022-04-01,176.301
2022-05-01,181.811
2022-06-01,187.151
2022-07-01,185.142
2022-08-01,181.673
2022-09-01,176.561
2022-10-01,175.998
2022-11-01,176.522
2022-12-01,172.942
2023-01-01,171.525
2023-02-01,173.004
2023-03-01,173.481
2023-04-01,176.827
2023-05-01,178.961
2023-06-01,180.082
2023-07-01,180.533
2023-08-01,182.622
2023-09-01,181.619
2023-10-01,181.159
2023-11-01,179.984
