"Date","SUUR0000SAA"
1999-12-01,100
2000-01-01,98.5
2000-02-01,100.8
2000-03-01,102.9
2000-04-01,102.9
2000-05-01,101.8
2000-06-01,98.6
2000-07-01,96.4
2000-08-01,97.4
2000-09-01,100.9
2000-10-01,102.5
2000-11-01,101.1
2000-12-01,98.1
2001-01-01,97
2001-02-01,99.5
2001-03-01,102.2
2001-04-01,101.2
2001-05-01,99.3
2001-06-01,96.6
2001-07-01,94.2
2001-08-01,94.8
2001-09-01,98.3
2001-10-01,99.7
2001-11-01,98.1
2001-12-01,95
2002-01-01,93.4
2002-02-01,95.2
2002-03-01,98.3
2002-04-01,98.7
2002-05-01,96.9
2002-06-01,93.3
2002-07-01,91
2002-08-01,91.9
2002-09-01,95.1
2002-10-01,96.3
2002-11-01,94.9
2002-12-01,92.2
2003-01-01,90.2
2003-02-01,91.5
2003-03-01,93.6
2003-04-01,94.3
2003-05-01,92.7
2003-06-01,90.2
2003-07-01,88.4
2003-08-01,89.2
2003-09-01,93
2003-10-01,94.6
2003-11-01,93
2003-12-01,90.1
2004-01-01,88.7
2004-02-01,91.4
2004-03-01,94.1
2004-04-01,94.7
2004-05-01,93.9
2004-06-01,90.6
2004-07-01,87.9
2004-08-01,88.5
2004-09-01,91.9
2004-10-01,93.7
2004-11-01,92.5
2004-12-01,89.6
2005-01-01,88.6
2005-02-01,90.8
2005-03-01,93.4
2005-04-01,93.3
2005-05-01,92.1
2005-06-01,88.7
2005-07-01,86.3
2005-08-01,88
2005-09-01,90.9
2005-10-01,92.4
2005-11-01,91.6
2005-12-01,89
2006-01-01,87.1
2006-02-01,89
2006-03-01,92.8
2006-04-01,93.4
2006-05-01,91.9
2006-06-01,89.4
2006-07-01,86.3
2006-08-01,88.1
2006-09-01,91.5
2006-10-01,92.7
2006-11-01,91.7
2006-12-01,89
2007-01-01,87.597
2007-02-01,89.909
2007-03-01,92.039
2007-04-01,91.994
2007-05-01,90.39
2007-06-01,86.946
2007-07-01,84.578
2007-08-01,86.066
2007-09-01,89.528
2007-10-01,91.033
2007-11-01,90.36
2007-12-01,87.875
2008-01-01,86.917
2008-02-01,89.017
2008-03-01,91.071
2008-04-01,91.397
2008-05-01,89.939
2008-06-01,86.929
2008-07-01,85.42
2008-08-01,87.29
2008-09-01,90.668
2008-10-01,91.927
2008-11-01,90.992
2008-12-01,87.73
2009-01-01,86.866
2009-02-01,89.603
2009-03-01,92.161
2009-04-01,92.636
2009-05-01,91.316
2009-06-01,89.176
2009-07-01,87.351
2009-08-01,89.185
2009-09-01,92.585
2009-10-01,93.509
2009-11-01,92.185
2009-12-01,89.988
2010-01-01,88.379
2010-02-01,90.066
2010-03-01,92.101
2010-04-01,91.83
2010-05-01,91.094
2010-06-01,88.938
2010-07-01,86.855
2010-08-01,88.231
2010-09-01,90.993
2010-10-01,92.057
2010-11-01,91.133
2010-12-01,89.133
2011-01-01,88.382
2011-02-01,89.658
2011-03-01,91.977
2011-04-01,92.397
2011-05-01,91.98
2011-06-01,90.348
2011-07-01,89.011
2011-08-01,91.068
2011-09-01,94.387
2011-10-01,95.776
2011-11-01,94.934
2011-12-01,92.354
2012-01-01,91.896
2012-02-01,92.799
2012-03-01,95.474
2012-04-01,96.208
2012-05-01,95.615
2012-06-01,93.483
2012-07-01,91.87
2012-08-01,93.438
2012-09-01,97.092
2012-10-01,98.318
2012-11-01,96.465
2012-12-01,93.2
2013-01-01,92.369
2013-02-01,94.065
2013-03-01,95.935
2013-04-01,96.409
2013-05-01,95.549
2013-06-01,94.155
2013-07-01,92.347
2013-08-01,93.515
2013-09-01,96.754
2013-10-01,97.665
2013-11-01,96.969
2013-12-01,94.197
2014-01-01,92.971
2014-02-01,94.339
2014-03-01,96.586
2014-04-01,97.082
2014-05-01,96.634
2014-06-01,95.15
2014-07-01,93.103
2014-08-01,93.564
2014-09-01,96.906
2014-10-01,98.053
2014-11-01,95.898
2014-12-01,91.945
2015-01-01,91.119
2015-02-01,93.532
2015-03-01,96.792
2015-04-01,96.414
2015-05-01,96.717
2015-06-01,95.026
2015-07-01,93.542
2015-08-01,94.842
2015-09-01,96.788
2015-10-01,97.733
2015-11-01,95.684
2015-12-01,92.188
2016-01-01,91.404
2016-02-01,93.812
2016-03-01,95.034
2016-04-01,95.167
2016-05-01,95.17
2016-06-01,93.328
2016-07-01,91.223
2016-08-01,92.426
2016-09-01,95.296
2016-10-01,97.117
2016-11-01,94.919
2016-12-01,91.265
2017-01-01,91.608
2017-02-01,93.941
2017-03-01,95.785
2017-04-01,95.535
2017-05-01,94.129
2017-06-01,92.866
2017-07-01,91.116
2017-08-01,92.458
2017-09-01,95.833
2017-10-01,96.48
2017-11-01,93.511
2017-12-01,90.467
2018-01-01,91.533
2018-02-01,94.979
2018-03-01,96.923
2018-04-01,97.17
2018-05-01,96.51
2018-06-01,94.209
2018-07-01,91.651
2018-08-01,91.474
2018-09-01,96.002
2018-10-01,97.057
2018-11-01,93.993
2018-12-01,90.693
2019-01-01,92.202
2019-02-01,94.943
2019-03-01,94.808
2019-04-01,94.499
2019-05-01,93.882
2019-06-01,93.055
2019-07-01,91.35
2019-08-01,92.793
2019-09-01,95.297
2019-10-01,94.705
2019-11-01,92.594
2019-12-01,89.439
2020-01-01,90.816
2020-02-01,93.733
2020-03-01,93.199
2020-04-01,88.662
2020-05-01,85.569
2020-06-01,85.365
2020-07-01,85.043
2020-08-01,86.739
2020-09-01,88.636
2020-10-01,88.387
2020-11-01,86.457
2020-12-01,85.004
2021-01-01,87.607
2021-02-01,89.158
2021-03-01,89.525
2021-04-01,89.47
2021-05-01,89.674
2021-06-01,89.003
2021-07-01,88.459
2021-08-01,89.765
2021-09-01,91.57
2021-10-01,92.355
2021-11-01,91.004
2021-12-01,90.101
2022-01-01,92.782
2022-02-01,95.448
2022-03-01,96.288
2022-04-01,94.816
2022-05-01,94.848
2022-06-01,94.551
2022-07-01,93.359
2022-08-01,94.771
2022-09-01,97.398
2022-10-01,96.884
2022-11-01,94.755
2022-12-01,93.31
2023-01-01,95.702
2023-02-01,98.84
2023-03-01,99.629
2023-04-01,98.585
2023-05-01,98.277
2023-06-01,97.623
2023-07-01,96.6
2023-08-01,98.236
2023-09-01,99.669
2023-10-01,99.406
2023-11-01,95.86
