"Date","CUURA423SA0L2"
1975-11-01,55.4
1975-12-01,NA
1976-01-01,NA
1976-02-01,55.9
1976-03-01,NA
1976-04-01,NA
1976-05-01,56.7
1976-06-01,NA
1976-07-01,NA
1976-08-01,57.4
1976-09-01,NA
1976-10-01,NA
1976-11-01,58.2
1976-12-01,NA
1977-01-01,NA
1977-02-01,59.6
1977-03-01,NA
1977-04-01,NA
1977-05-01,60.6
1977-06-01,NA
1977-07-01,NA
1977-08-01,61.9
1977-09-01,NA
1977-10-01,NA
1977-11-01,62.5
1977-12-01,NA
1978-01-01,62.8
1978-02-01,NA
1978-03-01,63.6
1978-04-01,NA
1978-05-01,65.3
1978-06-01,NA
1978-07-01,65.6
1978-08-01,NA
1978-09-01,66.6
1978-10-01,NA
1978-11-01,67.4
1978-12-01,NA
1979-01-01,68.1
1979-02-01,NA
1979-03-01,70.1
1979-04-01,NA
1979-05-01,71.9
1979-06-01,NA
1979-07-01,73.2
1979-08-01,NA
1979-09-01,74.7
1979-10-01,NA
1979-11-01,76.3
1979-12-01,NA
1980-01-01,77.9
1980-02-01,NA
1980-03-01,80.2
1980-04-01,NA
1980-05-01,81.1
1980-06-01,NA
1980-07-01,82.1
1980-08-01,NA
1980-09-01,83.9
1980-10-01,NA
1980-11-01,84.8
1980-12-01,NA
1981-01-01,86.1
1981-02-01,NA
1981-03-01,88.5
1981-04-01,NA
1981-05-01,89.5
1981-06-01,NA
1981-07-01,91.1
1981-08-01,NA
1981-09-01,92.4
1981-10-01,NA
1981-11-01,93.4
1981-12-01,NA
1982-01-01,94.4
1982-02-01,NA
1982-03-01,94.4
1982-04-01,NA
1982-05-01,95.9
1982-06-01,NA
1982-07-01,97.1
1982-08-01,NA
1982-09-01,97.6
1982-10-01,NA
1982-11-01,98.1
1982-12-01,NA
1983-01-01,98.1
1983-02-01,NA
1983-03-01,98.3
1983-04-01,NA
1983-05-01,99.5
1983-06-01,NA
1983-07-01,100
1983-08-01,NA
1983-09-01,101.1
1983-10-01,NA
1983-11-01,101.7
1983-12-01,NA
1984-01-01,102.2
1984-02-01,NA
1984-03-01,102.5
1984-04-01,NA
1984-05-01,103.4
1984-06-01,NA
1984-07-01,103.8
1984-08-01,NA
1984-09-01,104.5
1984-10-01,NA
1984-11-01,104.9
1984-12-01,NA
1985-01-01,105.5
1985-02-01,NA
1985-03-01,106.3
1985-04-01,NA
1985-05-01,105.7
1985-06-01,NA
1985-07-01,105.6
1985-08-01,NA
1985-09-01,105.7
1985-10-01,NA
1985-11-01,106.2
1985-12-01,NA
1986-01-01,107.1
