"Date","CUUR0400SA0"
1966-12-01,33
1967-01-01,NA
1967-02-01,NA
1967-03-01,32.9
1967-04-01,NA
1967-05-01,NA
1967-06-01,33.3
1967-07-01,NA
1967-08-01,NA
1967-09-01,33.7
1967-10-01,NA
1967-11-01,NA
1967-12-01,34
1968-01-01,NA
1968-02-01,NA
1968-03-01,34.2
1968-04-01,NA
1968-05-01,NA
1968-06-01,34.5
1968-07-01,NA
1968-08-01,NA
1968-09-01,34.8
1968-10-01,NA
1968-11-01,NA
1968-12-01,35.3
1969-01-01,NA
1969-02-01,NA
1969-03-01,35.8
1969-04-01,NA
1969-05-01,NA
1969-06-01,36.3
1969-07-01,NA
1969-08-01,NA
1969-09-01,36.6
1969-10-01,NA
1969-11-01,NA
1969-12-01,37.1
1970-01-01,NA
1970-02-01,NA
1970-03-01,37.6
1970-04-01,NA
1970-05-01,NA
1970-06-01,38.1
1970-07-01,NA
1970-08-01,NA
1970-09-01,38.5
1970-10-01,NA
1970-11-01,NA
1970-12-01,39
1971-01-01,NA
1971-02-01,NA
1971-03-01,39
1971-04-01,NA
1971-05-01,NA
1971-06-01,39.5
1971-07-01,NA
1971-08-01,NA
1971-09-01,39.8
1971-10-01,NA
1971-11-01,NA
1971-12-01,40
1972-01-01,NA
1972-02-01,NA
1972-03-01,40.3
1972-04-01,NA
1972-05-01,NA
1972-06-01,40.6
1972-07-01,NA
1972-08-01,NA
1972-09-01,41
1972-10-01,NA
1972-11-01,NA
1972-12-01,41.4
1973-01-01,NA
1973-02-01,NA
1973-03-01,42.1
1973-04-01,NA
1973-05-01,NA
1973-06-01,42.9
1973-07-01,NA
1973-08-01,NA
1973-09-01,43.9
1973-10-01,NA
1973-11-01,NA
1973-12-01,44.7
1974-01-01,NA
1974-02-01,NA
1974-03-01,46
1974-04-01,NA
1974-05-01,NA
1974-06-01,47.4
1974-07-01,NA
1974-08-01,NA
1974-09-01,48.9
1974-10-01,NA
1974-11-01,NA
1974-12-01,50.4
1975-01-01,NA
1975-02-01,NA
1975-03-01,51.5
1975-04-01,NA
1975-05-01,NA
1975-06-01,52.5
1975-07-01,NA
1975-08-01,NA
1975-09-01,53.5
1975-10-01,NA
1975-11-01,NA
1975-12-01,54.4
1976-01-01,NA
1976-02-01,NA
1976-03-01,54.7
1976-04-01,NA
1976-05-01,NA
1976-06-01,55.6
1976-07-01,NA
1976-08-01,NA
1976-09-01,56.6
1976-10-01,NA
1976-11-01,NA
1976-12-01,57.3
1977-01-01,NA
1977-02-01,NA
1977-03-01,58.6
1977-04-01,NA
1977-05-01,NA
1977-06-01,59.9
1977-07-01,NA
1977-08-01,NA
1977-09-01,60.8
1977-10-01,NA
1977-11-01,NA
1977-12-01,61.9
1978-01-01,NA
1978-02-01,62.6
1978-03-01,NA
1978-04-01,63.8
1978-05-01,NA
1978-06-01,65.1
1978-07-01,NA
1978-08-01,65.9
1978-09-01,NA
1978-10-01,67
1978-11-01,NA
1978-12-01,67.1
1979-01-01,NA
1979-02-01,68.7
1979-03-01,NA
1979-04-01,70.4
1979-05-01,NA
1979-06-01,72.2
1979-07-01,NA
1979-08-01,73.9
1979-09-01,NA
1979-10-01,75.4
1979-11-01,NA
1979-12-01,77.4
1980-01-01,NA
1980-02-01,80.1
1980-03-01,NA
1980-04-01,82.1
1980-05-01,NA
1980-06-01,83.8
1980-07-01,NA
1980-08-01,83.9
1980-09-01,NA
1980-10-01,85.3
1980-11-01,NA
1980-12-01,86.9
1981-01-01,NA
1981-02-01,88.2
1981-03-01,NA
1981-04-01,89.8
1981-05-01,NA
1981-06-01,91.1
1981-07-01,NA
1981-08-01,93.2
1981-09-01,NA
1981-10-01,95.6
1981-11-01,NA
1981-12-01,95.4
1982-01-01,NA
1982-02-01,96.6
1982-03-01,NA
1982-04-01,97.1
1982-05-01,NA
1982-06-01,98.1
1982-07-01,NA
1982-08-01,98.4
1982-09-01,NA
1982-10-01,98.3
