"Date","APU0200FN1102"
2018-04-01,0.316
2018-05-01,0.318
2018-06-01,0.32
2018-07-01,0.324
2018-08-01,0.33
2018-09-01,0.35
2018-10-01,0.348
2018-11-01,0.325
2018-12-01,0.317
2019-01-01,0.332
2019-02-01,0.351
2019-03-01,0.356
2019-04-01,0.329
2019-05-01,0.328
2019-06-01,0.321
2019-07-01,0.344
2019-08-01,0.332
2019-09-01,0.343
2019-10-01,0.333
2019-11-01,0.338
2019-12-01,0.323
2020-01-01,0.355
2020-02-01,0.344
2020-03-01,0.359
2020-04-01,0.373
2020-05-01,0.36
2020-06-01,0.376
2020-07-01,0.369
2020-08-01,0.358
2020-09-01,0.373
2020-10-01,0.37
2020-11-01,0.389
2020-12-01,0.385
2021-01-01,0.41
2021-02-01,0.396
2021-03-01,0.409
2021-04-01,0.409
2021-05-01,0.373
2021-06-01,0.393
2021-07-01,0.378
2021-08-01,0.385
2021-09-01,0.403
2021-10-01,0.423
2021-11-01,0.407
2021-12-01,0.435
2022-01-01,0.435
2022-02-01,0.432
2022-03-01,0.445
2022-04-01,0.445
2022-05-01,0.456
2022-06-01,0.476
2022-07-01,0.499
2022-08-01,0.509
2022-09-01,0.485
2022-10-01,0.494
2022-11-01,0.514
2022-12-01,0.48
2023-01-01,0.531
2023-02-01,0.538
2023-03-01,0.545
2023-04-01,0.561
2023-05-01,0.521
2023-06-01,0.547
2023-07-01,0.53
2023-08-01,0.579
2023-09-01,0.585
2023-10-01,0.557
2023-11-01,0.545
