"Date","CUURX400SAM"
1997-12-01,100
1998-01-01,100.1
1998-02-01,101.1
1998-03-01,101
1998-04-01,101.3
1998-05-01,101.5
1998-06-01,101.4
1998-07-01,101.4
1998-08-01,101.7
1998-09-01,101.9
1998-10-01,102.2
1998-11-01,102.9
1998-12-01,102.9
1999-01-01,103.6
1999-02-01,104.1
1999-03-01,104.1
1999-04-01,104.7
1999-05-01,105.2
1999-06-01,105.5
1999-07-01,105.6
1999-08-01,106.4
1999-09-01,106.6
1999-10-01,106.7
1999-11-01,106.8
1999-12-01,107.3
2000-01-01,108.1
2000-02-01,109.7
2000-03-01,109.7
2000-04-01,109.5
2000-05-01,110.1
2000-06-01,110.9
2000-07-01,111.2
2000-08-01,112.4
2000-09-01,112.5
2000-10-01,112.7
2000-11-01,112.9
2000-12-01,112.9
2001-01-01,114.8
2001-02-01,115.8
2001-03-01,115.2
2001-04-01,115.8
2001-05-01,116
2001-06-01,115.9
2001-07-01,115.2
2001-08-01,116.5
2001-09-01,117.3
2001-10-01,117.4
2001-11-01,118.2
2001-12-01,118.3
2002-01-01,119.3
2002-02-01,119.7
2002-03-01,120.1
2002-04-01,120
2002-05-01,120.5
2002-06-01,120.5
2002-07-01,123
2002-08-01,125.4
2002-09-01,125.5
2002-10-01,125.7
2002-11-01,126.5
2002-12-01,127.6
2003-01-01,127.6
2003-02-01,128.2
2003-03-01,128.2
2003-04-01,126.2
2003-05-01,127.3
2003-06-01,128.2
2003-07-01,128.7
2003-08-01,130.2
2003-09-01,130.2
2003-10-01,130.6
2003-11-01,130.3
2003-12-01,132
2004-01-01,132.8
2004-02-01,133.1
2004-03-01,133.3
2004-04-01,134.1
2004-05-01,134.4
2004-06-01,134.4
2004-07-01,134.5
2004-08-01,135
2004-09-01,134.9
2004-10-01,136.3
2004-11-01,137
2004-12-01,136.9
2005-01-01,137.3
2005-02-01,137.3
2005-03-01,137.8
2005-04-01,138.6
2005-05-01,139.7
2005-06-01,139.7
2005-07-01,140.1
2005-08-01,140.4
2005-09-01,140.5
2005-10-01,140.7
2005-11-01,141.1
2005-12-01,141.1
2006-01-01,141.5
2006-02-01,141.8
2006-03-01,142.1
2006-04-01,143.1
2006-05-01,143
2006-06-01,143
2006-07-01,143.5
2006-08-01,143.8
2006-09-01,143.3
2006-10-01,143.7
2006-11-01,143.4
2006-12-01,143.8
2007-01-01,146.874
2007-02-01,147.431
2007-03-01,148.023
2007-04-01,147.97
2007-05-01,147.65
2007-06-01,148.146
2007-07-01,148.766
2007-08-01,149.846
2007-09-01,149.963
2007-10-01,150.521
2007-11-01,151.765
2007-12-01,151.677
2008-01-01,151.812
2008-02-01,153.994
2008-03-01,154.961
2008-04-01,154.505
2008-05-01,154.836
2008-06-01,155.055
2008-07-01,155.188
2008-08-01,155.143
2008-09-01,154.837
2008-10-01,154.406
2008-11-01,155.412
2008-12-01,155.147
2009-01-01,160.916
2009-02-01,162.801
2009-03-01,162.563
2009-04-01,163.062
2009-05-01,162.432
2009-06-01,162.625
2009-07-01,163.493
2009-08-01,163.72
2009-09-01,163.849
2009-10-01,164.713
2009-11-01,165.05
2009-12-01,165.3
2010-01-01,165.554
2010-02-01,169.027
2010-03-01,169.023
2010-04-01,169.008
2010-05-01,168.84
2010-06-01,169.063
2010-07-01,169.518
2010-08-01,170.073
2010-09-01,170.536
2010-10-01,170.682
2010-11-01,170.918
2010-12-01,170.686
2011-01-01,171.055
2011-02-01,173.561
2011-03-01,173.552
2011-04-01,174.178
2011-05-01,174.343
2011-06-01,174.084
2011-07-01,174.453
2011-08-01,174.113
2011-09-01,174.071
2011-10-01,175.543
2011-11-01,175.853
2011-12-01,176.686
2012-01-01,177.129
2012-02-01,177.987
2012-03-01,178.282
2012-04-01,178.518
2012-05-01,179.529
2012-06-01,180.464
2012-07-01,180.602
2012-08-01,180.625
2012-09-01,180.699
2012-10-01,181.824
2012-11-01,181.774
2012-12-01,182.145
2013-01-01,182.936
2013-02-01,184.147
2013-03-01,184.091
2013-04-01,182.668
2013-05-01,182.101
2013-06-01,182.821
2013-07-01,182.612
2013-08-01,182.697
2013-09-01,182.517
2013-10-01,182.401
2013-11-01,182.5
2013-12-01,182.449
2014-01-01,183.429
2014-02-01,184.517
2014-03-01,184.85
2014-04-01,184.595
2014-05-01,184.8
2014-06-01,185.113
2014-07-01,185.17
2014-08-01,184.861
2014-09-01,186.539
2014-10-01,186.275
2014-11-01,186.8
2014-12-01,187.385
2015-01-01,187.527
2015-02-01,190.097
2015-03-01,189.751
2015-04-01,193.246
2015-05-01,193.167
2015-06-01,191.104
2015-07-01,192.168
2015-08-01,189.289
2015-09-01,189.289
2015-10-01,192.214
2015-11-01,192.379
2015-12-01,191.418
2016-01-01,191.62
2016-02-01,194.051
2016-03-01,194.101
2016-04-01,195.426
2016-05-01,196.064
2016-06-01,195.682
2016-07-01,196.009
2016-08-01,197.231
2016-09-01,197.289
2016-10-01,197.507
2016-11-01,197.837
2016-12-01,198.865
2017-01-01,199.447
2017-02-01,198.636
2017-03-01,198.822
2017-04-01,200.25
2017-05-01,199.906
2017-06-01,198.756
2017-07-01,198.833
2017-08-01,199.646
2017-09-01,199.775
2017-10-01,200.398
2017-11-01,201.47
