"Date","APUN00072610"
2005-07-01,0.096
2005-08-01,0.097
2005-09-01,0.097
2005-10-01,0.094
2005-11-01,0.094
2005-12-01,0.094
2006-01-01,0.099
2006-02-01,0.099
2006-03-01,0.1
2006-04-01,0.1
2006-05-01,0.101
2006-06-01,0.106
2006-07-01,0.106
2006-08-01,0.106
2006-09-01,0.106
2006-10-01,0.102
2006-11-01,0.099
2006-12-01,0.099
2007-01-01,0.102
2007-02-01,0.102
2007-03-01,0.102
2007-04-01,0.102
2007-05-01,0.104
2007-06-01,0.109
2007-07-01,0.109
2007-08-01,0.109
2007-09-01,0.11
2007-10-01,0.106
2007-11-01,0.104
2007-12-01,0.104
2008-01-01,0.104
2008-02-01,0.104
2008-03-01,0.105
2008-04-01,0.107
2008-05-01,0.11
2008-06-01,0.115
2008-07-01,0.119
2008-08-01,0.118
2008-09-01,0.118
2008-10-01,0.114
2008-11-01,0.112
2008-12-01,0.112
2009-01-01,0.113
2009-02-01,0.114
2009-03-01,0.113
2009-04-01,0.112
2009-05-01,0.113
2009-06-01,0.117
2009-07-01,0.117
2009-08-01,0.116
2009-09-01,0.116
2009-10-01,0.111
2009-11-01,0.11
2009-12-01,0.11
2010-01-01,0.11
2010-02-01,0.11
2010-03-01,0.112
2010-04-01,0.112
2010-05-01,0.113
2010-06-01,0.118
2010-07-01,0.119
2010-08-01,0.119
2010-09-01,0.118
2010-10-01,0.113
2010-11-01,0.111
2010-12-01,0.111
2011-01-01,0.112
2011-02-01,0.112
2011-03-01,0.113
2011-04-01,0.113
2011-05-01,0.116
2011-06-01,0.121
2011-07-01,0.122
2011-08-01,0.122
2011-09-01,0.123
2011-10-01,0.118
2011-11-01,0.115
2011-12-01,0.115
2012-01-01,0.115
2012-02-01,0.115
2012-03-01,0.114
2012-04-01,0.114
2012-05-01,0.116
2012-06-01,0.122
2012-07-01,0.122
2012-08-01,0.122
2012-09-01,0.122
2012-10-01,0.117
2012-11-01,0.114
2012-12-01,0.115
2013-01-01,0.115
2013-02-01,0.116
2013-03-01,0.115
2013-04-01,0.117
2013-05-01,0.12
2013-06-01,0.126
2013-07-01,0.126
2013-08-01,0.126
2013-09-01,0.125
2013-10-01,0.121
2013-11-01,0.119
2013-12-01,0.119
2014-01-01,0.12
2014-02-01,0.121
2014-03-01,0.123
2014-04-01,0.12
2014-05-01,0.125
2014-06-01,0.131
2014-07-01,0.132
2014-08-01,0.132
2014-09-01,0.13
2014-10-01,0.125
2014-11-01,0.122
2014-12-01,0.123
2015-01-01,0.126
2015-02-01,0.125
2015-03-01,0.125
2015-04-01,0.124
2015-05-01,0.126
2015-06-01,0.132
2015-07-01,0.131
2015-08-01,0.131
2015-09-01,0.131
2015-10-01,0.125
2015-11-01,0.122
2015-12-01,0.122
2016-01-01,0.122
2016-02-01,0.122
2016-03-01,0.123
2016-04-01,0.122
2016-05-01,0.124
2016-06-01,0.129
2016-07-01,0.129
2016-08-01,0.129
2016-09-01,0.129
2016-10-01,0.124
2016-11-01,0.122
2016-12-01,0.122
2017-01-01,0.123
2017-02-01,0.125
2017-03-01,0.124
2017-04-01,0.124
2017-05-01,0.125
2017-06-01,0.131
2017-07-01,0.132
2017-08-01,0.132
2017-09-01,0.131
2017-10-01,0.127
2017-11-01,0.125
2017-12-01,0.125
2018-01-01,0.128
2018-02-01,0.129
2018-03-01,0.13
2018-04-01,0.128
2018-05-01,0.13
2018-06-01,0.132
2018-07-01,0.132
2018-08-01,0.133
2018-09-01,0.131
2018-10-01,0.129
2018-11-01,0.128
2018-12-01,0.129
2019-01-01,0.13
2019-02-01,0.13
2019-03-01,0.129
2019-04-01,0.129
2019-05-01,0.13
2019-06-01,0.133
2019-07-01,0.133
2019-08-01,0.132
2019-09-01,0.131
2019-10-01,0.129
2019-11-01,0.128
2019-12-01,0.128
2020-01-01,0.129
2020-02-01,0.129
2020-03-01,0.128
2020-04-01,0.128
2020-05-01,0.128
2020-06-01,0.131
2020-07-01,0.132
2020-08-01,0.131
2020-09-01,0.131
2020-10-01,0.129
2020-11-01,0.129
2020-12-01,0.129
2021-01-01,0.13
2021-02-01,0.13
2021-03-01,0.131
2021-04-01,0.132
2021-05-01,0.133
2021-06-01,0.136
2021-07-01,0.136
2021-08-01,0.136
2021-09-01,0.137
2021-10-01,0.134
2021-11-01,0.133
2021-12-01,0.134
2022-01-01,0.137
2022-02-01,0.138
2022-03-01,0.139
2022-04-01,0.141
2022-05-01,0.143
2022-06-01,0.149
2022-07-01,0.153
2022-08-01,0.155
2022-09-01,0.155
2022-10-01,0.157
2022-11-01,0.155
2022-12-01,0.157
2023-01-01,0.159
2023-02-01,0.16
2023-03-01,0.157
2023-04-01,0.156
2023-05-01,0.155
2023-06-01,0.159
2023-07-01,0.158
2023-08-01,0.158
2023-09-01,0.159
2023-10-01,0.158
2023-11-01,0.157
