"Date","CUSR0000SAM1"
1967-01-01,45.1
1967-02-01,45.1
1967-03-01,44.9
1967-04-01,44.8
1967-05-01,44.8
1967-06-01,44.7
1967-07-01,44.8
1967-08-01,44.9
1967-09-01,44.9
1967-10-01,44.9
1967-11-01,44.9
1967-12-01,45
1968-01-01,45
1968-02-01,45
1968-03-01,45
1968-04-01,45
1968-05-01,44.9
1968-06-01,44.9
1968-07-01,44.9
1968-08-01,44.9
1968-09-01,45
1968-10-01,45.1
1968-11-01,45.1
1968-12-01,45.2
1969-01-01,45.2
1969-02-01,45.2
1969-03-01,45.3
1969-04-01,45.3
1969-05-01,45.4
1969-06-01,45.4
1969-07-01,45.4
1969-08-01,45.4
1969-09-01,45.5
1969-10-01,45.5
1969-11-01,45.6
1969-12-01,45.7
1970-01-01,45.8
1970-02-01,45.9
1970-03-01,46
1970-04-01,46.3
1970-05-01,46.4
1970-06-01,46.5
1970-07-01,46.7
1970-08-01,46.8
1970-09-01,46.8
1970-10-01,46.8
1970-11-01,46.7
1970-12-01,46.8
1971-01-01,46.9
1971-02-01,47.1
1971-03-01,47.1
1971-04-01,47.2
1971-05-01,47.2
1971-06-01,47.3
1971-07-01,47.3
1971-08-01,47.3
1971-09-01,47.4
1971-10-01,47.4
1971-11-01,47.5
1971-12-01,47.5
1972-01-01,47.4
1972-02-01,47.3
1972-03-01,47.4
1972-04-01,47.3
1972-05-01,47.3
1972-06-01,47.4
1972-07-01,47.4
1972-08-01,47.4
1972-09-01,47.4
1972-10-01,47.4
1972-11-01,47.4
1972-12-01,47.5
1973-01-01,47.5
1973-02-01,47.5
1973-03-01,47.4
1973-04-01,47.4
1973-05-01,47.5
1973-06-01,47.5
1973-07-01,47.5
1973-08-01,47.5
1973-09-01,47.6
1973-10-01,47.6
1973-11-01,47.7
1973-12-01,47.8
1974-01-01,47.9
1974-02-01,48
1974-03-01,48.1
1974-04-01,48.3
1974-05-01,48.4
1974-06-01,48.7
1974-07-01,49.1
1974-08-01,49.6
1974-09-01,49.9
1974-10-01,50.3
1974-11-01,50.7
1974-12-01,51.1
1975-01-01,51.5
1975-02-01,52
1975-03-01,52.4
1975-04-01,52.7
1975-05-01,52.9
1975-06-01,53.2
1975-07-01,53.5
1975-08-01,53.7
1975-09-01,54
1975-10-01,54.3
1975-11-01,54.6
1975-12-01,54.9
1976-01-01,55.1
1976-02-01,55.3
1976-03-01,55.5
1976-04-01,55.9
1976-05-01,56.2
1976-06-01,56.4
1976-07-01,56.6
1976-08-01,57
1976-09-01,57.2
1976-10-01,57.5
1976-11-01,57.7
1976-12-01,57.9
1977-01-01,58.3
1977-02-01,58.6
1977-03-01,58.9
1977-04-01,59.3
1977-05-01,59.6
1977-06-01,60
1977-07-01,60.3
1977-08-01,60.6
1977-09-01,61.1
1977-10-01,61.5
1977-11-01,61.7
1977-12-01,62
1978-01-01,62.4
1978-02-01,62.8
1978-03-01,63.2
