"Date","CUSR0000SA311"
1987-08-01,110
1987-09-01,110.7
1987-10-01,111.5
1987-11-01,112.2
1987-12-01,111.7
1988-01-01,112.3
1988-02-01,110.9
1988-03-01,112.6
1988-04-01,114.5
1988-05-01,114.4
1988-06-01,114.8
1988-07-01,115.2
1988-08-01,113.5
1988-09-01,115.2
1988-10-01,116.1
1988-11-01,116.5
1988-12-01,117
1989-01-01,117.1
1989-02-01,115.4
1989-03-01,116.7
1989-04-01,117.2
1989-05-01,117.6
1989-06-01,117.2
1989-07-01,116.7
1989-08-01,115.3
1989-09-01,117.3
1989-10-01,118.1
1989-11-01,118.6
1989-12-01,118.3
1990-01-01,118.4
1990-02-01,120.8
1990-03-01,122.9
1990-04-01,123
1990-05-01,122.8
1990-06-01,123
1990-07-01,122.9
1990-08-01,123.2
1990-09-01,124.1
1990-10-01,124
1990-11-01,124
1990-12-01,124.9
1991-01-01,125.6
1991-02-01,126
1991-03-01,125.5
1991-04-01,126.1
1991-05-01,126.7
1991-06-01,126.5
1991-07-01,127.4
1991-08-01,128.7
1991-09-01,128.8
1991-10-01,128.9
1991-11-01,129.9
1991-12-01,129.4
1992-01-01,129.6
1992-02-01,129.5
1992-03-01,129.7
1992-04-01,129
1992-05-01,130.1
1992-06-01,130.4
1992-07-01,131
1992-08-01,130.4
1992-09-01,130.3
1992-10-01,130.7
1992-11-01,131
1992-12-01,131
1993-01-01,131
1993-02-01,132.5
1993-03-01,132.5
1993-04-01,132.5
1993-05-01,131.8
1993-06-01,131.1
1993-07-01,130.9
1993-08-01,132.4
1993-09-01,131.9
1993-10-01,131.9
1993-11-01,132.5
1993-12-01,132.1
1994-01-01,131
1994-02-01,131
1994-03-01,131.7
1994-04-01,131.3
1994-05-01,131.8
1994-06-01,132.7
1994-07-01,132
1994-08-01,130.9
1994-09-01,131.4
1994-10-01,130.9
1994-11-01,130.1
1994-12-01,129.7
1995-01-01,129.6
1995-02-01,129.2
1995-03-01,129.5
1995-04-01,129.2
1995-05-01,128.8
1995-06-01,128.6
1995-07-01,128.6
1995-08-01,130
1995-09-01,129.4
1995-10-01,129.7
1995-11-01,129.2
1995-12-01,129.6
1996-01-01,130.2
1996-02-01,129.2
1996-03-01,129.4
1996-04-01,128.8
1996-05-01,128.6
1996-06-01,128.2
1996-07-01,127.8
1996-08-01,127
1996-09-01,127.8
1996-10-01,127.9
1996-11-01,128.2
1996-12-01,128.5
1997-01-01,128.9
1997-02-01,129.7
1997-03-01,129
1997-04-01,129.7
1997-05-01,129.9
1997-06-01,129.9
1997-07-01,130
1997-08-01,129.1
1997-09-01,129.4
1997-10-01,129
1997-11-01,129.2
1997-12-01,129.3
1998-01-01,129.1
1998-02-01,129.3
1998-03-01,129.3
1998-04-01,128.9
1998-05-01,129.3
1998-06-01,129.6
1998-07-01,129.8
1998-08-01,131.5
1998-09-01,129.3
1998-10-01,128.9
1998-11-01,128.8
1998-12-01,128.1
1999-01-01,127.6
1999-02-01,127.1
1999-03-01,126.6
1999-04-01,127.9
1999-05-01,128.2
1999-06-01,128.3
1999-07-01,127.8
1999-08-01,127.5
1999-09-01,127.9
1999-10-01,128.2
1999-11-01,127.7
1999-12-01,128.2
2000-01-01,127.5
2000-02-01,127.1
2000-03-01,127
2000-04-01,126.3
2000-05-01,126.1
2000-06-01,125.8
2000-07-01,125.8
2000-08-01,125.8
2000-09-01,125.9
2000-10-01,125.8
2000-11-01,125.8
2000-12-01,125.5
2001-01-01,126
2001-02-01,126.1
2001-03-01,126
2001-04-01,124.9
2001-05-01,123.7
2001-06-01,123.9
2001-07-01,123.5
2001-08-01,122.5
2001-09-01,122
2001-10-01,121.9
2001-11-01,121.6
2001-12-01,121.2
2002-01-01,121.2
2002-02-01,121
2002-03-01,121.4
2002-04-01,121.2
2002-05-01,120.4
2002-06-01,119.9
2002-07-01,119.4
2002-08-01,120.5
2002-09-01,119.5
2002-10-01,119
2002-11-01,119
2002-12-01,118.6
2003-01-01,117.7
2003-02-01,117.5
2003-03-01,116.8
2003-04-01,116.5
2003-05-01,116.1
2003-06-01,116.4
2003-07-01,116.8
2003-08-01,116.7
2003-09-01,116.9
2003-10-01,117
2003-11-01,116.8
2003-12-01,116.1
2004-01-01,116.2
2004-02-01,116.2
2004-03-01,116.3
2004-04-01,116.5
2004-05-01,116.9
2004-06-01,117.3
2004-07-01,117.3
2004-08-01,116.2
2004-09-01,115.4
2004-10-01,116
2004-11-01,116.3
2004-12-01,115.2
2005-01-01,115.6
2005-02-01,115.2
2005-03-01,115.8
2005-04-01,115
2005-05-01,115
2005-06-01,114.3
2005-07-01,113.8
2005-08-01,114.2
2005-09-01,113.4
2005-10-01,113.4
2005-11-01,114
2005-12-01,113.5
2006-01-01,113.3
2006-02-01,112.2
2006-03-01,113.5
2006-04-01,114.2
2006-05-01,114.4
2006-06-01,114.8
2006-07-01,113.7
2006-08-01,114.7
2006-09-01,115.2
2006-10-01,114.7
2006-11-01,114.2
2006-12-01,114.6
2007-01-01,114.809
2007-02-01,115.231
2007-03-01,114.787
2007-04-01,114.383
2007-05-01,114.174
2007-06-01,113.529
2007-07-01,113.168
2007-08-01,112.503
2007-09-01,112.727
2007-10-01,113.171
2007-11-01,113.368
2007-12-01,114.203
2008-01-01,114.226
2008-02-01,113.532
2008-03-01,112.89
2008-04-01,113.098
2008-05-01,113.091
2008-06-01,112.805
2008-07-01,113.281
2008-08-01,114.334
2008-09-01,114.225
2008-10-01,113.227
2008-11-01,113.181
2008-12-01,112.367
2009-01-01,112.267
2009-02-01,114.277
2009-03-01,114.677
2009-04-01,114.401
2009-05-01,114.21
2009-06-01,114.489
2009-07-01,114.058
2009-08-01,114.251
2009-09-01,114.828
2009-10-01,114.409
2009-11-01,113.751
2009-12-01,114.158
2010-01-01,113.552
2010-02-01,113.897
2010-03-01,114.104
2010-04-01,113.375
2010-05-01,113.515
2010-06-01,113.439
2010-07-01,113.14
2010-08-01,112.749
2010-09-01,112.95
2010-10-01,112.471
2010-11-01,112.823
2010-12-01,113.124
2011-01-01,113.629
2011-02-01,113.728
2011-03-01,113.49
2011-04-01,114.005
2011-05-01,115.074
2011-06-01,115.712
2011-07-01,116.76
2011-08-01,117.833
2011-09-01,117.426
2011-10-01,118.212
2011-11-01,119.338
2011-12-01,119.394
2012-01-01,120.001
2012-02-01,119.591
2012-03-01,120.334
2012-04-01,120.76
2012-05-01,120.954
2012-06-01,120.2
2012-07-01,120.018
2012-08-01,119.257
2012-09-01,120.445
2012-10-01,121.266
2012-11-01,120.99
2012-12-01,120.985
2013-01-01,121.741
2013-02-01,121.726
2013-03-01,120.578
2013-04-01,120.416
2013-05-01,120.393
2013-06-01,120.26
2013-07-01,121.286
2013-08-01,121.052
2013-09-01,121.037
2013-10-01,120.781
2013-11-01,121.15
2013-12-01,122.75
2014-01-01,122.031
2014-02-01,121.223
2014-03-01,121.453
2014-04-01,121.48
2014-05-01,121.674
2014-06-01,121.723
2014-07-01,121.386
2014-08-01,120.636
2014-09-01,120.946
2014-10-01,120.816
2014-11-01,120.331
2014-12-01,119.488
2015-01-01,119.086
2015-02-01,118.941
2015-03-01,119.585
2015-04-01,119.376
2015-05-01,118.753
2015-06-01,118.389
2015-07-01,118.506
2015-08-01,118.902
2015-09-01,118.901
2015-10-01,118.18
2015-11-01,118.604
2015-12-01,119.048
2016-01-01,117.682
2016-02-01,118.496
2016-03-01,118.543
2016-04-01,118.415
2016-05-01,119.56
2016-06-01,119.559
2016-07-01,119.196
2016-08-01,119.12
2016-09-01,118.752
2016-10-01,119.156
2016-11-01,119.394
2016-12-01,118.767
2017-01-01,118.848
2017-02-01,119.16
2017-03-01,119.212
2017-04-01,118.898
2017-05-01,118.235
2017-06-01,118.013
2017-07-01,118.234
2017-08-01,118.463
2017-09-01,118.799
2017-10-01,119.114
2017-11-01,118.11
2017-12-01,117.262
2018-01-01,118.31
2018-02-01,119.15
2018-03-01,119.218
2018-04-01,120.303
2018-05-01,120.629
2018-06-01,119.396
2018-07-01,118.389
2018-08-01,115.973
2018-09-01,118.202
2018-10-01,119.319
2018-11-01,118.295
2018-12-01,117.396
2019-01-01,117.136
2019-02-01,117.214
2019-03-01,116.462
2019-04-01,116.784
2019-05-01,116.63
2019-06-01,117.648
2019-07-01,117.554
2019-08-01,116.85
2019-09-01,117.048
2019-10-01,115.766
2019-11-01,115.709
2019-12-01,114.859
2020-01-01,114.534
2020-02-01,115.098
2020-03-01,114.067
2020-04-01,109.511
2020-05-01,106.512
2020-06-01,108.311
2020-07-01,108.888
2020-08-01,109.216
2020-09-01,109.562
2020-10-01,108.972
2020-11-01,108.967
2020-12-01,109.491
2021-01-01,111.162
2021-02-01,110.283
2021-03-01,110.324
2021-04-01,111.164
2021-05-01,112.096
2021-06-01,112.996
2021-07-01,113.133
2021-08-01,113.385
2021-09-01,112.376
2021-10-01,113.8
2021-11-01,114.685
2021-12-01,115.659
2022-01-01,116.674
2022-02-01,117.215
2022-03-01,117.704
2022-04-01,117.481
2022-05-01,117.971
2022-06-01,118.602
2022-07-01,118.468
2022-08-01,119.058
2022-09-01,119.205
2022-10-01,119.16
2022-11-01,119.362
2022-12-01,119.822
2023-01-01,121.021
2023-02-01,121.833
2023-03-01,122.391
2023-04-01,122.684
2023-05-01,123.12
2023-06-01,123.579
2023-07-01,123.782
2023-08-01,123.732
2023-09-01,122.43
2023-10-01,122.705
2023-11-01,120.865
