"Date","CUURA209SA0L1E"
1982-01-01,92.9
1982-02-01,NA
1982-03-01,94.3
1982-04-01,NA
1982-05-01,96.3
1982-06-01,NA
1982-07-01,96.6
1982-08-01,NA
1982-09-01,98.5
1982-10-01,NA
1982-11-01,97
1982-12-01,NA
1983-01-01,98.1
1983-02-01,NA
1983-03-01,99
1983-04-01,NA
1983-05-01,99.1
1983-06-01,NA
1983-07-01,99.9
1983-08-01,NA
1983-09-01,101
1983-10-01,NA
1983-11-01,101.1
1983-12-01,NA
1984-01-01,101.7
1984-02-01,NA
1984-03-01,102.3
1984-04-01,NA
1984-05-01,103.8
1984-06-01,NA
1984-07-01,104.1
1984-08-01,NA
1984-09-01,105.5
1984-10-01,NA
1984-11-01,105.2
1984-12-01,NA
1985-01-01,107.4
1985-02-01,NA
1985-03-01,107.6
1985-04-01,NA
1985-05-01,107.5
1985-06-01,NA
1985-07-01,108.2
1985-08-01,NA
1985-09-01,109.1
1985-10-01,NA
1985-11-01,110.5
1985-12-01,NA
1986-01-01,110.6
1986-02-01,NA
1986-03-01,111
1986-04-01,NA
1986-05-01,110.7
1986-06-01,NA
1986-07-01,112.1
1986-08-01,NA
1986-09-01,112.3
1986-10-01,NA
1986-11-01,113.1
1986-12-01,NA
1987-01-01,113.9
1987-02-01,NA
1987-03-01,114.5
1987-04-01,NA
1987-05-01,115
1987-06-01,NA
1987-07-01,114.9
1987-08-01,NA
1987-09-01,116.6
1987-10-01,NA
1987-11-01,117
1987-12-01,NA
1988-01-01,117.4
1988-02-01,NA
1988-03-01,118.6
1988-04-01,NA
1988-05-01,118
1988-06-01,NA
1988-07-01,118.7
1988-08-01,NA
1988-09-01,120
1988-10-01,NA
1988-11-01,122.7
1988-12-01,NA
1989-01-01,122.7
1989-02-01,NA
1989-03-01,123.5
1989-04-01,NA
1989-05-01,124.7
1989-06-01,NA
1989-07-01,125.6
1989-08-01,NA
1989-09-01,126.6
1989-10-01,NA
1989-11-01,126.9
1989-12-01,NA
1990-01-01,128.1
1990-02-01,NA
1990-03-01,131.3
1990-04-01,NA
1990-05-01,130.5
1990-06-01,NA
1990-07-01,130.5
1990-08-01,NA
1990-09-01,131.1
1990-10-01,NA
1990-11-01,132.2
1990-12-01,NA
1991-01-01,133.5
1991-02-01,NA
1991-03-01,134.9
1991-04-01,NA
1991-05-01,135
1991-06-01,NA
1991-07-01,135.7
1991-08-01,NA
1991-09-01,136.7
1991-10-01,NA
1991-11-01,137.5
1991-12-01,NA
1992-01-01,137.5
1992-02-01,NA
1992-03-01,138.4
1992-04-01,NA
1992-05-01,139.4
1992-06-01,NA
1992-07-01,139.8
1992-08-01,NA
1992-09-01,140.9
1992-10-01,NA
1992-11-01,141
1992-12-01,NA
1993-01-01,141.9
1993-02-01,NA
1993-03-01,142.8
1993-04-01,NA
1993-05-01,143.2
1993-06-01,NA
1993-07-01,144.2
1993-08-01,NA
1993-09-01,143.6
1993-10-01,NA
1993-11-01,144.6
1993-12-01,NA
1994-01-01,145
1994-02-01,NA
1994-03-01,146.4
1994-04-01,NA
1994-05-01,146.9
1994-06-01,NA
1994-07-01,147.1
1994-08-01,NA
1994-09-01,149.2
1994-10-01,NA
1994-11-01,150.9
1994-12-01,NA
1995-01-01,150.8
1995-02-01,NA
1995-03-01,152.8
1995-04-01,NA
1995-05-01,152.2
1995-06-01,NA
1995-07-01,152.2
1995-08-01,NA
1995-09-01,154.4
1995-10-01,NA
1995-11-01,154.3
1995-12-01,NA
1996-01-01,154.6
1996-02-01,NA
1996-03-01,156.7
1996-04-01,NA
1996-05-01,155
1996-06-01,NA
1996-07-01,155.6
1996-08-01,NA
1996-09-01,157.2
1996-10-01,NA
1996-11-01,158.1
1996-12-01,NA
1997-01-01,157.8
1997-02-01,NA
1997-03-01,160.2
1997-04-01,NA
1997-05-01,160.4
1997-06-01,NA
1997-07-01,160
1997-08-01,NA
1997-09-01,161.6
1997-10-01,NA
1997-11-01,161.2
