"Date","CWSR0000SAF112"
1967-01-01,38.2
1967-02-01,38
1967-03-01,37.9
1967-04-01,37.5
1967-05-01,37.4
1967-06-01,38.2
1967-07-01,38.1
1967-08-01,38.3
1967-09-01,38.3
1967-10-01,38.2
1967-11-01,38.2
1967-12-01,38.2
1968-01-01,38
1968-02-01,38.3
1968-03-01,38.6
1968-04-01,38.7
1968-05-01,38.8
1968-06-01,38.9
1968-07-01,39
1968-08-01,39.2
1968-09-01,39.6
1968-10-01,40.1
1968-11-01,39.9
1968-12-01,40.1
1969-01-01,40.4
1969-02-01,40.6
1969-03-01,40.4
1969-04-01,41.2
1969-05-01,41.6
1969-06-01,43
1969-07-01,43.4
1969-08-01,43.7
1969-09-01,44
1969-10-01,44
1969-11-01,44.6
1969-12-01,45.1
1970-01-01,45.4
1970-02-01,45.7
1970-03-01,45.1
1970-04-01,44.9
1970-05-01,44.9
1970-06-01,44.6
1970-07-01,44.7
1970-08-01,44.3
1970-09-01,44.3
1970-10-01,44.2
1970-11-01,43.9
1970-12-01,43.8
1971-01-01,43.4
1971-02-01,43.1
1971-03-01,43.6
1971-04-01,43.9
1971-05-01,44.3
1971-06-01,44.6
1971-07-01,44.4
1971-08-01,44.4
1971-09-01,44.2
1971-10-01,44.6
1971-11-01,44.9
1971-12-01,45.4
1972-01-01,45.7
1972-02-01,47.1
1972-03-01,47.3
1972-04-01,47.3
1972-05-01,47.4
1972-06-01,47.6
1972-07-01,48.4
1972-08-01,48.3
1972-09-01,48.6
1972-10-01,49.3
1972-11-01,49.8
1972-12-01,50.2
1973-01-01,52.3
1973-02-01,54
1973-03-01,57.2
1973-04-01,58.9
1973-05-01,59.7
1973-06-01,60.2
1973-07-01,59.8
1973-08-01,69.6
1973-09-01,67.7
1973-10-01,64.8
1973-11-01,64
1973-12-01,64
1974-01-01,65.1
1974-02-01,66.5
1974-03-01,65.3
1974-04-01,63
1974-05-01,60.6
1974-06-01,58.9
1974-07-01,57.7
1974-08-01,60.3
1974-09-01,62.1
1974-10-01,62.2
1974-11-01,62.7
1974-12-01,62.8
1975-01-01,62.4
1975-02-01,62.1
1975-03-01,61.7
1975-04-01,62.2
1975-05-01,64.1
1975-06-01,66.5
1975-07-01,69.4
1975-08-01,69.9
1975-09-01,70.8
1975-10-01,72.1
1975-11-01,72.1
1975-12-01,71.9
1976-01-01,70.9
1976-02-01,69.2
1976-03-01,68.1
1976-04-01,67.3
1976-05-01,68.3
1976-06-01,68.6
1976-07-01,68.8
1976-08-01,68.3
1976-09-01,68
1976-10-01,67.3
1976-11-01,66.4
1976-12-01,66
1977-01-01,66.3
1977-02-01,67.2
1977-03-01,66.9
1977-04-01,66.7
1977-05-01,66.8
1977-06-01,67.1
1977-07-01,67.8
1977-08-01,68.1
1977-09-01,68.4
1977-10-01,68.2
1977-11-01,68.8
1977-12-01,68.4
1978-01-01,69.6
1978-02-01,71.2
1978-03-01,72.9
1978-04-01,75.5
1978-05-01,77.3
1978-06-01,80.1
1978-07-01,79.6
1978-08-01,79.9
1978-09-01,79.6
1978-10-01,80.5
1978-11-01,81.6
1978-12-01,82.1
1979-01-01,84.7
1979-02-01,87.9
1979-03-01,89.7
1979-04-01,91.1
1979-05-01,91.9
1979-06-01,90.9
1979-07-01,90
1979-08-01,87.2
1979-09-01,87.4
1979-10-01,87.6
1979-11-01,87.9
1979-12-01,89.2
1980-01-01,90.3
1980-02-01,89.5
1980-03-01,89.8
1980-04-01,88.8
1980-05-01,87.7
1980-06-01,87.6
1980-07-01,89.3
1980-08-01,92.7
1980-09-01,95
1980-10-01,96
1980-11-01,97.1
1980-12-01,97.2
1981-01-01,96.4
1981-02-01,95.2
1981-03-01,94.4
1981-04-01,93.7
1981-05-01,93.9
1981-06-01,94.6
1981-07-01,96.4
1981-08-01,97.2
1981-09-01,97.5
1981-10-01,97.6
1981-11-01,96.9
1981-12-01,96.4
1982-01-01,95.4
1982-02-01,96.7
1982-03-01,97.2
1982-04-01,97.6
1982-05-01,99.5
1982-06-01,101.7
1982-07-01,102.2
1982-08-01,101.1
1982-09-01,101.7
1982-10-01,101
1982-11-01,100.3
1982-12-01,99.2
1983-01-01,99.1
1983-02-01,99.6
1983-03-01,99.8
1983-04-01,99.8
1983-05-01,100.4
1983-06-01,99.9
1983-07-01,99.2
1983-08-01,98.5
1983-09-01,98.4
1983-10-01,98
1983-11-01,97.7
1983-12-01,97.9
1984-01-01,101.2
1984-02-01,103.1
1984-03-01,102
1984-04-01,102.8
1984-05-01,101.9
1984-06-01,100.9
1984-07-01,100.4
1984-08-01,100.7
1984-09-01,99.9
1984-10-01,99.6
1984-11-01,99.3
1984-12-01,100.6
1985-01-01,100.5
1985-02-01,100.7
1985-03-01,100.8
1985-04-01,100.2
1985-05-01,99.2
1985-06-01,99.2
1985-07-01,98.8
1985-08-01,98.3
1985-09-01,98.3
1985-10-01,98.7
1985-11-01,100.8
1985-12-01,102.1
1986-01-01,102.4
1986-02-01,101.7
1986-03-01,101.9
1986-04-01,101
1986-05-01,101.1
1986-06-01,101.1
1986-07-01,104
1986-08-01,106.5
1986-09-01,106.6
1986-10-01,107.2
1986-11-01,108.2
1986-12-01,109
1987-01-01,109.1
1987-02-01,108.7
1987-03-01,108.7
1987-04-01,109.1
1987-05-01,110.6
1987-06-01,111.1
1987-07-01,111.2
1987-08-01,111.4
1987-09-01,111.9
1987-10-01,111.6
1987-11-01,111
1987-12-01,110
1988-01-01,110.2
1988-02-01,110.6
1988-03-01,111.2
1988-04-01,111.9
1988-05-01,112.8
1988-06-01,115
1988-07-01,116.3
1988-08-01,116.8
1988-09-01,116.6
1988-10-01,116.3
1988-11-01,116
1988-12-01,115.8
1989-01-01,117.8
1989-02-01,118.2
1989-03-01,120.2
1989-04-01,120.8
1989-05-01,121.3
1989-06-01,121.8
1989-07-01,121.5
1989-08-01,121.7
1989-09-01,122.2
1989-10-01,122
1989-11-01,122.7
1989-12-01,123.8
1990-01-01,126
1990-02-01,126.9
1990-03-01,127.2
1990-04-01,128
1990-05-01,128.2
1990-06-01,130.3
1990-07-01,130.3
1990-08-01,131.1
1990-09-01,131.8
1990-10-01,132.8
1990-11-01,133.3
1990-12-01,134
1991-01-01,133.8
1991-02-01,133.3
1991-03-01,133.4
1991-04-01,132.9
1991-05-01,133.2
1991-06-01,132.8
1991-07-01,132.8
1991-08-01,132.6
1991-09-01,132.1
1991-10-01,131.8
1991-11-01,131.4
1991-12-01,131.7
1992-01-01,130.4
1992-02-01,130.3
1992-03-01,130
1992-04-01,130.1
1992-05-01,130.4
1992-06-01,130.5
1992-07-01,130.5
1992-08-01,130.8
1992-09-01,131.7
1992-10-01,131.7
1992-11-01,131.6
1992-12-01,132.1
1993-01-01,132.9
1993-02-01,133.1
1993-03-01,133.9
1993-04-01,135.4
1993-05-01,135.5
1993-06-01,135.7
1993-07-01,136
1993-08-01,136
1993-09-01,135.9
1993-10-01,136.6
1993-11-01,136.8
1993-12-01,136.7
1994-01-01,137.1
1994-02-01,137.2
1994-03-01,137.1
1994-04-01,137.4
1994-05-01,137.4
1994-06-01,137.5
1994-07-01,137.1
1994-08-01,137
1994-09-01,137.3
1994-10-01,136.6
1994-11-01,136.2
1994-12-01,135.8
1995-01-01,136.4
1995-02-01,137.2
1995-03-01,137.6
1995-04-01,137.4
1995-05-01,137.5
1995-06-01,137.3
1995-07-01,137.8
1995-08-01,138.4
1995-09-01,139.2
1995-10-01,140.3
1995-11-01,140.7
1995-12-01,141.2
1996-01-01,142.1
1996-02-01,142
1996-03-01,142.2
1996-04-01,142
1996-05-01,141.6
1996-06-01,143.3
1996-07-01,144
1996-08-01,145
1996-09-01,146.5
1996-10-01,147.2
1996-11-01,148.1
1996-12-01,149.4
1997-01-01,148.8
1997-02-01,148.4
1997-03-01,147.6
1997-04-01,148
1997-05-01,148.4
1997-06-01,148.2
1997-07-01,148.5
1997-08-01,148.4
1997-09-01,148.3
1997-10-01,148
1997-11-01,148.3
1997-12-01,147.6
1998-01-01,147.8
1998-02-01,147.4
1998-03-01,147.4
1998-04-01,147
1998-05-01,146.9
1998-06-01,146.5
1998-07-01,146.7
1998-08-01,147.3
1998-09-01,146.3
1998-10-01,146.7
1998-11-01,146.8
1998-12-01,146.6
1999-01-01,146.2
1999-02-01,146.9
1999-03-01,146.7
1999-04-01,147
1999-05-01,147
1999-06-01,147.2
1999-07-01,146.8
1999-08-01,147.7
1999-09-01,148.2
1999-10-01,148.3
1999-11-01,149.5
1999-12-01,149.3
2000-01-01,149.9
2000-02-01,150.9
2000-03-01,152.3
2000-04-01,153.1
2000-05-01,154.1
2000-06-01,154.7
2000-07-01,155.3
2000-08-01,156.1
2000-09-01,156
2000-10-01,156.1
2000-11-01,155.1
2000-12-01,156.3
2001-01-01,157.9
2001-02-01,159.3
2001-03-01,160.1
2001-04-01,161.2
2001-05-01,161.1
2001-06-01,161.4
2001-07-01,162
2001-08-01,161.7
2001-09-01,161.8
2001-10-01,163
2001-11-01,162.5
2001-12-01,161.9
2002-01-01,162.1
2002-02-01,161.7
2002-03-01,162.8
2002-04-01,162.6
2002-05-01,162.7
2002-06-01,161.9
2002-07-01,162.1
2002-08-01,161.8
2002-09-01,161.2
2002-10-01,161
2002-11-01,161.8
2002-12-01,162
2003-01-01,161.6
2003-02-01,164.6
2003-03-01,164.7
2003-04-01,165.7
2003-05-01,165.2
2003-06-01,167.1
2003-07-01,168.1
2003-08-01,169.3
2003-09-01,170.6
2003-10-01,173.7
2003-11-01,178.9
2003-12-01,180.7
2004-01-01,179.9
2004-02-01,179.9
2004-03-01,179.5
2004-04-01,179.8
2004-05-01,182
2004-06-01,182.6
2004-07-01,183.5
2004-08-01,183.3
2004-09-01,182.7
2004-10-01,182.6
2004-11-01,182.1
2004-12-01,182.9
2005-01-01,183.5
2005-02-01,184.3
2005-03-01,184.4
2005-04-01,185.2
2005-05-01,185.7
2005-06-01,185.4
2005-07-01,184.5
2005-08-01,184
2005-09-01,184.2
2005-10-01,184.2
2005-11-01,185.5
2005-12-01,185.4
2006-01-01,185.4
2006-02-01,185.4
2006-03-01,185.9
2006-04-01,185.6
2006-05-01,185.2
2006-06-01,185.7
2006-07-01,184.5
2006-08-01,186.4
2006-09-01,186.6
2006-10-01,187.2
2006-11-01,187.7
2006-12-01,188
2007-01-01,189.109
2007-02-01,190.438
2007-03-01,192.363
2007-04-01,193.535
2007-05-01,196.144
2007-06-01,196.774
2007-07-01,196.273
2007-08-01,196.379
2007-09-01,197.004
2007-10-01,197.704
2007-11-01,198.196
2007-12-01,198.508
2008-01-01,199.335
2008-02-01,199.395
2008-03-01,199.7
2008-04-01,200.569
2008-05-01,201.477
2008-06-01,202.707
2008-07-01,204.756
2008-08-01,206.944
2008-09-01,208.556
2008-10-01,209.824
2008-11-01,209.105
2008-12-01,208.736
2009-01-01,207.926
2009-02-01,208.081
2009-03-01,206.454
2009-04-01,205.688
2009-05-01,204.3
2009-06-01,203.648
2009-07-01,201.308
2009-08-01,202.171
2009-09-01,200.256
2009-10-01,199.577
2009-11-01,200.543
2009-12-01,200.73
2010-01-01,201.257
2010-02-01,202.556
2010-03-01,202.963
2010-04-01,205.099
2010-05-01,206.124
2010-06-01,207.995
2010-07-01,208.705
2010-08-01,208.113
2010-09-01,210.296
2010-10-01,211.141
2010-11-01,212.549
2010-12-01,212.124
2011-01-01,214.966
2011-02-01,216.903
2011-03-01,219.293
2011-04-01,220.739
2011-05-01,223.821
2011-06-01,222.965
2011-07-01,223.879
2011-08-01,224.99
2011-09-01,226.472
2011-10-01,227.089
2011-11-01,227.502
2011-12-01,229.444
2012-01-01,230.691
2012-02-01,229.643
2012-03-01,230.823
2012-04-01,230.634
2012-05-01,229.331
2012-06-01,230.231
2012-07-01,230.977
2012-08-01,231.791
2012-09-01,230.621
2012-10-01,231.995
2012-11-01,232.012
