"Date","CUURA311SA0L2"
1997-12-01,100
1998-01-01,100.3
1998-02-01,NA
1998-03-01,100.8
1998-04-01,NA
1998-05-01,100.7
1998-06-01,NA
1998-07-01,101.8
1998-08-01,NA
1998-09-01,101.9
1998-10-01,NA
1998-11-01,101
1998-12-01,NA
1999-01-01,101.5
1999-02-01,NA
1999-03-01,101.7
1999-04-01,NA
1999-05-01,102.4
1999-06-01,NA
1999-07-01,103.2
1999-08-01,NA
1999-09-01,104.3
1999-10-01,NA
1999-11-01,103.8
1999-12-01,NA
2000-01-01,104
2000-02-01,NA
2000-03-01,105.8
2000-04-01,NA
2000-05-01,105.4
2000-06-01,NA
2000-07-01,107.3
2000-08-01,NA
2000-09-01,107.4
2000-10-01,NA
2000-11-01,107
2000-12-01,NA
2001-01-01,106.7
2001-02-01,NA
2001-03-01,107.5
2001-04-01,NA
2001-05-01,108.1
2001-06-01,NA
2001-07-01,108.5
2001-08-01,NA
2001-09-01,109.4
2001-10-01,NA
2001-11-01,108.1
2001-12-01,NA
2002-01-01,107.4
2002-02-01,NA
2002-03-01,108.1
2002-04-01,NA
2002-05-01,109.2
2002-06-01,NA
2002-07-01,109.4
2002-08-01,NA
2002-09-01,110.3
2002-10-01,NA
2002-11-01,109.6
2002-12-01,NA
2003-01-01,110.3
2003-02-01,NA
2003-03-01,111.8
2003-04-01,NA
2003-05-01,111.3
2003-06-01,NA
2003-07-01,112
2003-08-01,NA
2003-09-01,113
2003-10-01,NA
2003-11-01,111.4
2003-12-01,NA
2004-01-01,111.9
2004-02-01,NA
2004-03-01,112.9
2004-04-01,NA
2004-05-01,113.8
2004-06-01,NA
2004-07-01,114.9
2004-08-01,NA
2004-09-01,115.7
2004-10-01,NA
2004-11-01,115.5
2004-12-01,NA
2005-01-01,115
2005-02-01,NA
2005-03-01,116.8
2005-04-01,NA
2005-05-01,117.8
2005-06-01,NA
2005-07-01,118.7
2005-08-01,NA
2005-09-01,122.9
2005-10-01,NA
2005-11-01,120.2
2005-12-01,NA
2006-01-01,120.7
2006-02-01,NA
2006-03-01,120.8
2006-04-01,NA
2006-05-01,122.8
2006-06-01,NA
2006-07-01,124.2
2006-08-01,NA
2006-09-01,123.9
2006-10-01,NA
2006-11-01,121.5
2006-12-01,NA
2007-01-01,121.788
2007-02-01,NA
2007-03-01,123.98
2007-04-01,NA
2007-05-01,125.662
2007-06-01,NA
2007-07-01,126.905
2007-08-01,NA
2007-09-01,128.071
2007-10-01,NA
2007-11-01,128.559
2007-12-01,NA
2008-01-01,129.45
2008-02-01,NA
2008-03-01,131.088
2008-04-01,NA
2008-05-01,133.041
2008-06-01,NA
2008-07-01,135.901
2008-08-01,NA
2008-09-01,135.929
2008-10-01,NA
2008-11-01,130.837
2008-12-01,NA
2009-01-01,129.039
2009-02-01,NA
2009-03-01,129.674
2009-04-01,NA
2009-05-01,130.257
2009-06-01,NA
2009-07-01,132.176
2009-08-01,NA
2009-09-01,132.877
2009-10-01,NA
2009-11-01,133.08
2009-12-01,NA
2010-01-01,133.629
2010-02-01,NA
2010-03-01,134.338
2010-04-01,NA
2010-05-01,134.394
2010-06-01,NA
2010-07-01,133.924
2010-08-01,NA
2010-09-01,134.903
2010-10-01,NA
2010-11-01,134.635
2010-12-01,NA
2011-01-01,136.469
2011-02-01,NA
2011-03-01,138.397
2011-04-01,NA
2011-05-01,140.709
2011-06-01,NA
2011-07-01,140.374
2011-08-01,NA
2011-09-01,140.184
2011-10-01,NA
2011-11-01,139.685
2011-12-01,NA
2012-01-01,139.954
2012-02-01,NA
2012-03-01,142.208
2012-04-01,NA
2012-05-01,141.94
2012-06-01,NA
2012-07-01,141.109
2012-08-01,NA
2012-09-01,143.258
2012-10-01,NA
2012-11-01,141.602
2012-12-01,NA
2013-01-01,141.343
2013-02-01,NA
2013-03-01,143.287
2013-04-01,NA
2013-05-01,142.858
2013-06-01,NA
2013-07-01,143.948
2013-08-01,NA
2013-09-01,144.973
2013-10-01,NA
2013-11-01,143.892
2013-12-01,NA
2014-01-01,144.234
2014-02-01,NA
2014-03-01,145.251
2014-04-01,NA
2014-05-01,146.184
2014-06-01,NA
2014-07-01,145.761
2014-08-01,NA
2014-09-01,145.698
2014-10-01,NA
2014-11-01,144.017
2014-12-01,NA
2015-01-01,141.658
2015-02-01,NA
2015-03-01,143.535
2015-04-01,NA
2015-05-01,144.564
2015-06-01,NA
2015-07-01,143.646
2015-08-01,NA
2015-09-01,144.693
2015-10-01,NA
2015-11-01,143.627
2015-12-01,NA
2016-01-01,143.132
2016-02-01,NA
2016-03-01,143.825
2016-04-01,NA
2016-05-01,145.201
2016-06-01,NA
2016-07-01,145.075
2016-08-01,NA
2016-09-01,144.88
2016-10-01,NA
2016-11-01,145.131
2016-12-01,NA
2017-01-01,145.776
2017-02-01,NA
2017-03-01,145.862
2017-04-01,NA
2017-05-01,146.075
2017-06-01,NA
2017-07-01,145.962
2017-08-01,NA
2017-09-01,147.326
2017-10-01,NA
2017-11-01,147.103
