"Date","APU0000FC2101"
1998-01-01,2.643
1998-02-01,2.663
1998-03-01,2.673
1998-04-01,2.644
1998-05-01,2.658
1998-06-01,2.615
1998-07-01,2.64
1998-08-01,2.687
1998-09-01,2.664
1998-10-01,2.641
1998-11-01,2.666
1998-12-01,2.694
1999-01-01,2.654
1999-02-01,2.668
1999-03-01,2.688
1999-04-01,2.71
1999-05-01,2.67
1999-06-01,2.701
1999-07-01,2.724
1999-08-01,2.712
1999-09-01,2.745
1999-10-01,2.786
1999-11-01,2.75
1999-12-01,2.739
2000-01-01,2.748
2000-02-01,2.821
2000-03-01,2.839
2000-04-01,2.867
2000-05-01,2.875
2000-06-01,2.902
2000-07-01,2.932
2000-08-01,2.896
2000-09-01,2.937
2000-10-01,2.917
2000-11-01,2.882
2000-12-01,2.925
2001-01-01,3.106
2001-02-01,3.161
2001-03-01,3.165
2001-04-01,3.191
2001-05-01,3.17
2001-06-01,3.141
2001-07-01,3.166
2001-08-01,3.191
2001-09-01,3.159
2001-10-01,3.149
2001-11-01,3.191
2001-12-01,3.125
2002-01-01,3.094
2002-02-01,3.167
2002-03-01,3.154
2002-04-01,3.214
2002-05-01,3.226
2002-06-01,3.138
2002-07-01,3.073
2002-08-01,3.097
2002-09-01,3.116
2002-10-01,3.11
2002-11-01,3.075
2002-12-01,3.175
2003-01-01,3.226
2003-02-01,3.216
2003-03-01,3.306
2003-04-01,3.376
2003-05-01,3.365
2003-06-01,3.319
2003-07-01,3.398
2003-08-01,3.426
2003-09-01,3.413
2003-10-01,3.59
2003-11-01,3.979
2003-12-01,3.994
2004-01-01,3.878
2004-02-01,3.896
2004-03-01,3.743
2004-04-01,3.711
2004-05-01,3.74
2004-06-01,3.797
2004-07-01,3.844
2004-08-01,3.772
2004-09-01,3.78
2004-10-01,3.792
2004-11-01,3.832
2004-12-01,3.84
2005-01-01,3.784
2005-02-01,3.908
2005-03-01,3.951
2005-04-01,3.799
2005-05-01,3.809
2005-06-01,3.783
2005-07-01,3.67
2005-08-01,3.619
2005-09-01,3.6
2005-10-01,3.535
2005-11-01,3.684
2005-12-01,3.734
2006-01-01,3.681
2006-02-01,3.742
