"Date","CWUR0000SASL5"
1957-03-01,22.6
1957-04-01,NA
1957-05-01,NA
1957-06-01,22.9
1957-07-01,NA
1957-08-01,NA
1957-09-01,23.1
1957-10-01,NA
1957-11-01,NA
1957-12-01,23.3
1958-01-01,NA
1958-02-01,NA
1958-03-01,23.6
1958-04-01,NA
1958-05-01,NA
1958-06-01,23.7
1958-07-01,NA
1958-08-01,NA
1958-09-01,23.9
1958-10-01,NA
1958-11-01,NA
1958-12-01,23.9
1959-01-01,NA
1959-02-01,NA
1959-03-01,24.1
1959-04-01,NA
1959-05-01,NA
1959-06-01,24.3
1959-07-01,NA
1959-08-01,NA
1959-09-01,24.6
1959-10-01,NA
1959-11-01,NA
1959-12-01,24.7
1960-01-01,NA
1960-02-01,NA
1960-03-01,25
1960-04-01,NA
1960-05-01,NA
1960-06-01,25.1
1960-07-01,NA
1960-08-01,NA
1960-09-01,25.3
1960-10-01,NA
1960-11-01,NA
1960-12-01,25.4
1961-01-01,NA
1961-02-01,NA
1961-03-01,25.5
1961-04-01,NA
1961-05-01,NA
1961-06-01,25.6
1961-07-01,NA
1961-08-01,NA
1961-09-01,25.7
1961-10-01,NA
1961-11-01,NA
1961-12-01,25.7
1962-01-01,NA
1962-02-01,NA
1962-03-01,25.9
1962-04-01,NA
1962-05-01,NA
1962-06-01,26
1962-07-01,NA
1962-08-01,NA
1962-09-01,26.1
1962-10-01,NA
1962-11-01,NA
1962-12-01,26.1
1963-01-01,NA
1963-02-01,NA
1963-03-01,26.3
1963-04-01,NA
1963-05-01,NA
1963-06-01,26.4
1963-07-01,NA
1963-08-01,NA
1963-09-01,26.5
1963-10-01,NA
1963-11-01,NA
1963-12-01,26.7
1964-01-01,NA
1964-02-01,NA
1964-03-01,26.8
1964-04-01,NA
1964-05-01,NA
1964-06-01,26.9
1964-07-01,NA
1964-08-01,NA
1964-09-01,27
1964-10-01,NA
1964-11-01,NA
1964-12-01,27.2
1965-01-01,NA
1965-02-01,NA
1965-03-01,27.3
1965-04-01,NA
1965-05-01,NA
1965-06-01,27.5
1965-07-01,NA
1965-08-01,NA
1965-09-01,27.7
1965-10-01,NA
1965-11-01,NA
1965-12-01,27.8
1966-01-01,NA
1966-02-01,NA
1966-03-01,28
1966-04-01,NA
1966-05-01,NA
1966-06-01,28.4
1966-07-01,NA
1966-08-01,NA
1966-09-01,28.8
1966-10-01,NA
1966-11-01,NA
1966-12-01,29.1
1967-01-01,NA
1967-02-01,NA
1967-03-01,29.2
1967-04-01,NA
1967-05-01,NA
1967-06-01,29.5
1967-07-01,NA
1967-08-01,NA
1967-09-01,29.7
1967-10-01,NA
1967-11-01,NA
1967-12-01,30
1968-01-01,NA
1968-02-01,NA
1968-03-01,30.4
1968-04-01,NA
1968-05-01,NA
1968-06-01,30.9
1968-07-01,NA
1968-08-01,NA
1968-09-01,31.4
1968-10-01,NA
1968-11-01,NA
1968-12-01,31.9
1969-01-01,NA
1969-02-01,NA
1969-03-01,32.4
1969-04-01,NA
1969-05-01,NA
1969-06-01,32.9
1969-07-01,NA
1969-08-01,33.4
1969-09-01,33.6
1969-10-01,33.7
1969-11-01,33.9
1969-12-01,34.2
1970-01-01,34.5
1970-02-01,34.7
1970-03-01,35.1
1970-04-01,35.4
1970-05-01,35.5
1970-06-01,35.7
1970-07-01,35.9
1970-08-01,36.1
1970-09-01,36.3
1970-10-01,36.6
1970-11-01,36.8
1970-12-01,37
1971-01-01,37.2
1971-02-01,37.2
1971-03-01,37.2
1971-04-01,37.2
1971-05-01,37.4
1971-06-01,37.6
1971-07-01,37.8
1971-08-01,37.9
1971-09-01,38.1
1971-10-01,38.1
1971-11-01,38.3
1971-12-01,38.4
1972-01-01,38.6
1972-02-01,38.7
1972-03-01,38.8
1972-04-01,38.9
1972-05-01,39
1972-06-01,39.1
1972-07-01,39.2
1972-08-01,39.3
1972-09-01,39.4
1972-10-01,39.5
1972-11-01,39.6
1972-12-01,39.7
1973-01-01,39.8
1973-02-01,40
1973-03-01,40.1
1973-04-01,40.2
1973-05-01,40.4
1973-06-01,40.5
1973-07-01,40.6
1973-08-01,40.9
1973-09-01,41.3
1973-10-01,41.7
1973-11-01,42
1973-12-01,42.2
1974-01-01,42.5
1974-02-01,42.8
1974-03-01,43.2
1974-04-01,43.4
1974-05-01,43.9
1974-06-01,44.3
1974-07-01,44.7
1974-08-01,45.1
1974-09-01,45.6
1974-10-01,46.1
1974-11-01,46.5
1974-12-01,46.9
1975-01-01,47.2
1975-02-01,47.5
1975-03-01,47.7
1975-04-01,47.9
1975-05-01,48
1975-06-01,48.3
1975-07-01,48.5
1975-08-01,48.7
1975-09-01,49.3
1975-10-01,49.5
1975-11-01,50.2
1975-12-01,50.5
1976-01-01,51
1976-02-01,51.3
1976-03-01,51.6
1976-04-01,51.7
1976-05-01,51.9
1976-06-01,52.2
1976-07-01,52.6
1976-08-01,52.8
1976-09-01,53.3
1976-10-01,53.5
1976-11-01,53.7
1976-12-01,53.9
1977-01-01,54.4
1977-02-01,54.7
1977-03-01,55.1
1977-04-01,55.4
1977-05-01,55.7
1977-06-01,56.1
1977-07-01,56.6
1977-08-01,56.8
1977-09-01,57.2
1977-10-01,57.5
1977-11-01,57.8
1977-12-01,58.1
1978-01-01,58.5
1978-02-01,58.9
1978-03-01,59.3
1978-04-01,59.8
1978-05-01,60.2
1978-06-01,60.8
1978-07-01,61.3
1978-08-01,61.7
1978-09-01,62.4
1978-10-01,62.9
1978-11-01,63.2
1978-12-01,63.4
1979-01-01,64
1979-02-01,64.7
1979-03-01,65.2
1979-04-01,65.8
1979-05-01,66.6
1979-06-01,67.4
1979-07-01,68.2
1979-08-01,69.1
1979-09-01,69.9
1979-10-01,70.8
1979-11-01,71.6
1979-12-01,72.5
1980-01-01,73.7
1980-02-01,74.7
1980-03-01,76.1
1980-04-01,77.3
1980-05-01,78.6
1980-06-01,80.2
1980-07-01,79.5
1980-08-01,79.5
1980-09-01,80.1
1980-10-01,81.1
1980-11-01,82
1980-12-01,83.2
1981-01-01,84.1
1981-02-01,84.7
1981-03-01,85.4
1981-04-01,86.2
1981-05-01,87.5
1981-06-01,88.7
1981-07-01,90.4
1981-08-01,91.3
1981-09-01,92.9
1981-10-01,93.2
1981-11-01,93.7
1981-12-01,94.1
1982-01-01,94.6
1982-02-01,94.9
1982-03-01,94.9
1982-04-01,95.9
1982-05-01,96.9
1982-06-01,97.9
1982-07-01,98.5
1982-08-01,99.1
1982-09-01,99.1
1982-10-01,99.3
1982-11-01,98.6
1982-12-01,97.5
1983-01-01,97.6
1983-02-01,97.8
1983-03-01,98
1983-04-01,98.3
1983-05-01,98.5
1983-06-01,98.9
1983-07-01,99.2
1983-08-01,99.8
1983-09-01,100.4
1983-10-01,100.8
1983-11-01,100.8
1983-12-01,100.8
1984-01-01,101.1
1984-02-01,101.1
1984-03-01,101
1984-04-01,101
1984-05-01,102.1
1984-06-01,102.6
1984-07-01,103.5
1984-08-01,105.3
1984-09-01,106.2
1984-10-01,106
1984-11-01,105.8
1984-12-01,106
1985-01-01,106.4
1985-02-01,106.8
1985-03-01,107.1
1985-04-01,107.5
1985-05-01,108.3
1985-06-01,109
1985-07-01,109.6
1985-08-01,110
1985-09-01,110.3
1985-10-01,110.6
1985-11-01,110.9
1985-12-01,111.1
1986-01-01,111.7
1986-02-01,112
1986-03-01,112.5
1986-04-01,113
1986-05-01,113.3
1986-06-01,114.2
1986-07-01,114.5
1986-08-01,114.8
1986-09-01,115.2
1986-10-01,115.3
1986-11-01,115.3
1986-12-01,115.4
1987-01-01,115.9
1987-02-01,116.2
1987-03-01,116.5
1987-04-01,116.9
1987-05-01,117.4
1987-06-01,118.1
1987-07-01,118.5
1987-08-01,119.2
1987-09-01,119.7
1987-10-01,119.9
1987-11-01,119.9
1987-12-01,120.1
1988-01-01,120.7
1988-02-01,121.1
1988-03-01,121.4
1988-04-01,121.7
1988-05-01,122.2
1988-06-01,123.1
1988-07-01,123.6
1988-08-01,124.3
1988-09-01,124.9
1988-10-01,125.2
1988-11-01,125.3
1988-12-01,125.6
1989-01-01,126.3
1989-02-01,126.7
1989-03-01,127.2
1989-04-01,127.4
1989-05-01,128
1989-06-01,128.9
1989-07-01,129.7
1989-08-01,130.1
