"Date","CUUR0000SEFP01"
1967-01-01,27.2
1967-02-01,27.4
1967-03-01,26.9
1967-04-01,26.6
1967-05-01,26.6
1967-06-01,26.5
1967-07-01,26.4
1967-08-01,26.5
1967-09-01,26.4
1967-10-01,26.3
1967-11-01,26.4
1967-12-01,26.3
1968-01-01,26.3
1968-02-01,26.3
1968-03-01,26.2
1968-04-01,26.3
1968-05-01,26.5
1968-06-01,26.6
1968-07-01,26.6
1968-08-01,26.5
1968-09-01,26.5
1968-10-01,26.6
1968-11-01,26.7
1968-12-01,26.7
1969-01-01,26.5
1969-02-01,26.5
1969-03-01,26.6
1969-04-01,26.6
1969-05-01,26.6
1969-06-01,26.7
1969-07-01,26.6
1969-08-01,26.7
1969-09-01,26.7
1969-10-01,26.8
1969-11-01,27.6
1969-12-01,28.3
1970-01-01,29
1970-02-01,29.6
1970-03-01,30.3
1970-04-01,30.9
1970-05-01,31.3
1970-06-01,31.8
1970-07-01,32.2
1970-08-01,32.6
1970-09-01,32.9
1970-10-01,33.2
1970-11-01,33.4
1970-12-01,33.4
1971-01-01,33.3
1971-02-01,33.2
1971-03-01,32.9
1971-04-01,32.9
1971-05-01,32.7
1971-06-01,32.8
1971-07-01,32.6
1971-08-01,32.7
1971-09-01,32.1
1971-10-01,32.2
1971-11-01,32.1
1971-12-01,32
1972-01-01,31.9
1972-02-01,32
1972-03-01,31.9
1972-04-01,31.9
1972-05-01,31.9
1972-06-01,31.7
1972-07-01,31.6
1972-08-01,31.8
1972-09-01,32.3
1972-10-01,32.6
1972-11-01,32.7
1972-12-01,32.9
1973-01-01,33.1
1973-02-01,33.9
1973-03-01,34.2
1973-04-01,34.5
1973-05-01,35.4
1973-06-01,36.3
1973-07-01,36.5
1973-08-01,36.6
1973-09-01,36.6
1973-10-01,36.9
1973-11-01,37.2
1973-12-01,37.4
1974-01-01,38.2
1974-02-01,38.8
1974-03-01,39.6
1974-04-01,40.6
1974-05-01,41.5
1974-06-01,42.6
1974-07-01,43.3
1974-08-01,44.7
1974-09-01,45.4
1974-10-01,45.6
1974-11-01,45.3
1974-12-01,45.1
1975-01-01,45
1975-02-01,44.9
1975-03-01,44.9
1975-04-01,44.9
1975-05-01,44.4
1975-06-01,44.4
1975-07-01,44.4
1975-08-01,44.7
1975-09-01,46.3
1975-10-01,49.2
1975-11-01,51.4
1975-12-01,52.2
1976-01-01,52.8
1976-02-01,53.3
1976-03-01,54
1976-04-01,56.3
1976-05-01,58.7
1976-06-01,61.3
1976-07-01,65
1976-08-01,68.2
1976-09-01,70.2
1976-10-01,71.4
1976-11-01,74.7
1976-12-01,79.1
1977-01-01,83.9
1977-02-01,91.5
1977-03-01,97.4
1977-04-01,108.8
1977-05-01,119.3
1977-06-01,125.5
1977-07-01,125.1
1977-08-01,124.2
1977-09-01,123
1977-10-01,121.3
1977-11-01,118.3
1977-12-01,116.8
1978-01-01,116.3
1978-02-01,115.8
1978-03-01,114.7
1978-04-01,112
1978-05-01,110.1
1978-06-01,107.8
1978-07-01,106.4
1978-08-01,103.4
1978-09-01,101.2
1978-10-01,100
1978-11-01,99.6
1978-12-01,99.1
1979-01-01,97.9
1979-02-01,96.4
1979-03-01,94.9
1979-04-01,94
1979-05-01,93.5
1979-06-01,94.4
1979-07-01,99.1
1979-08-01,105.8
1979-09-01,109.2
1979-10-01,111
1979-11-01,112.3
1979-12-01,113.3
1980-01-01,114.2
1980-02-01,114.3
1980-03-01,113.9
1980-04-01,113.3
1980-05-01,113.4
1980-06-01,113
1980-07-01,113.5
1980-08-01,113.3
1980-09-01,111.6
1980-10-01,108.5
1980-11-01,106.4
1980-12-01,103.9
1981-01-01,102.4
1981-02-01,98.9
1981-03-01,97.5
1981-04-01,97
1981-05-01,96.6
1981-06-01,95.9
1981-07-01,95.5
1981-08-01,94.6
1981-09-01,94.2
1981-10-01,93.8
1981-11-01,93.6
1981-12-01,94.2
1982-01-01,96.1
1982-02-01,98.5
1982-03-01,98.9
1982-04-01,99.3
1982-05-01,99.4
1982-06-01,98.8
1982-07-01,98.8
1982-08-01,98.9
1982-09-01,98.3
1982-10-01,98.3
1982-11-01,98.1
1982-12-01,98.6
1983-01-01,99.4
1983-02-01,99.6
1983-03-01,99.2
1983-04-01,99
1983-05-01,99.3
1983-06-01,99.1
1983-07-01,98.7
1983-08-01,98.7
1983-09-01,97.8
1983-10-01,98
1983-11-01,98.7
1983-12-01,98.3
1984-01-01,99.4
1984-02-01,100.6
1984-03-01,101.4
1984-04-01,101.9
1984-05-01,102
1984-06-01,102.6
1984-07-01,103.3
1984-08-01,103.9
1984-09-01,103.9
1984-10-01,104.5
1984-11-01,104.4
1984-12-01,104.6
1985-01-01,104.5
1985-02-01,105.2
1985-03-01,105.6
1985-04-01,105.6
1985-05-01,105.9
1985-06-01,106.1
1985-07-01,105.9
1985-08-01,105.5
1985-09-01,105.4
1985-10-01,105.6
1985-11-01,105.2
1985-12-01,105
1986-01-01,111.9
1986-02-01,135.2
1986-03-01,140.7
1986-04-01,140.7
1986-05-01,139
1986-06-01,138.1
1986-07-01,136.7
1986-08-01,133.2
1986-09-01,129.6
1986-10-01,129
1986-11-01,129.3
1986-12-01,128.9
1987-01-01,128.2
1987-02-01,124.8
1987-03-01,121.1
1987-04-01,118.4
1987-05-01,116.2
1987-06-01,114.4
1987-07-01,113.6
1987-08-01,112.6
1987-09-01,112.2
1987-10-01,112.1
1987-11-01,110
1987-12-01,110.5
1988-01-01,112.4
1988-02-01,113.4
1988-03-01,113.1
1988-04-01,114.1
1988-05-01,114.3
1988-06-01,114.6
1988-07-01,115.5
1988-08-01,116.3
1988-09-01,116.3
1988-10-01,116
1988-11-01,116.6
1988-12-01,116.9
1989-01-01,118
1989-02-01,120.4
1989-03-01,121.2
1989-04-01,122.4
1989-05-01,123.3
1989-06-01,123
1989-07-01,124.3
1989-08-01,122.8
1989-09-01,119.5
1989-10-01,118.2
1989-11-01,116.1
1989-12-01,115.7
1990-01-01,115.8
1990-02-01,116
1990-03-01,115.1
1990-04-01,114.9
1990-05-01,116.9
1990-06-01,117.7
1990-07-01,119.8
1990-08-01,119.7
1990-09-01,119.6
1990-10-01,119.1
1990-11-01,117.8
1990-12-01,117.4
1991-01-01,118.1
1991-02-01,118.4
1991-03-01,117.2
1991-04-01,117.8
1991-05-01,116.9
1991-06-01,116.5
1991-07-01,115.4
1991-08-01,113.7
1991-09-01,112.6
1991-10-01,112.7
1991-11-01,112.4
1991-12-01,111.3
1992-01-01,112.8
1992-02-01,113.5
1992-03-01,112.6
1992-04-01,112.6
1992-05-01,112.7
1992-06-01,112.8
1992-07-01,112.3
1992-08-01,110.9
1992-09-01,108.8
1992-10-01,108.2
1992-11-01,106.3
1992-12-01,105.4
1993-01-01,105.3
1993-02-01,107.3
1993-03-01,108.2
1993-04-01,110
1993-05-01,110.9
1993-06-01,111.3
1993-07-01,111.7
1993-08-01,110.8
1993-09-01,110.2
1993-10-01,110.5
1993-11-01,110
1993-12-01,111.1
1994-01-01,112.1
1994-02-01,112.4
1994-03-01,111.9
1994-04-01,112.5
1994-05-01,113
1994-06-01,115.5
1994-07-01,141.4
1994-08-01,172.5
1994-09-01,172.5
1994-10-01,174.1
1994-11-01,174.6
1994-12-01,172.7
1995-01-01,172.9
1995-02-01,169
1995-03-01,166.2
1995-04-01,164.6
1995-05-01,163.9
1995-06-01,163
1995-07-01,162.4
1995-08-01,163.1
1995-09-01,161
1995-10-01,158.4
1995-11-01,157
1995-12-01,156.1
1996-01-01,152.8
1996-02-01,152.9
1996-03-01,152.5
1996-04-01,151.3
1996-05-01,150.8
1996-06-01,149.2
1996-07-01,147.7
1996-08-01,148.1
1996-09-01,147.5
1996-10-01,146.2
1996-11-01,145.3
1996-12-01,145.6
1997-01-01,145.9
1997-02-01,146.6
1997-03-01,152.3
1997-04-01,162.7
1997-05-01,167.2
1997-06-01,175.5
1997-07-01,181
1997-08-01,182.1
1997-09-01,181.1
1997-10-01,177.8
1997-11-01,173.8
1997-12-01,170.2
1998-01-01,169.8
1998-02-01,169.1
1998-03-01,169.8
1998-04-01,168.8
1998-05-01,167.1
1998-06-01,163.9
1998-07-01,163.4
1998-08-01,162
1998-09-01,159.2
1998-10-01,156.6
1998-11-01,156.3
1998-12-01,155.2
1999-01-01,155.4
1999-02-01,155.2
1999-03-01,155.4
1999-04-01,155.2
1999-05-01,156.2
1999-06-01,154.7
1999-07-01,155
1999-08-01,155.5
1999-09-01,154.9
1999-10-01,154.5
1999-11-01,152.4
1999-12-01,152.6
2000-01-01,157
2000-02-01,158.8
2000-03-01,157.4
2000-04-01,156.6
2000-05-01,155.2
2000-06-01,154.6
2000-07-01,154.1
2000-08-01,154
2000-09-01,151.8
2000-10-01,151.2
2000-11-01,149.5
2000-12-01,147.7
2001-01-01,149.5
2001-02-01,149.1
2001-03-01,149.7
2001-04-01,147.3
2001-05-01,147.3
2001-06-01,147.7
2001-07-01,146.9
2001-08-01,146.1
2001-09-01,145.6
2001-10-01,145.1
2001-11-01,143.9
2001-12-01,142.6
2002-01-01,142.6
2002-02-01,143.3
2002-03-01,142
2002-04-01,143.6
2002-05-01,144.3
2002-06-01,142.2
2002-07-01,143.5
2002-08-01,142.4
2002-09-01,142
2002-10-01,141.5
2002-11-01,141.4
2002-12-01,142.2
2003-01-01,144.9
2003-02-01,143.5
2003-03-01,145
2003-04-01,146.5
2003-05-01,144.5
2003-06-01,146.3
2003-07-01,146.3
2003-08-01,146.8
2003-09-01,145.8
2003-10-01,144
2003-11-01,142.4
2003-12-01,143.2
2004-01-01,144.1
2004-02-01,145
2004-03-01,145.7
2004-04-01,145.7
2004-05-01,144.6
2004-06-01,143.1
2004-07-01,146.3
2004-08-01,147.1
2004-09-01,146.4
2004-10-01,145.7
2004-11-01,144.7
2004-12-01,145.5
2005-01-01,151.7
2005-02-01,153
2005-03-01,154.3
2005-04-01,161.4
2005-05-01,162.1
2005-06-01,165.2
2005-07-01,165.2
2005-08-01,166.4
2005-09-01,163.6
2005-10-01,164.8
2005-11-01,164.7
2005-12-01,162.3
2006-01-01,163.1
2006-02-01,163.4
2006-03-01,166.7
2006-04-01,165.9
2006-05-01,167.4
2006-06-01,165.6
2006-07-01,164.7
2006-08-01,166.1
2006-09-01,165.2
2006-10-01,165.6
2006-11-01,163.8
2006-12-01,165.8
2007-01-01,170.396
2007-02-01,172.937
2007-03-01,174.184
2007-04-01,174.089
2007-05-01,176.457
2007-06-01,176.599
2007-07-01,179.294
2007-08-01,180.346
2007-09-01,176.411
2007-10-01,177.039
2007-11-01,174.926
2007-12-01,175.083
2008-01-01,179.587
2008-02-01,178.046
2008-03-01,182.611
2008-04-01,189.526
2008-05-01,191.405
2008-06-01,191.063
2008-07-01,193.108
2008-08-01,193.512
2008-09-01,192.765
2008-10-01,191.764
2008-11-01,187.005
2008-12-01,185.929
2009-01-01,187.897
2009-02-01,187.905
2009-03-01,187.129
2009-04-01,185.708
2009-05-01,185.496
2009-06-01,187.607
2009-07-01,187.494
2009-08-01,188.421
2009-09-01,187.802
2009-10-01,186.398
2009-11-01,183.148
2009-12-01,180.802
2010-01-01,185.545
2010-02-01,184.667
2010-03-01,184.41
2010-04-01,183.769
2010-05-01,184.279
2010-06-01,184.818
2010-07-01,184.188
2010-08-01,186.975
2010-09-01,190.584
2010-10-01,192.015
2010-11-01,190.389
2010-12-01,185.379
2011-01-01,194.634
2011-02-01,194.251
2011-03-01,201.836
2011-04-01,209.089
2011-05-01,213.713
2011-06-01,217.308
2011-07-01,222.232
2011-08-01,225.176
2011-09-01,221.172
2011-10-01,222.358
2011-11-01,222.881
2011-12-01,221.236
2012-01-01,224.649
2012-02-01,221.665
2012-03-01,221.68
2012-04-01,221.121
2012-05-01,219.401
2012-06-01,216.772
2012-07-01,216.003
2012-08-01,216.628
2012-09-01,214.11
2012-10-01,213.78
2012-11-01,211.762
2012-12-01,211.723
2013-01-01,213.34
2013-02-01,212.574
2013-03-01,210.647
2013-04-01,207.282
2013-05-01,207.377
2013-06-01,205.113
2013-07-01,205.149
2013-08-01,202.092
2013-09-01,199.627
2013-10-01,199.74
2013-11-01,197.884
2013-12-01,195.725
2014-01-01,197.19
2014-02-01,195.845
2014-03-01,197.959
2014-04-01,197.948
2014-05-01,199.082
2014-06-01,199.625
2014-07-01,202.128
2014-08-01,205.553
2014-09-01,205.052
2014-10-01,204.798
2014-11-01,203.858
2014-12-01,202.772
2015-01-01,209.121
2015-02-01,207.111
2015-03-01,206.962
2015-04-01,209.204
2015-05-01,207.532
2015-06-01,204.792
2015-07-01,207.826
2015-08-01,206.736
2015-09-01,204.247
2015-10-01,203.5
2015-11-01,199.722
2015-12-01,199.729
2016-01-01,203.038
2016-02-01,201.597
2016-03-01,200.182
2016-04-01,200.322
2016-05-01,202.21
2016-06-01,200.29
2016-07-01,199.61
2016-08-01,198.872
2016-09-01,198.458
2016-10-01,197.398
2016-11-01,196.144
2016-12-01,193.557
2017-01-01,197.848
2017-02-01,199.984
2017-03-01,200.092
2017-04-01,201.394
2017-05-01,203.837
2017-06-01,200.824
2017-07-01,200.233
2017-08-01,197.426
2017-09-01,199.151
2017-10-01,198.227
2017-11-01,193.95
2017-12-01,196.902
2018-01-01,195.168
2018-02-01,194.747
2018-03-01,196.846
2018-04-01,194.768
2018-05-01,196.21
2018-06-01,195.315
2018-07-01,195.339
2018-08-01,195.593
2018-09-01,194.783
2018-10-01,194.807
2018-11-01,191.876
2018-12-01,193.056
2019-01-01,193.793
2019-02-01,193.654
2019-03-01,193.567
2019-04-01,193.26
2019-05-01,193.651
2019-06-01,195.992
2019-07-01,193.813
2019-08-01,195.274
2019-09-01,192.726
2019-10-01,191.857
2019-11-01,192.688
2019-12-01,188.564
2020-01-01,190.995
2020-02-01,191.996
2020-03-01,194.066
2020-04-01,196.12
2020-05-01,194.799
2020-06-01,197.66
2020-07-01,195.196
2020-08-01,195.673
2020-09-01,194.133
2020-10-01,196.077
2020-11-01,190.378
2020-12-01,193.029
2021-01-01,195.758
2021-02-01,195.501
2021-03-01,195.236
2021-04-01,196.026
2021-05-01,197.575
2021-06-01,198.558
2021-07-01,196.243
2021-08-01,199.521
2021-09-01,201.807
2021-10-01,205.241
2021-11-01,204.578
2021-12-01,205.111
2022-01-01,212.671
2022-02-01,215.997
2022-03-01,217.111
2022-04-01,222.449
2022-05-01,227.737
2022-06-01,229.899
2022-07-01,236.108
2022-08-01,234.668
2022-09-01,233.462
2022-10-01,235.623
2022-11-01,234.445
2022-12-01,234.473
2023-01-01,239.827
2023-02-01,240.617
2023-03-01,239.478
2023-04-01,237.183
2023-05-01,238.576
2023-06-01,237.471
2023-07-01,238.433
2023-08-01,236.862
2023-09-01,237.098
2023-10-01,236.496
2023-11-01,234.11
