"Date","APU0000704412"
1980-01-01,1.416
1980-02-01,1.425
1980-03-01,1.358
1980-04-01,1.342
1980-05-01,1.302
1980-06-01,1.312
1980-07-01,1.41
1980-08-01,1.466
1980-09-01,1.524
1980-10-01,1.529
1980-11-01,1.546
1980-12-01,1.554
1981-01-01,1.56
1981-02-01,1.517
1981-03-01,1.509
1981-04-01,1.503
1981-05-01,1.5
1981-06-01,1.523
1981-07-01,1.627
1981-08-01,1.635
1981-09-01,1.607
1981-10-01,1.629
1981-11-01,1.58
1981-12-01,1.603
1982-01-01,1.587
1982-02-01,1.603
1982-03-01,1.615
1982-04-01,1.654
1982-05-01,1.69
1982-06-01,1.76
1982-07-01,1.825
1982-08-01,1.805
1982-09-01,1.819
1982-10-01,1.813
1982-11-01,1.798
1982-12-01,1.75
1983-01-01,1.78
1983-02-01,1.793
1983-03-01,1.765
1983-04-01,1.693
1983-05-01,1.686
1983-06-01,1.704
1983-07-01,1.641
1983-08-01,1.682
1983-09-01,1.655
1983-10-01,1.596
1983-11-01,1.57
1983-12-01,1.52
1984-01-01,1.672
1984-02-01,1.67
1984-03-01,1.649
1984-04-01,1.663
1984-05-01,1.606
1984-06-01,1.635
1984-07-01,1.655
1984-08-01,1.727
1984-09-01,1.656
1984-10-01,1.624
1984-11-01,1.603
1984-12-01,1.598
1985-01-01,1.676
1985-02-01,1.633
1985-03-01,1.605
1985-04-01,1.549
1985-05-01,1.543
1985-06-01,1.502
1985-07-01,1.619
1985-08-01,1.58
1985-09-01,1.535
1985-10-01,1.577
1985-11-01,1.611
1985-12-01,1.654
1986-01-01,1.659
1986-02-01,1.654
1986-03-01,1.654
1986-04-01,1.641
1986-05-01,1.653
1986-06-01,1.672
1986-07-01,1.897
1986-08-01,1.888
1986-09-01,1.889
1986-10-01,1.892
1986-11-01,1.874
1986-12-01,1.908
1987-01-01,1.895
1987-02-01,1.822
1987-03-01,1.806
1987-04-01,1.89
1987-05-01,1.922
1987-06-01,1.947
1987-07-01,2.023
