"Date","APU0000FN1102"
2018-04-01,0.336
2018-05-01,0.326
2018-06-01,0.327
2018-07-01,0.334
2018-08-01,0.343
2018-09-01,0.352
2018-10-01,0.366
2018-11-01,0.349
2018-12-01,0.333
2019-01-01,0.347
2019-02-01,0.354
2019-03-01,0.363
2019-04-01,0.349
2019-05-01,0.351
2019-06-01,0.341
2019-07-01,0.336
2019-08-01,0.338
2019-09-01,0.345
2019-10-01,0.347
2019-11-01,0.344
2019-12-01,0.345
2020-01-01,0.361
2020-02-01,0.361
2020-03-01,0.373
2020-04-01,0.381
2020-05-01,0.373
2020-06-01,0.398
2020-07-01,0.385
2020-08-01,0.392
2020-09-01,0.397
2020-10-01,0.4
2020-11-01,0.394
2020-12-01,0.394
2021-01-01,0.411
2021-02-01,0.402
2021-03-01,0.407
2021-04-01,0.397
2021-05-01,0.387
2021-06-01,0.396
2021-07-01,0.399
2021-08-01,0.404
2021-09-01,0.419
2021-10-01,0.436
2021-11-01,0.431
2021-12-01,0.44
2022-01-01,0.449
2022-02-01,0.456
2022-03-01,0.478
2022-04-01,0.477
2022-05-01,0.473
2022-06-01,0.489
2022-07-01,0.506
2022-08-01,0.531
2022-09-01,0.514
2022-10-01,0.529
2022-11-01,0.526
2022-12-01,0.541
2023-01-01,0.544
2023-02-01,0.537
2023-03-01,0.559
2023-04-01,0.551
2023-05-01,0.537
2023-06-01,0.55
2023-07-01,0.551
2023-08-01,0.573
2023-09-01,0.554
2023-10-01,0.564
2023-11-01,0.551
