"Date","CUURA101SASL2RS"
1982-12-01,100
1983-01-01,100.8
1983-02-01,101
1983-03-01,101.7
1983-04-01,102.7
1983-05-01,102.7
1983-06-01,103
1983-07-01,103.5
1983-08-01,104.1
1983-09-01,105.4
1983-10-01,106
1983-11-01,106.6
1983-12-01,106.5
1984-01-01,108
1984-02-01,108.5
1984-03-01,109.4
1984-04-01,109.6
1984-05-01,109.7
1984-06-01,110.4
1984-07-01,111.3
1984-08-01,111.8
1984-09-01,112.8
1984-10-01,112.3
1984-11-01,113.3
1984-12-01,113.1
1985-01-01,113.2
1985-02-01,113.7
1985-03-01,114.5
1985-04-01,114.6
1985-05-01,114.7
1985-06-01,115.5
1985-07-01,115.5
1985-08-01,115.6
1985-09-01,116.2
1985-10-01,116
1985-11-01,116.8
1985-12-01,116.9
1986-01-01,118.2
1986-02-01,118.8
1986-03-01,119.1
1986-04-01,119.2
1986-05-01,119.1
1986-06-01,121
1986-07-01,120.9
1986-08-01,120.9
1986-09-01,121.9
1986-10-01,121.6
1986-11-01,121.8
1986-12-01,122.3
1987-01-01,122.5
1987-02-01,123.2
1987-03-01,123.4
1987-04-01,123.6
1987-05-01,123.9
1987-06-01,125.3
1987-07-01,125.9
1987-08-01,126.4
1987-09-01,127.2
1987-10-01,126.2
1987-11-01,126.6
1987-12-01,126.7
1988-01-01,127.3
1988-02-01,128
1988-03-01,127.2
1988-04-01,128
1988-05-01,128.5
1988-06-01,130.3
1988-07-01,130.9
1988-08-01,131.2
1988-09-01,132.3
1988-10-01,131.4
1988-11-01,131.8
1988-12-01,132.4
1989-01-01,133.8
1989-02-01,134.3
1989-03-01,134.9
1989-04-01,136
1989-05-01,136.3
1989-06-01,137.7
1989-07-01,138.1
1989-08-01,138.7
1989-09-01,139.5
1989-10-01,139.3
1989-11-01,139.3
1989-12-01,139.9
1990-01-01,142
1990-02-01,143.2
1990-03-01,143.8
1990-04-01,144.1
1990-05-01,144.1
1990-06-01,144.9
1990-07-01,145.2
1990-08-01,145.9
1990-09-01,147.9
1990-10-01,148
1990-11-01,148.5
1990-12-01,148.5
1991-01-01,151
1991-02-01,151.9
1991-03-01,151.7
1991-04-01,151.6
1991-05-01,152.3
1991-06-01,153.8
1991-07-01,154.2
1991-08-01,154.8
1991-09-01,156.2
1991-10-01,155.5
1991-11-01,156.2
1991-12-01,156.5
1992-01-01,158
1992-02-01,158.6
1992-03-01,158.7
1992-04-01,158.8
1992-05-01,159.3
1992-06-01,161.1
1992-07-01,161.9
1992-08-01,162.6
1992-09-01,163.3
1992-10-01,164.3
1992-11-01,164.7
1992-12-01,165.5
1993-01-01,166.6
1993-02-01,166.6
1993-03-01,166.7
1993-04-01,167.8
1993-05-01,168.7
1993-06-01,169.8
1993-07-01,170.3
1993-08-01,171
1993-09-01,171.3
1993-10-01,171
1993-11-01,170.9
1993-12-01,172
1994-01-01,172.3
1994-02-01,173.2
