"Date","CUUR0000SEFV05"
1997-12-01,100
1998-01-01,100.1
1998-02-01,100.4
1998-03-01,100.3
1998-04-01,100.6
1998-05-01,100.6
1998-06-01,101
1998-07-01,101.6
1998-08-01,102.3
1998-09-01,102.7
1998-10-01,102.7
1998-11-01,103.3
1998-12-01,103.3
1999-01-01,103.5
1999-02-01,103.7
1999-03-01,103.7
1999-04-01,104
1999-05-01,104.3
1999-06-01,104.4
1999-07-01,105.5
1999-08-01,105.8
1999-09-01,106.4
1999-10-01,106.8
1999-11-01,106.9
1999-12-01,106.9
2000-01-01,107.5
2000-02-01,107.9
2000-03-01,107.9
2000-04-01,108
2000-05-01,108.1
2000-06-01,108.1
2000-07-01,108.7
2000-08-01,109.3
2000-09-01,110
2000-10-01,110.5
2000-11-01,111
2000-12-01,111.1
2001-01-01,111.3
2001-02-01,111.4
2001-03-01,111.6
2001-04-01,111.8
2001-05-01,112.4
2001-06-01,112.6
2001-07-01,113.8
2001-08-01,114.3
2001-09-01,115.3
2001-10-01,115.4
2001-11-01,115.4
2001-12-01,115.5
2002-01-01,115.5
2002-02-01,115.8
2002-03-01,116.3
2002-04-01,116.9
2002-05-01,117.1
2002-06-01,117.6
2002-07-01,117.7
2002-08-01,118.1
2002-09-01,118.8
2002-10-01,119.1
2002-11-01,119.7
2002-12-01,119.8
2003-01-01,119.9
2003-02-01,120.2
2003-03-01,120.4
2003-04-01,120.4
2003-05-01,120.5
2003-06-01,121.2
2003-07-01,121.3
2003-08-01,121.4
2003-09-01,121.8
2003-10-01,122.3
2003-11-01,122.7
2003-12-01,122.9
2004-01-01,123.9
2004-02-01,124
2004-03-01,124.1
2004-04-01,124.7
2004-05-01,124.8
2004-06-01,124.8
2004-07-01,125.1
2004-08-01,125.4
2004-09-01,125.9
2004-10-01,126.8
2004-11-01,126.7
2004-12-01,127
2005-01-01,127.5
2005-02-01,128.7
2005-03-01,129.4
2005-04-01,129.6
2005-05-01,130.3
2005-06-01,131.6
2005-07-01,132
2005-08-01,132.6
2005-09-01,133.2
2005-10-01,133.5
2005-11-01,133.7
2005-12-01,133.7
2006-01-01,134.1
2006-02-01,134.7
2006-03-01,135.2
2006-04-01,135.8
2006-05-01,136
2006-06-01,136.3
2006-07-01,136.8
2006-08-01,137.3
2006-09-01,137.6
2006-10-01,138
2006-11-01,138.6
2006-12-01,139.1
2007-01-01,140.919
2007-02-01,141.626
2007-03-01,141.366
2007-04-01,143.155
2007-05-01,143.16
2007-06-01,143.157
2007-07-01,144.785
2007-08-01,145.376
2007-09-01,146.752
2007-10-01,146.074
2007-11-01,146.628
2007-12-01,145.814
2008-01-01,146.649
2008-02-01,148.385
2008-03-01,148.564
2008-04-01,148.667
2008-05-01,149.666
2008-06-01,149.873
2008-07-01,151.12
2008-08-01,151.133
2008-09-01,152.04
2008-10-01,153.544
2008-11-01,153.978
2008-12-01,154.062
2009-01-01,153.402
2009-02-01,154.726
2009-03-01,154.414
2009-04-01,155.099
2009-05-01,155.099
2009-06-01,155.841
2009-07-01,156.57
2009-08-01,156.697
2009-09-01,157.302
2009-10-01,157.056
2009-11-01,157.027
2009-12-01,156.99
2010-01-01,157.517
2010-02-01,158.569
2010-03-01,158.657
2010-04-01,158.738
2010-05-01,158.529
2010-06-01,159.271
2010-07-01,159.338
2010-08-01,159.517
2010-09-01,160.072
2010-10-01,160.036
2010-11-01,160.392
2010-12-01,160.681
2011-01-01,160.643
2011-02-01,161.836
2011-03-01,161.886
2011-04-01,162.218
2011-05-01,162.483
2011-06-01,162.494
2011-07-01,162.971
2011-08-01,163.468
2011-09-01,163.334
2011-10-01,163.978
2011-11-01,164.12
2011-12-01,164.095
2012-01-01,165.884
2012-02-01,165.566
2012-03-01,165.367
2012-04-01,165.5
2012-05-01,165.671
2012-06-01,166.406
2012-07-01,166.538
2012-08-01,166.759
2012-09-01,167.215
2012-10-01,167.475
2012-11-01,167.835
2012-12-01,167.816
2013-01-01,168.126
2013-02-01,168.142
2013-03-01,168.816
2013-04-01,169.45
2013-05-01,169.165
2013-06-01,169.331
2013-07-01,169.371
2013-08-01,169.64
2013-09-01,170.17
2013-10-01,170.356
2013-11-01,171.608
2013-12-01,171.467
2014-01-01,171.15
2014-02-01,172.126
2014-03-01,172.993
2014-04-01,173.546
2014-05-01,174.005
2014-06-01,174.58
2014-07-01,174.357
2014-08-01,174.05
2014-09-01,174.462
2014-10-01,174.271
2014-11-01,174.653
2014-12-01,174.949
2015-01-01,174.953
2015-02-01,176.589
2015-03-01,177.551
2015-04-01,178.057
2015-05-01,179.463
2015-06-01,181.339
2015-07-01,181.165
2015-08-01,180.918
2015-09-01,180.822
2015-10-01,180.884
2015-11-01,181.63
2015-12-01,182.131
2016-01-01,182.271
2016-02-01,182.354
2016-03-01,182.32
2016-04-01,182.554
2016-05-01,182.692
2016-06-01,182.746
2016-07-01,182.889
2016-08-01,182.957
2016-09-01,182.669
2016-10-01,183.035
2016-11-01,183.031
2016-12-01,182.786
2017-01-01,182.97
2017-02-01,183.254
2017-03-01,183.752
2017-04-01,183.544
2017-05-01,183.365
2017-06-01,183.979
2017-07-01,183.991
2017-08-01,185.074
2017-09-01,185.586
2017-10-01,185.758
2017-11-01,186.439
