"Date","CUSR0000SEFS"
1989-01-01,119
1989-02-01,119.9
1989-03-01,119.9
1989-04-01,121.3
1989-05-01,121.4
1989-06-01,121.8
1989-07-01,121.6
1989-08-01,121.5
1989-09-01,121.5
1989-10-01,121.7
1989-11-01,122
1989-12-01,122.4
1990-01-01,123
1990-02-01,122.8
1990-03-01,123.8
1990-04-01,124
1990-05-01,124.8
1990-06-01,125.7
1990-07-01,126.6
1990-08-01,127.3
1990-09-01,128.3
1990-10-01,128.1
1990-11-01,129.9
1990-12-01,132
1991-01-01,131.8
1991-02-01,132.3
1991-03-01,132.3
1991-04-01,132.5
1991-05-01,132.3
1991-06-01,131.7
1991-07-01,131.6
1991-08-01,132.1
1991-09-01,131.3
1991-10-01,131.7
1991-11-01,131
1991-12-01,130.4
1992-01-01,130.1
1992-02-01,130.4
1992-03-01,129.6
1992-04-01,129.1
1992-05-01,130.1
1992-06-01,130.2
1992-07-01,129.8
1992-08-01,129.5
1992-09-01,130.1
1992-10-01,129.9
1992-11-01,129.6
1992-12-01,129.6
1993-01-01,129.7
1993-02-01,129.9
1993-03-01,129.9
1993-04-01,129.7
1993-05-01,129.1
1993-06-01,130.1
1993-07-01,130.2
1993-08-01,130.2
1993-09-01,130.2
1993-10-01,129.9
1993-11-01,130.3
1993-12-01,130.7
1994-01-01,130.9
1994-02-01,130.8
1994-03-01,132.2
1994-04-01,132.7
1994-05-01,133.1
1994-06-01,133.4
1994-07-01,134.7
1994-08-01,134.2
1994-09-01,134.4
1994-10-01,134.9
1994-11-01,135.3
1994-12-01,135.5
1995-01-01,135.9
1995-02-01,136.2
1995-03-01,136.4
1995-04-01,136.8
1995-05-01,137.1
1995-06-01,136.3
1995-07-01,137.6
1995-08-01,137.6
1995-09-01,137.6
1995-10-01,138.2
1995-11-01,138.8
1995-12-01,138.7
1996-01-01,139.2
1996-02-01,139.2
1996-03-01,139.7
1996-04-01,139.5
1996-05-01,139.9
1996-06-01,141
1996-07-01,140.3
1996-08-01,141
1996-09-01,141.7
1996-10-01,141.3
1996-11-01,141.6
1996-12-01,141.8
1997-01-01,141.7
1997-02-01,142.2
1997-03-01,142.1
1997-04-01,142.2
1997-05-01,142
1997-06-01,142
1997-07-01,141
1997-08-01,141.4
1997-09-01,142.1
1997-10-01,141.3
1997-11-01,141.1
1997-12-01,141.3
1998-01-01,140.1
1998-02-01,141.2
1998-03-01,142.1
1998-04-01,140.5
1998-05-01,141.1
1998-06-01,143.7
1998-07-01,147.5
1998-08-01,149.5
1998-09-01,152.2
1998-10-01,156.2
1998-11-01,155.7
1998-12-01,152.9
1999-01-01,150.5
1999-02-01,150.7
1999-03-01,149.5
1999-04-01,148.9
1999-05-01,147.1
1999-06-01,147.9
1999-07-01,147.9
1999-08-01,148.2
1999-09-01,148.2
1999-10-01,148.1
1999-11-01,145.9
1999-12-01,146
2000-01-01,147.2
2000-02-01,145.6
2000-03-01,146
2000-04-01,144.8
2000-05-01,146.8
2000-06-01,147
2000-07-01,147.8
2000-08-01,148.4
2000-09-01,148.3
2000-10-01,148.7
2000-11-01,147.3
2000-12-01,151.3
2001-01-01,153
2001-02-01,152.5
2001-03-01,153.1
2001-04-01,151.4
2001-05-01,154.4
2001-06-01,157.3
2001-07-01,157.7
2001-08-01,158.1
2001-09-01,158.2
2001-10-01,158.4
2001-11-01,156.5
2001-12-01,158.2
2002-01-01,157.5
2002-02-01,156.8
2002-03-01,156.2
2002-04-01,156.4
2002-05-01,155.6
2002-06-01,155.2
2002-07-01,155.1
2002-08-01,153.8
2002-09-01,155.1
2002-10-01,154.9
2002-11-01,154.7
2002-12-01,154.2
2003-01-01,155.2
2003-02-01,158.3
2003-03-01,156.9
2003-04-01,156.8
2003-05-01,156.9
2003-06-01,156.2
2003-07-01,155.8
2003-08-01,157.5
2003-09-01,157.3
2003-10-01,158.8
2003-11-01,159.2
2003-12-01,159.8
2004-01-01,160.1
2004-02-01,161.3
2004-03-01,165.5
2004-04-01,166.6
2004-05-01,168.6
2004-06-01,171.1
2004-07-01,171.4
2004-08-01,169.6
2004-09-01,170.3
2004-10-01,169.4
2004-11-01,169.7
2004-12-01,169.8
2005-01-01,169.8
2005-02-01,168.1
2005-03-01,166.3
2005-04-01,170.1
2005-05-01,167
2005-06-01,164.3
2005-07-01,166.9
2005-08-01,167.6
2005-09-01,169.3
2005-10-01,167.8
2005-11-01,167.7
2005-12-01,167.6
2006-01-01,169.1
2006-02-01,169
2006-03-01,168.1
2006-04-01,166.3
2006-05-01,168.2
2006-06-01,167.3
2006-07-01,166.4
2006-08-01,167.2
2006-09-01,167.6
2006-10-01,168.2
2006-11-01,169.4
2006-12-01,169
2007-01-01,169.089
2007-02-01,170.159
2007-03-01,170.624
2007-04-01,171.356
2007-05-01,171.488
2007-06-01,171.827
2007-07-01,173.166
2007-08-01,173.79
2007-09-01,173.59
2007-10-01,174.967
2007-11-01,176.597
2007-12-01,178.264
2008-01-01,180.84
2008-02-01,183.302
2008-03-01,182.742
2008-04-01,192.162
2008-05-01,193.426
2008-06-01,196.48
2008-07-01,200.582
2008-08-01,202.388
2008-09-01,205.578
2008-10-01,207.123
2008-11-01,207.469
2008-12-01,209.147
2009-01-01,206.021
2009-02-01,203.897
2009-03-01,204.859
2009-04-01,202.02
2009-05-01,200.884
2009-06-01,201.348
2009-07-01,200.337
2009-08-01,199.81
2009-09-01,199.366
2009-10-01,198.867
2009-11-01,198.096
2009-12-01,199.307
2010-01-01,199.282
2010-02-01,199.669
2010-03-01,198.646
2010-04-01,199.111
2010-05-01,199.737
2010-06-01,199.639
2010-07-01,199.985
2010-08-01,200.946
2010-09-01,201.329
2010-10-01,202.709
2010-11-01,204.124
2010-12-01,202.126
2011-01-01,206.568
2011-02-01,209.405
2011-03-01,214.539
2011-04-01,215.057
2011-05-01,216.609
2011-06-01,219.274
2011-07-01,221.148
2011-08-01,222.739
2011-09-01,224.067
2011-10-01,225.207
2011-11-01,226.655
2011-12-01,228.992
2012-01-01,232.831
2012-02-01,232.029
2012-03-01,232.948
2012-04-01,232.69
2012-05-01,233.377
2012-06-01,232.685
2012-07-01,232.206
2012-08-01,230.909
2012-09-01,232.695
2012-10-01,232.156
2012-11-01,233.048
2012-12-01,233.001
2013-01-01,232.954
2013-02-01,231.043
2013-03-01,229.87
2013-04-01,230.907
2013-05-01,230.257
2013-06-01,229.356
2013-07-01,228.57
2013-08-01,228.517
2013-09-01,227.443
2013-10-01,227.531
2013-11-01,227.53
2013-12-01,227.394
2014-01-01,227.099
2014-02-01,227.534
2014-03-01,229.52
2014-04-01,227.943
2014-05-01,228.745
2014-06-01,229.434
2014-07-01,230.501
2014-08-01,230.85
2014-09-01,231.535
2014-10-01,232.069
2014-11-01,230.841
2014-12-01,229.583
2015-01-01,229.521
2015-02-01,228.727
2015-03-01,226.517
2015-04-01,226.992
2015-05-01,226.506
