"Date","APU0000712411"
1980-01-01,1.737
1980-02-01,1.707
1980-03-01,1.661
1980-04-01,1.706
1980-05-01,1.551
1980-06-01,1.666
1980-07-01,1.57
1980-08-01,1.704
1980-09-01,1.662
1980-10-01,1.63
1980-11-01,1.667
1980-12-01,1.684
1981-01-01,1.66
1981-02-01,1.757
1981-03-01,1.752
1981-04-01,1.678
1981-05-01,1.667
1981-06-01,1.652
1981-07-01,1.809
1981-08-01,1.824
1981-09-01,1.837
1981-10-01,1.77
1981-11-01,1.76
1981-12-01,1.737
1982-01-01,1.864
1982-02-01,1.88
1982-03-01,1.856
1982-04-01,1.853
1982-05-01,1.841
1982-06-01,1.924
1982-07-01,1.906
1982-08-01,1.789
1982-09-01,1.899
1982-10-01,1.736
1982-11-01,1.876
1982-12-01,1.712
1983-01-01,1.86
1983-02-01,NA
1983-03-01,1.781
1983-04-01,1.88
1983-05-01,1.82
1983-06-01,NA
1983-07-01,NA
1983-08-01,NA
1983-09-01,1.866
1983-10-01,1.931
1983-11-01,1.986
1983-12-01,NA
1984-01-01,1.96
1984-02-01,NA
1984-03-01,1.991
1984-04-01,1.909
1984-05-01,1.921
1984-06-01,1.889
1984-07-01,1.828
1984-08-01,1.846
1984-09-01,1.848
1984-10-01,1.846
1984-11-01,1.888
1984-12-01,1.84
1985-01-01,1.88
1985-02-01,1.932
1985-03-01,1.807
1985-04-01,1.947
1985-05-01,1.848
1985-06-01,1.942
1985-07-01,1.97
1985-08-01,1.926
1985-09-01,1.902
1985-10-01,1.923
1985-11-01,1.892
1985-12-01,1.817
1986-01-01,1.985
