"Date","CUUR0300SETA"
1997-12-01,100
1998-01-01,100.3
1998-02-01,100.4
1998-03-01,100.3
1998-04-01,100.5
1998-05-01,100.4
1998-06-01,100.1
1998-07-01,100.4
1998-08-01,100.4
1998-09-01,100.2
1998-10-01,100.5
1998-11-01,100.9
1998-12-01,101.3
1999-01-01,101.1
1999-02-01,100.4
1999-03-01,100.2
1999-04-01,100.2
1999-05-01,100.1
1999-06-01,100.1
1999-07-01,100
1999-08-01,99.9
1999-09-01,100.3
1999-10-01,100.7
1999-11-01,101.1
1999-12-01,101.2
2000-01-01,100.8
2000-02-01,100.4
2000-03-01,100.5
2000-04-01,100.9
2000-05-01,101
2000-06-01,100.9
2000-07-01,100.6
2000-08-01,100.3
2000-09-01,100.3
2000-10-01,100.7
2000-11-01,101.3
2000-12-01,101.8
2001-01-01,102.1
2001-02-01,102
2001-03-01,101.6
2001-04-01,101.7
2001-05-01,101.2
2001-06-01,100.8
2001-07-01,100.4
2001-08-01,99.9
2001-09-01,99.6
2001-10-01,100
2001-11-01,100.3
2001-12-01,101.1
2002-01-01,100.7
2002-02-01,99.7
2002-03-01,98.9
2002-04-01,98.7
2002-05-01,98.4
2002-06-01,98.1
2002-07-01,98.3
2002-08-01,98.3
2002-09-01,98.4
2002-10-01,98.7
2002-11-01,98.9
2002-12-01,98.7
2003-01-01,98.1
2003-02-01,97.9
2003-03-01,98.1
2003-04-01,97.9
2003-05-01,97.3
2003-06-01,96.9
2003-07-01,96.6
2003-08-01,96.4
2003-09-01,95.7
2003-10-01,95.1
2003-11-01,94.9
2003-12-01,94.8
2004-01-01,94.8
2004-02-01,94.9
2004-03-01,94.8
2004-04-01,94.8
2004-05-01,94.8
2004-06-01,94.5
2004-07-01,94.1
2004-08-01,94.1
2004-09-01,94.7
2004-10-01,95.2
2004-11-01,95.5
2004-12-01,96.2
2005-01-01,97
2005-02-01,97.1
2005-03-01,96.8
2005-04-01,96.7
2005-05-01,96.8
2005-06-01,96.8
2005-07-01,96.4
2005-08-01,96.2
2005-09-01,96.2
2005-10-01,96.3
2005-11-01,96.4
2005-12-01,96.9
2006-01-01,97.2
2006-02-01,97.3
2006-03-01,97.3
2006-04-01,97.2
2006-05-01,96.9
2006-06-01,96.4
2006-07-01,96.5
2006-08-01,96.1
2006-09-01,96
2006-10-01,95.8
2006-11-01,95.1
2006-12-01,95.2
2007-01-01,95.511
2007-02-01,95.417
2007-03-01,95.423
2007-04-01,95.385
2007-05-01,95.09
2007-06-01,94.82
2007-07-01,94.869
2007-08-01,95.127
2007-09-01,94.889
2007-10-01,94.889
2007-11-01,94.968
2007-12-01,95.196
2008-01-01,95.643
2008-02-01,95.516
2008-03-01,95.002
2008-04-01,94.265
2008-05-01,93.939
2008-06-01,93.831
2008-07-01,93.806
2008-08-01,93.026
2008-09-01,92.31
2008-10-01,91.737
2008-11-01,90.931
2008-12-01,90.796
2009-01-01,91.305
2009-02-01,92
2009-03-01,92.183
2009-04-01,92.163
2009-05-01,92.418
2009-06-01,93.16
2009-07-01,93.497
2009-08-01,92.831
2009-09-01,92.629
2009-10-01,94.826
2009-11-01,96.137
2009-12-01,96.446
2010-01-01,96.826
2010-02-01,97.344
2010-03-01,97.274
2010-04-01,97.192
2010-05-01,97.194
2010-06-01,97.464
2010-07-01,97.658
2010-08-01,97.953
2010-09-01,97.598
2010-10-01,97.265
2010-11-01,97.084
2010-12-01,97.15
2011-01-01,97.24
2011-02-01,98.162
2011-03-01,98.77
2011-04-01,99.404
2011-05-01,100.401
2011-06-01,101.198
2011-07-01,101.636
2011-08-01,101.868
2011-09-01,101.336
2011-10-01,100.857
2011-11-01,100.351
2011-12-01,100.204
2012-01-01,100.24
2012-02-01,100.846
2012-03-01,101.24
2012-04-01,101.644
2012-05-01,102.068
2012-06-01,102.441
2012-07-01,102.371
2012-08-01,102.167
2012-09-01,101.321
2012-10-01,100.549
2012-11-01,100.48
2012-12-01,100.692
2013-01-01,100.963
2013-02-01,101.271
2013-03-01,101.911
2013-04-01,102.592
2013-05-01,102.712
2013-06-01,103.305
2013-07-01,103.385
2013-08-01,103.172
2013-09-01,102.936
2013-10-01,102.917
2013-11-01,102.457
2013-12-01,102.361
2014-01-01,102.399
2014-02-01,102.75
2014-03-01,103.168
2014-04-01,103.692
2014-05-01,103.858
2014-06-01,103.481
2014-07-01,103.5
2014-08-01,103.794
2014-09-01,103.447
2014-10-01,103.008
2014-11-01,102.443
2014-12-01,102.071
2015-01-01,101.987
2015-02-01,102.428
2015-03-01,103.287
2015-04-01,104.254
2015-05-01,104.313
2015-06-01,104.054
2015-07-01,103.762
2015-08-01,103.662
2015-09-01,103.148
2015-10-01,102.623
2015-11-01,102.111
2015-12-01,102.262
2016-01-01,102.782
2016-02-01,103.611
2016-03-01,104.169
2016-04-01,104.353
2016-05-01,104.033
2016-06-01,103.558
2016-07-01,103.238
2016-08-01,103.168
2016-09-01,102.438
2016-10-01,101.834
2016-11-01,101.58
2016-12-01,101.741
2017-01-01,102.49
2017-02-01,102.557
2017-03-01,102.72
2017-04-01,103.186
2017-05-01,102.733
2017-06-01,102.378
2017-07-01,102.191
2017-08-01,101.833
2017-09-01,100.727
2017-10-01,100.355
2017-11-01,100.289
2017-12-01,100.897
2018-01-01,101.344
2018-02-01,101.619
2018-03-01,102.107
2018-04-01,101.593
2018-05-01,101.455
2018-06-01,101.801
2018-07-01,102.684
2018-08-01,102.724
2018-09-01,100.958
2018-10-01,101.108
2018-11-01,101.541
2018-12-01,101.725
2019-01-01,102.294
2019-02-01,101.98
2019-03-01,102.548
2019-04-01,102.708
2019-05-01,101.927
2019-06-01,102.289
2019-07-01,102.721
2019-08-01,102.88
2019-09-01,101.315
2019-10-01,101.221
2019-11-01,100.756
2019-12-01,100.868
2020-01-01,101.036
2020-02-01,101.455
2020-03-01,101.944
2020-04-01,101.247
2020-05-01,100.752
2020-06-01,100.595
2020-07-01,102.133
2020-08-01,104.424
2020-09-01,105.359
2020-10-01,106.095
2020-11-01,106.027
2020-12-01,105.825
2021-01-01,105.194
2021-02-01,105.425
2021-03-01,106.964
2021-04-01,111.368
2021-05-01,115.328
2021-06-01,121.568
2021-07-01,123.14
2021-08-01,122.525
2021-09-01,120.661
2021-10-01,123.658
2021-11-01,126.095
2021-12-01,128.947
2022-01-01,130.126
