"Date","CUSR0000SEMC04"
1989-01-01,111.3
1989-02-01,111.8
1989-03-01,112.2
1989-04-01,112.7
1989-05-01,113
1989-06-01,113.7
1989-07-01,114.9
1989-08-01,115.3
1989-09-01,115.6
1989-10-01,116
1989-11-01,116.7
1989-12-01,117
1990-01-01,117.4
1990-02-01,117.8
1990-03-01,118.3
1990-04-01,118.8
1990-05-01,119.2
1990-06-01,119.5
1990-07-01,120.7
1990-08-01,121.5
1990-09-01,121.8
1990-10-01,122
1990-11-01,122.3
1990-12-01,123
1991-01-01,123.3
1991-02-01,124.1
1991-03-01,124.9
1991-04-01,125.4
1991-05-01,126.2
1991-06-01,126.5
1991-07-01,126.5
1991-08-01,127.3
1991-09-01,128
1991-10-01,128.4
1991-11-01,129.2
1991-12-01,129.7
1992-01-01,130.3
1992-02-01,130.5
1992-03-01,130.7
1992-04-01,131
1992-05-01,131.1
1992-06-01,131.3
1992-07-01,131.8
1992-08-01,131.8
1992-09-01,132.1
1992-10-01,133.1
1992-11-01,133.3
1992-12-01,133.7
1993-01-01,134
1993-02-01,134
1993-03-01,133.9
1993-04-01,134.6
1993-05-01,135.4
1993-06-01,135.9
1993-07-01,136.4
1993-08-01,136.7
1993-09-01,136.9
1993-10-01,137.2
1993-11-01,137.5
1993-12-01,138
1994-01-01,138.2
1994-02-01,139.1
1994-03-01,139.6
1994-04-01,140.4
1994-05-01,140.6
1994-06-01,141.2
1994-07-01,141.5
1994-08-01,142.2
1994-09-01,142.8
1994-10-01,143.2
1994-11-01,143.3
1994-12-01,143.5
1995-01-01,143.7
1995-02-01,143.8
1995-03-01,143.7
1995-04-01,144
1995-05-01,144
1995-06-01,144.3
1995-07-01,143
1995-08-01,143.8
1995-09-01,143.9
1995-10-01,144.1
1995-11-01,144.1
1995-12-01,144.6
1996-01-01,144.7
1996-02-01,144.9
1996-03-01,145.1
1996-04-01,145.2
1996-05-01,145.7
1996-06-01,146.3
1996-07-01,146.7
1996-08-01,147
1996-09-01,147.4
1996-10-01,147.9
1996-11-01,148.7
1996-12-01,148.9
1997-01-01,149.1
1997-02-01,150.2
1997-03-01,150.8
1997-04-01,151.3
1997-05-01,151.5
1997-06-01,151.8
1997-07-01,152.2
1997-08-01,152.8
1997-09-01,152.9
1997-10-01,152.8
1997-11-01,153.3
1997-12-01,153.5
1998-01-01,153.9
1998-02-01,154
1998-03-01,154.5
1998-04-01,155
1998-05-01,155.3
1998-06-01,155.5
1998-07-01,155.5
1998-08-01,155.1
1998-09-01,155.6
1998-10-01,156.1
1998-11-01,156.7
1998-12-01,157.2
1999-01-01,157.8
1999-02-01,157.9
1999-03-01,158
1999-04-01,158.1
1999-05-01,158.2
1999-06-01,158.3
1999-07-01,158.7
1999-08-01,158.8
1999-09-01,159.3
1999-10-01,159.8
1999-11-01,159.7
1999-12-01,159.7
2000-01-01,159.8
2000-02-01,160
2000-03-01,160.2
2000-04-01,160.4
2000-05-01,161.1
2000-06-01,161.9
2000-07-01,162.5
2000-08-01,163
2000-09-01,163.3
2000-10-01,163.2
2000-11-01,163.4
2000-12-01,163.7
2001-01-01,164.1
2001-02-01,165.3
2001-03-01,166
2001-04-01,166.3
2001-05-01,166.6
2001-06-01,167.3
2001-07-01,167.7
2001-08-01,168.6
2001-09-01,168.8
2001-10-01,168.7
2001-11-01,169.1
2001-12-01,169.3
2002-01-01,169.8
2002-02-01,169.9
2002-03-01,170.1
2002-04-01,171.4
2002-05-01,171.2
2002-06-01,171.2
2002-07-01,171.5
2002-08-01,171.6
2002-09-01,171.8
2002-10-01,173.7
2002-11-01,174.4
2002-12-01,175.4
2003-01-01,175.6
2003-02-01,175.7
2003-03-01,175.6
2003-04-01,175.9
2003-05-01,176.1
2003-06-01,176.6
2003-07-01,177.1
2003-08-01,177.4
2003-09-01,177.9
2003-10-01,178.7
2003-11-01,178.7
2003-12-01,179.4
2004-01-01,179.5
2004-02-01,179.2
2004-03-01,180.3
2004-04-01,181.4
2004-05-01,181.8
2004-06-01,182.1
2004-07-01,182.1
2004-08-01,182.9
2004-09-01,183.1
2004-10-01,183.3
2004-11-01,183.3
2004-12-01,183.7
2005-01-01,184.3
2005-02-01,186
2005-03-01,186.1
2005-04-01,186.2
2005-05-01,186.7
2005-06-01,186.7
2005-07-01,186.9
2005-08-01,187
2005-09-01,187.2
2005-10-01,188
2005-11-01,188.2
2005-12-01,188.3
2006-01-01,188.1
2006-02-01,190.4
2006-03-01,191.1
2006-04-01,191.2
2006-05-01,191.4
2006-06-01,191.4
2006-07-01,192.3
2006-08-01,193.3
2006-09-01,194.2
2006-10-01,194.2
2006-11-01,194.1
2006-12-01,194.2
2007-01-01,195.013
2007-02-01,195.667
2007-03-01,196.561
2007-04-01,196.741
2007-05-01,196.96
2007-06-01,197.127
2007-07-01,197.388
2007-08-01,197.613
2007-09-01,197.702
2007-10-01,198.432
2007-11-01,199.454
2007-12-01,200.312
2008-01-01,201.145
2008-02-01,202.085
2008-03-01,202.242
2008-04-01,203.271
2008-05-01,204.587
2008-06-01,205.861
2008-07-01,207.605
2008-08-01,207.2
2008-09-01,207.608
2008-10-01,207.962
2008-11-01,208.129
2008-12-01,208.247
2009-01-01,208.702
2009-02-01,208.296
2009-03-01,208.494
2009-04-01,208.848
2009-05-01,208.978
2009-06-01,209.513
2009-07-01,209.631
2009-08-01,209.855
2009-09-01,210.125
2009-10-01,210.887
2009-11-01,212.001
2009-12-01,212.064
2010-01-01,212.012
2010-02-01,213.145
2010-03-01,213.739
2010-04-01,214.034
2010-05-01,213.754
2010-06-01,213.735
2010-07-01,214.234
2010-08-01,215.09
2010-09-01,215.649
2010-10-01,215.562
2010-11-01,215.72
2010-12-01,215.754
2011-01-01,216.359
2011-02-01,217.089
2011-03-01,216.623
2011-04-01,216.998
2011-05-01,217.438
2011-06-01,217.671
2011-07-01,217.963
2011-08-01,217.366
2011-09-01,217.346
2011-10-01,217.644
2011-11-01,218.028
2011-12-01,218.623
2012-01-01,218.444
2012-02-01,219.023
2012-03-01,219.287
2012-04-01,219.295
2012-05-01,219.653
2012-06-01,219.523
2012-07-01,219.617
2012-08-01,220.206
2012-09-01,220.03
2012-10-01,220.171
2012-11-01,220.022
2012-12-01,220.029
2013-01-01,221.354
2013-02-01,222.147
2013-03-01,222.722
2013-04-01,222.666
2013-05-01,222.518
2013-06-01,223.298
2013-07-01,223.408
2013-08-01,223.61
2013-09-01,224.453
2013-10-01,224.595
2013-11-01,224.75
2013-12-01,224.58
2014-01-01,225.034
2014-02-01,225.215
2014-03-01,225.207
2014-04-01,224.672
2014-05-01,225.295
2014-06-01,226.608
2014-07-01,227.076
2014-08-01,226.306
2014-09-01,225.945
2014-10-01,227.183
2014-11-01,229.118
2014-12-01,229.057
2015-01-01,227.603
2015-02-01,228.005
2015-03-01,227.974
2015-04-01,227.964
2015-05-01,228.027
2015-06-01,227.992
2015-07-01,228.296
2015-08-01,228.836
2015-09-01,228.803
2015-10-01,228.8
2015-11-01,228.365
2015-12-01,228.291
2016-01-01,228.817
2016-02-01,228.858
2016-03-01,228.682
2016-04-01,228.933
2016-05-01,231.206
2016-06-01,230.324
2016-07-01,232.469
2016-08-01,231.911
2016-09-01,231.951
2016-10-01,232.015
2016-11-01,233.076
2016-12-01,233.259
2017-01-01,234.954
2017-02-01,235.671
2017-03-01,236.293
2017-04-01,236.293
2017-05-01,236.293
2017-06-01,236.087
2017-07-01,236.129
2017-08-01,236.129
2017-09-01,237.209
2017-10-01,237.717
2017-11-01,238.243
2017-12-01,238.09
2018-01-01,237.027
2018-02-01,235.056
2018-03-01,236.938
2018-04-01,237.43
2018-05-01,237.663
2018-06-01,237.826
2018-07-01,237.826
2018-08-01,237.499
2018-09-01,237.154
2018-10-01,237.344
2018-11-01,238.25
2018-12-01,238.25
2019-01-01,237.356
2019-02-01,238.247
2019-03-01,238.88
2019-04-01,238.339
2019-05-01,238.942
2019-06-01,239.093
2019-07-01,238.987
2019-08-01,239.806
2019-09-01,240.832
2019-10-01,239.906
2019-11-01,239.923
2019-12-01,240.138
2020-01-01,240.585
2020-02-01,240.689
2020-03-01,240.707
2020-04-01,241.085
2020-05-01,241.419
2020-06-01,242.115
2020-07-01,242.38
2020-08-01,242.38
2020-09-01,243.578
2020-10-01,243.578
2020-11-01,243.437
2020-12-01,243.32
2021-01-01,247.153
2021-02-01,246.671
2021-03-01,247.069
2021-04-01,247.246
2021-05-01,247.784
2021-06-01,247.745
2021-07-01,247.804
2021-08-01,247.804
2021-09-01,248.614
2021-10-01,248.614
2021-11-01,248.614
2021-12-01,250.259
2022-01-01,256.437
2022-02-01,258.611
2022-03-01,257.988
2022-04-01,257.303
2022-05-01,259.026
2022-06-01,259.384
2022-07-01,258.62
2022-08-01,258.812
2022-09-01,258.826
2022-10-01,258.94
2022-11-01,257.836
2022-12-01,255.471
2023-01-01,255.438
2023-02-01,256.305
2023-03-01,257.431
2023-04-01,257.98
2023-05-01,261.049
2023-06-01,259.432
2023-07-01,261.034
2023-08-01,258.989
2023-09-01,259.21
2023-10-01,259.137
2023-11-01,259.16
