"Date","CUURD200SAA"
1977-12-01,80.7
1978-01-01,NA
1978-02-01,78
1978-03-01,NA
1978-04-01,79
1978-05-01,NA
1978-06-01,80
1978-07-01,NA
1978-08-01,79.1
1978-09-01,NA
1978-10-01,81.1
1978-11-01,NA
1978-12-01,80.8
1979-01-01,NA
1979-02-01,80.4
1979-03-01,NA
1979-04-01,83.8
1979-05-01,NA
1979-06-01,83.7
1979-07-01,NA
1979-08-01,83.9
1979-09-01,NA
1979-10-01,88.8
1979-11-01,NA
1979-12-01,90.3
1980-01-01,NA
1980-02-01,89.1
1980-03-01,NA
1980-04-01,91.7
1980-05-01,NA
1980-06-01,92.5
1980-07-01,NA
1980-08-01,91.7
1980-09-01,NA
1980-10-01,93.2
1980-11-01,NA
1980-12-01,93.8
1981-01-01,NA
1981-02-01,92.1
1981-03-01,NA
1981-04-01,93.3
1981-05-01,NA
1981-06-01,95.7
1981-07-01,NA
1981-08-01,98.1
1981-09-01,NA
1981-10-01,99.3
1981-11-01,NA
1981-12-01,99.7
1982-01-01,NA
1982-02-01,96.4
1982-03-01,NA
1982-04-01,99.7
1982-05-01,NA
1982-06-01,97.2
1982-07-01,NA
1982-08-01,96.9
1982-09-01,NA
1982-10-01,98.4
1982-11-01,NA
1982-12-01,98
1983-01-01,NA
1983-02-01,98.4
1983-03-01,NA
1983-04-01,99.7
1983-05-01,NA
1983-06-01,98.6
1983-07-01,NA
1983-08-01,101.2
1983-09-01,NA
1983-10-01,104.3
1983-11-01,NA
1983-12-01,102.9
1984-01-01,NA
1984-02-01,99.3
1984-03-01,NA
1984-04-01,101.8
1984-05-01,NA
1984-06-01,100.5
1984-07-01,NA
1984-08-01,100.8
1984-09-01,NA
1984-10-01,103.9
1984-11-01,NA
1984-12-01,103.3
1985-01-01,NA
1985-02-01,102.1
1985-03-01,NA
1985-04-01,104.4
1985-05-01,NA
1985-06-01,105
1985-07-01,NA
1985-08-01,104.7
1985-09-01,NA
1985-10-01,108.7
1985-11-01,NA
1985-12-01,108
1986-01-01,NA
1986-02-01,104.1
1986-03-01,NA
1986-04-01,103.9
1986-05-01,NA
1986-06-01,102.8
1986-07-01,NA
1986-08-01,103.4
1986-09-01,NA
1986-10-01,106.6
1986-11-01,NA
1986-12-01,104.5
1987-01-01,100.8
1987-02-01,100.7
1987-03-01,108
1987-04-01,112.8
1987-05-01,112.1
1987-06-01,108.7
1987-07-01,105.8
1987-08-01,106.9
1987-09-01,113.4
1987-10-01,116.4
1987-11-01,116.5
1987-12-01,116.4
1988-01-01,112.5
1988-02-01,110
1988-03-01,120.9
1988-04-01,121.8
1988-05-01,119.1
1988-06-01,118.2
1988-07-01,115
1988-08-01,115.9
1988-09-01,118.5
1988-10-01,121.7
1988-11-01,121.5
1988-12-01,121.4
1989-01-01,117.6
1989-02-01,114.9
1989-03-01,122.1
1989-04-01,122.7
1989-05-01,120.4
1989-06-01,119.2
1989-07-01,116.3
1989-08-01,113.4
1989-09-01,119.2
1989-10-01,128.4
1989-11-01,126.2
1989-12-01,123.3
1990-01-01,118.7
1990-02-01,118.3
1990-03-01,125.7
1990-04-01,126.6
1990-05-01,126.8
1990-06-01,125.8
1990-07-01,122.6
1990-08-01,125.5
1990-09-01,127.2
1990-10-01,129.2
1990-11-01,131.3
1990-12-01,128.5
1991-01-01,126.9
1991-02-01,127.9
1991-03-01,130.7
1991-04-01,131.9
1991-05-01,132.3
1991-06-01,130.8
1991-07-01,127.8
1991-08-01,133.4
1991-09-01,136.3
1991-10-01,134.8
1991-11-01,139.6
1991-12-01,136.7
1992-01-01,135.1
1992-02-01,136.2
1992-03-01,135.2
1992-04-01,136.2
1992-05-01,137.8
1992-06-01,136
1992-07-01,135.1
1992-08-01,138.3
1992-09-01,143.4
1992-10-01,143.8
1992-11-01,143.2
1992-12-01,140.1
1993-01-01,137.5
1993-02-01,140.3
1993-03-01,140.4
1993-04-01,140
1993-05-01,139.7
1993-06-01,139.3
1993-07-01,133.9
1993-08-01,136.5
1993-09-01,142.2
1993-10-01,143.9
1993-11-01,146.7
1993-12-01,144.6
1994-01-01,140.1
1994-02-01,137.4
1994-03-01,135.7
1994-04-01,138.2
1994-05-01,137.5
1994-06-01,135.5
1994-07-01,130.8
1994-08-01,134.2
1994-09-01,143.8
1994-10-01,145.8
1994-11-01,140.8
1994-12-01,138.7
1995-01-01,138.5
1995-02-01,138.1
1995-03-01,137.6
1995-04-01,139.5
1995-05-01,139.4
1995-06-01,139.1
1995-07-01,138.7
1995-08-01,138.5
1995-09-01,142.9
1995-10-01,145.7
1995-11-01,146.3
1995-12-01,144.7
1996-01-01,137.2
1996-02-01,136.1
1996-03-01,140.6
1996-04-01,144.1
1996-05-01,142.8
1996-06-01,139.4
1996-07-01,137.1
1996-08-01,136.7
1996-09-01,139.5
1996-10-01,143.4
1996-11-01,148.2
1996-12-01,146.1
1997-01-01,142.2
1997-02-01,143.1
1997-03-01,143.7
1997-04-01,148
1997-05-01,147.2
1997-06-01,141.1
1997-07-01,137
1997-08-01,139.1
1997-09-01,146.1
1997-10-01,145.7
1997-11-01,148.4
1997-12-01,148.3
1998-01-01,142.9
1998-02-01,138.7
1998-03-01,136.6
1998-04-01,139.6
1998-05-01,140.7
1998-06-01,139.2
1998-07-01,136.4
1998-08-01,138
1998-09-01,141.6
1998-10-01,147.3
1998-11-01,152.2
1998-12-01,150.3
1999-01-01,148.1
1999-02-01,147.6
1999-03-01,147.8
1999-04-01,147.2
1999-05-01,146.3
1999-06-01,144.3
1999-07-01,144
1999-08-01,143.2
1999-09-01,149.1
1999-10-01,151.8
1999-11-01,151.7
1999-12-01,152.7
2000-01-01,143.2
2000-02-01,142.2
2000-03-01,147.7
2000-04-01,149.2
2000-05-01,144.4
2000-06-01,141.2
2000-07-01,138.5
2000-08-01,140.9
2000-09-01,148.8
2000-10-01,149.9
2000-11-01,150.6
2000-12-01,149.2
2001-01-01,141.9
2001-02-01,143.8
2001-03-01,148.7
2001-04-01,147.8
2001-05-01,144.9
2001-06-01,141.9
2001-07-01,140
2001-08-01,142.1
2001-09-01,145.9
2001-10-01,145.6
2001-11-01,147.3
2001-12-01,144.9
2002-01-01,138.3
2002-02-01,140.9
2002-03-01,144.7
2002-04-01,144.1
2002-05-01,142.2
2002-06-01,140.3
2002-07-01,133.6
2002-08-01,135.4
2002-09-01,136.2
2002-10-01,139
2002-11-01,146.1
2002-12-01,139.7
2003-01-01,136.6
2003-02-01,137.7
2003-03-01,135.7
2003-04-01,134.1
2003-05-01,132.8
2003-06-01,131.3
2003-07-01,126.4
2003-08-01,128.3
2003-09-01,132.5
2003-10-01,136.3
2003-11-01,141.5
2003-12-01,138.5
2004-01-01,130.7
2004-02-01,128.7
2004-03-01,127.6
2004-04-01,128.2
2004-05-01,128.7
2004-06-01,127
2004-07-01,124.6
2004-08-01,122.4
2004-09-01,127
2004-10-01,130
2004-11-01,128.1
2004-12-01,129.1
2005-01-01,126.7
2005-02-01,125.5
2005-03-01,128.2
2005-04-01,128
2005-05-01,129.9
2005-06-01,129.7
2005-07-01,122.5
2005-08-01,126.2
2005-09-01,137.3
2005-10-01,137.9
2005-11-01,134.9
2005-12-01,132.5
2006-01-01,127.6
2006-02-01,125.6
2006-03-01,126.4
2006-04-01,127.4
2006-05-01,123.6
2006-06-01,120
2006-07-01,114.9
2006-08-01,115.7
