"Date","CUURX200SAH1"
1997-12-01,100
1998-01-01,100.4
1998-02-01,100.8
1998-03-01,101.2
1998-04-01,101.7
1998-05-01,102.3
1998-06-01,102.4
1998-07-01,102.6
1998-08-01,102.8
1998-09-01,102.5
1998-10-01,102.6
1998-11-01,102.9
1998-12-01,102.7
1999-01-01,102.9
1999-02-01,103.2
1999-03-01,103.7
1999-04-01,104
1999-05-01,104.3
1999-06-01,104.2
1999-07-01,104.5
1999-08-01,104.8
1999-09-01,104.8
1999-10-01,104.9
1999-11-01,105
1999-12-01,104.8
2000-01-01,105.3
2000-02-01,105.7
2000-03-01,106.1
2000-04-01,106.4
2000-05-01,106.7
2000-06-01,106.9
2000-07-01,107
2000-08-01,107.3
2000-09-01,107.2
2000-10-01,107.6
2000-11-01,107.3
2000-12-01,107
2001-01-01,107.6
2001-02-01,108
2001-03-01,108.5
2001-04-01,108.4
2001-05-01,108.9
2001-06-01,109.2
2001-07-01,109.2
2001-08-01,109.5
2001-09-01,109.2
2001-10-01,109.3
2001-11-01,109.7
2001-12-01,109.7
2002-01-01,109.9
2002-02-01,110.2
2002-03-01,110.8
2002-04-01,111
2002-05-01,111.6
2002-06-01,111.8
2002-07-01,112
2002-08-01,112.3
2002-09-01,111.9
2002-10-01,112
2002-11-01,111.9
2002-12-01,111.7
2003-01-01,112.1
2003-02-01,112.7
2003-03-01,113.1
2003-04-01,113.2
2003-05-01,113.3
2003-06-01,113
2003-07-01,113.4
2003-08-01,113.4
2003-09-01,113.4
2003-10-01,113.8
2003-11-01,114.1
2003-12-01,114
2004-01-01,114.2
2004-02-01,114.6
2004-03-01,115.5
2004-04-01,115.6
2004-05-01,116.2
2004-06-01,116.2
2004-07-01,116.3
2004-08-01,116.5
2004-09-01,116.8
2004-10-01,116.9
2004-11-01,117.1
2004-12-01,117.2
2005-01-01,116.8
2005-02-01,117.5
2005-03-01,117.9
2005-04-01,118.2
2005-05-01,118
2005-06-01,118
2005-07-01,118.5
2005-08-01,118.3
2005-09-01,118.8
2005-10-01,119.1
2005-11-01,118.8
2005-12-01,118.6
2006-01-01,118.5
2006-02-01,118.6
2006-03-01,119.1
2006-04-01,119.4
2006-05-01,119.9
2006-06-01,119.6
2006-07-01,119.6
2006-08-01,119.8
2006-09-01,120.1
2006-10-01,120.5
2006-11-01,120.5
2006-12-01,120.6
2007-01-01,120.5
2007-02-01,120.717
2007-03-01,121.447
2007-04-01,121.845
2007-05-01,122.162
2007-06-01,122.342
2007-07-01,122.548
2007-08-01,122.783
2007-09-01,122.626
2007-10-01,122.752
2007-11-01,122.451
2007-12-01,122.609
2008-01-01,123.044
2008-02-01,123.217
2008-03-01,123.834
2008-04-01,124.022
2008-05-01,123.776
2008-06-01,124.264
2008-07-01,124.364
2008-08-01,124.301
2008-09-01,124.163
2008-10-01,124.592
2008-11-01,124.018
2008-12-01,124.296
2009-01-01,124.76
2009-02-01,125.083
2009-03-01,125.083
2009-04-01,125.362
2009-05-01,125.153
2009-06-01,125.491
2009-07-01,125.904
2009-08-01,126.1
2009-09-01,126.063
2009-10-01,126.352
2009-11-01,125.591
2009-12-01,125.138
2010-01-01,125.277
2010-02-01,125.335
2010-03-01,125.764
2010-04-01,125.874
2010-05-01,125.955
2010-06-01,126.11
2010-07-01,126.208
2010-08-01,126.093
2010-09-01,126.263
2010-10-01,126.47
2010-11-01,126.3
2010-12-01,126.318
2011-01-01,126.692
2011-02-01,126.96
2011-03-01,127.079
2011-04-01,127.044
2011-05-01,127.097
2011-06-01,127.66
2011-07-01,127.829
2011-08-01,127.858
2011-09-01,127.705
2011-10-01,127.944
2011-11-01,127.822
2011-12-01,127.894
2012-01-01,128.142
2012-02-01,128.485
2012-03-01,129.025
2012-04-01,129.335
2012-05-01,129.463
2012-06-01,129.617
2012-07-01,129.699
2012-08-01,130.04
2012-09-01,130.184
2012-10-01,130.366
2012-11-01,130.496
2012-12-01,130.766
2013-01-01,131.1
2013-02-01,131.149
2013-03-01,131.372
2013-04-01,131.493
2013-05-01,131.878
2013-06-01,132.32
2013-07-01,132.434
2013-08-01,132.54
2013-09-01,132.671
2013-10-01,132.805
2013-11-01,132.862
2013-12-01,133.097
2014-01-01,133.339
2014-02-01,133.569
2014-03-01,133.786
2014-04-01,134.012
2014-05-01,134.233
2014-06-01,134.29
2014-07-01,134.52
2014-08-01,134.583
2014-09-01,134.984
2014-10-01,135.151
2014-11-01,135.203
2014-12-01,135.501
2015-01-01,135.779
2015-02-01,136.187
2015-03-01,136.533
2015-04-01,136.491
2015-05-01,136.671
2015-06-01,136.966
2015-07-01,137.178
2015-08-01,137.28
2015-09-01,137.782
2015-10-01,138.088
2015-11-01,138.256
2015-12-01,138.583
2016-01-01,138.889
2016-02-01,139.31
2016-03-01,139.91
2016-04-01,140.277
2016-05-01,140.497
2016-06-01,140.823
2016-07-01,140.772
2016-08-01,141.031
2016-09-01,141.429
2016-10-01,141.565
2016-11-01,141.772
2016-12-01,142.092
2017-01-01,142.417
2017-02-01,142.716
2017-03-01,142.875
2017-04-01,143.301
2017-05-01,143.786
2017-06-01,144.149
2017-07-01,144.135
2017-08-01,144.347
2017-09-01,144.641
2017-10-01,144.985
2017-11-01,145.04
2017-12-01,145.308
2018-01-01,145.65
2018-02-01,146.291
2018-03-01,146.817
2018-04-01,147.093
2018-05-01,147.706
2018-06-01,147.682
2018-07-01,148.279
2018-08-01,148.598
2018-09-01,148.866
2018-10-01,149.854
2018-11-01,150.283
2018-12-01,150.045
2019-01-01,150.39
2019-02-01,151.396
2019-03-01,152.326
2019-04-01,152.544
2019-05-01,153.19
2019-06-01,153.534
2019-07-01,153.875
2019-08-01,153.467
2019-09-01,154.342
2019-10-01,154.189
2019-11-01,154.479
2019-12-01,154.961
2020-01-01,155.36
2020-02-01,156.046
2020-03-01,155.908
