"Date","CUUR0100SEHA"
1977-12-01,68.6
1978-01-01,NA
1978-02-01,69.8
1978-03-01,NA
1978-04-01,70.1
1978-05-01,NA
1978-06-01,70.8
1978-07-01,NA
1978-08-01,71.2
1978-09-01,NA
1978-10-01,71.8
1978-11-01,NA
1978-12-01,72.4
1979-01-01,NA
1979-02-01,73.3
1979-03-01,NA
1979-04-01,73.5
1979-05-01,NA
1979-06-01,74.4
1979-07-01,NA
1979-08-01,75.3
1979-09-01,NA
1979-10-01,76.4
1979-11-01,NA
1979-12-01,77.4
1980-01-01,NA
1980-02-01,78.5
1980-03-01,NA
1980-04-01,79
1980-05-01,NA
1980-06-01,80.3
1980-07-01,NA
1980-08-01,81.6
1980-09-01,NA
1980-10-01,82.4
1980-11-01,NA
1980-12-01,84
1981-01-01,NA
1981-02-01,85.2
1981-03-01,NA
1981-04-01,85.9
1981-05-01,NA
1981-06-01,86.6
1981-07-01,NA
1981-08-01,88.6
1981-09-01,NA
1981-10-01,89.4
1981-11-01,NA
1981-12-01,90.6
1982-01-01,NA
1982-02-01,91.8
1982-03-01,NA
1982-04-01,92.3
1982-05-01,NA
1982-06-01,93.3
1982-07-01,NA
1982-08-01,94.9
1982-09-01,NA
1982-10-01,96.6
1982-11-01,NA
1982-12-01,97.5
1983-01-01,NA
1983-02-01,98.4
1983-03-01,NA
1983-04-01,99.7
1983-05-01,NA
1983-06-01,100.1
1983-07-01,NA
1983-08-01,100.6
1983-09-01,NA
1983-10-01,101.6
1983-11-01,NA
1983-12-01,102.4
1984-01-01,NA
1984-02-01,103.2
1984-03-01,NA
1984-04-01,104.4
1984-05-01,NA
1984-06-01,105.2
1984-07-01,NA
1984-08-01,106.6
1984-09-01,NA
1984-10-01,107.6
1984-11-01,NA
1984-12-01,108.8
1985-01-01,NA
1985-02-01,109.9
1985-03-01,NA
1985-04-01,111.7
1985-05-01,NA
1985-06-01,112.3
1985-07-01,NA
1985-08-01,113.6
1985-09-01,NA
1985-10-01,114.8
1985-11-01,NA
1985-12-01,116.8
1986-01-01,NA
1986-02-01,117.6
1986-03-01,NA
1986-04-01,120.6
1986-05-01,NA
1986-06-01,121.1
1986-07-01,NA
1986-08-01,123.1
1986-09-01,NA
1986-10-01,124.2
1986-11-01,NA
1986-12-01,125.5
1987-01-01,126.3
1987-02-01,126.4
1987-03-01,126.2
1987-04-01,126.5
1987-05-01,127.8
1987-06-01,128.1
1987-07-01,129.5
1987-08-01,130.5
1987-09-01,131
1987-10-01,131.9
1987-11-01,131.5
1987-12-01,132.6
1988-01-01,133.6
1988-02-01,134.3
1988-03-01,134.2
1988-04-01,134.3
1988-05-01,135.1
1988-06-01,135.6
1988-07-01,136.4
1988-08-01,137.2
1988-09-01,138.2
1988-10-01,138.6
1988-11-01,139.3
1988-12-01,139.7
1989-01-01,141
1989-02-01,140.9
1989-03-01,141.7
1989-04-01,141.7
1989-05-01,142.6
1989-06-01,143.2
1989-07-01,144.1
1989-08-01,145
1989-09-01,145.7
1989-10-01,146.9
1989-11-01,147.4
1989-12-01,147.5
1990-01-01,147.7
1990-02-01,147.6
1990-03-01,148.6
1990-04-01,149.6
1990-05-01,150.4
1990-06-01,150.5
1990-07-01,151.1
1990-08-01,151.9
1990-09-01,152.5
1990-10-01,152.9
1990-11-01,153.4
1990-12-01,153.6
1991-01-01,153.2
1991-02-01,153.3
1991-03-01,153.9
1991-04-01,154.8
1991-05-01,155.2
1991-06-01,155.6
1991-07-01,156.9
1991-08-01,156.4
1991-09-01,156.8
1991-10-01,156.7
1991-11-01,156.7
1991-12-01,157.2
1992-01-01,157.4
1992-02-01,157.9
1992-03-01,159.4
1992-04-01,159.1
1992-05-01,158.9
1992-06-01,158.9
1992-07-01,159.9
1992-08-01,159.6
1992-09-01,159.6
1992-10-01,160.8
1992-11-01,161.1
1992-12-01,160.9
1993-01-01,161.4
1993-02-01,161.7
1993-03-01,162.3
1993-04-01,162.5
1993-05-01,162.9
1993-06-01,163.6
1993-07-01,163.4
1993-08-01,162.9
1993-09-01,162.9
1993-10-01,163.5
1993-11-01,163.6
1993-12-01,164.1
1994-01-01,164.2
1994-02-01,165
1994-03-01,165.3
1994-04-01,165.2
1994-05-01,165.4
1994-06-01,165.7
1994-07-01,165.7
1994-08-01,166.5
1994-09-01,167
1994-10-01,166.7
1994-11-01,167.3
1994-12-01,167.7
1995-01-01,168.4
1995-02-01,168.7
1995-03-01,168.9
1995-04-01,169.3
1995-05-01,169.6
1995-06-01,169.8
1995-07-01,170.1
1995-08-01,170.1
1995-09-01,170.5
1995-10-01,170.8
1995-11-01,171.1
1995-12-01,171.4
1996-01-01,172.1
1996-02-01,172.7
1996-03-01,172.7
1996-04-01,172.9
1996-05-01,173.2
1996-06-01,173.7
1996-07-01,174.5
1996-08-01,174.8
1996-09-01,175.1
1996-10-01,175.5
1996-11-01,176
1996-12-01,176.3
1997-01-01,176.7
1997-02-01,177.3
1997-03-01,177.8
1997-04-01,178.2
1997-05-01,178.7
1997-06-01,179.2
1997-07-01,179.5
1997-08-01,180.1
1997-09-01,180.5
1997-10-01,180.9
1997-11-01,181.3
1997-12-01,181.9
1998-01-01,182.3
1998-02-01,182.8
1998-03-01,182.9
1998-04-01,183
1998-05-01,183.6
1998-06-01,184.2
1998-07-01,184.8
1998-08-01,185.4
1998-09-01,186.1
1998-10-01,186.7
1998-11-01,187.6
1998-12-01,187.9
1999-01-01,188.1
1999-02-01,188.6
1999-03-01,188.9
1999-04-01,189.2
1999-05-01,189.6
1999-06-01,189.7
1999-07-01,190.1
1999-08-01,190.5
1999-09-01,190.9
1999-10-01,191.7
1999-11-01,193.2
1999-12-01,193.9
2000-01-01,195.2
2000-02-01,195.6
2000-03-01,196.3
2000-04-01,196.2
2000-05-01,196.7
2000-06-01,197.2
2000-07-01,198.2
2000-08-01,198.9
2000-09-01,199.8
2000-10-01,200.6
2000-11-01,201.2
2000-12-01,201.8
2001-01-01,202.6
2001-02-01,203.3
2001-03-01,204
2001-04-01,204.7
2001-05-01,205.4
2001-06-01,206.1
2001-07-01,206.7
2001-08-01,207.3
2001-09-01,208.1
2001-10-01,208.6
2001-11-01,209.8
2001-12-01,211
2002-01-01,211.6
2002-02-01,212.8
2002-03-01,213.6
2002-04-01,214.1
2002-05-01,214.7
2002-06-01,215.4
2002-07-01,216.1
2002-08-01,216.9
2002-09-01,217.8
2002-10-01,218.9
2002-11-01,219.7
2002-12-01,220.5
2003-01-01,221.5
2003-02-01,222.2
2003-03-01,222.5
2003-04-01,223.2
2003-05-01,223.6
2003-06-01,224.2
2003-07-01,225.5
2003-08-01,226
2003-09-01,226.9
2003-10-01,227.1
2003-11-01,228.2
2003-12-01,229
2004-01-01,229.5
2004-02-01,230.5
2004-03-01,231.2
2004-04-01,232.4
2004-05-01,233.5
2004-06-01,234
2004-07-01,234.8
2004-08-01,235.5
2004-09-01,236.3
2004-10-01,236.7
2004-11-01,236.9
2004-12-01,237.9
2005-01-01,238.8
2005-02-01,239.7
2005-03-01,240.4
2005-04-01,241.2
2005-05-01,241.9
2005-06-01,243.2
2005-07-01,244.6
2005-08-01,245.3
2005-09-01,246.2
2005-10-01,247.4
2005-11-01,248
2005-12-01,247.7
2006-01-01,248.2
2006-02-01,249.7
2006-03-01,250.5
2006-04-01,251.2
2006-05-01,252.2
2006-06-01,253.2
2006-07-01,253.9
2006-08-01,255.2
2006-09-01,256.5
2006-10-01,257
2006-11-01,258.2
2006-12-01,259.3
2007-01-01,260.24
2007-02-01,260.92
2007-03-01,261.201
2007-04-01,261.833
2007-05-01,262.803
2007-06-01,263.836
2007-07-01,264.106
2007-08-01,264.81
2007-09-01,266.042
2007-10-01,266.946
2007-11-01,267.69
2007-12-01,268.878
2008-01-01,269.763
2008-02-01,270.372
2008-03-01,271.065
2008-04-01,271.852
2008-05-01,272.267
2008-06-01,273.571
2008-07-01,275.313
2008-08-01,276.51
2008-09-01,276.956
2008-10-01,278.39
2008-11-01,279.264
2008-12-01,280.027
2009-01-01,280.655
2009-02-01,281.059
2009-03-01,282.177
2009-04-01,282.663
2009-05-01,283.074
2009-06-01,283.196
2009-07-01,283.326
2009-08-01,283.599
2009-09-01,283.505
2009-10-01,283.553
2009-11-01,284.274
2009-12-01,284.396
2010-01-01,284.564
2010-02-01,284.82
2010-03-01,285.441
2010-04-01,285.635
2010-05-01,286.038
2010-06-01,286.881
2010-07-01,288.123
2010-08-01,289.003
2010-09-01,289.176
2010-10-01,289.65
2010-11-01,289.958
2010-12-01,290.183
2011-01-01,289.91
2011-02-01,290.256
2011-03-01,291.306
2011-04-01,291.612
2011-05-01,291.893
2011-06-01,292.746
2011-07-01,293.597
2011-08-01,294.568
2011-09-01,295.088
2011-10-01,295.974
2011-11-01,296.43
2011-12-01,296.487
2012-01-01,297.481
2012-02-01,297.495
2012-03-01,298.057
2012-04-01,298.71
2012-05-01,299.623
2012-06-01,300.242
2012-07-01,300.89
2012-08-01,301.813
2012-09-01,302.463
2012-10-01,303.026
2012-11-01,303.148
2012-12-01,303.907
2013-01-01,304.407
2013-02-01,305.518
2013-03-01,306.762
2013-04-01,306.78
2013-05-01,307.775
2013-06-01,308.314
2013-07-01,308.622
2013-08-01,309.74
2013-09-01,310.267
2013-10-01,311.202
2013-11-01,311.745
2013-12-01,312.489
2014-01-01,313.545
2014-02-01,313.335
2014-03-01,314.109
2014-04-01,314.988
2014-05-01,315.883
2014-06-01,316.277
2014-07-01,316.988
2014-08-01,318.041
2014-09-01,318.594
2014-10-01,319.098
2014-11-01,320.069
2014-12-01,320.606
2015-01-01,321.124
2015-02-01,321.961
2015-03-01,322.538
2015-04-01,322.634
2015-05-01,323.764
2015-06-01,324.535
2015-07-01,325.712
2015-08-01,326.086
2015-09-01,328.146
2015-10-01,328.864
2015-11-01,329.456
2015-12-01,330.296
2016-01-01,330.856
2016-02-01,331.634
2016-03-01,332.072
2016-04-01,332.609
2016-05-01,333.497
2016-06-01,333.885
2016-07-01,334.853
2016-08-01,335.487
2016-09-01,336.255
2016-10-01,337.863
2016-11-01,338.469
2016-12-01,339.53
2017-01-01,339.655
2017-02-01,340.285
2017-03-01,340.886
2017-04-01,341.162
2017-05-01,341.964
2017-06-01,342.498
2017-07-01,342.804
2017-08-01,344.403
2017-09-01,344.669
2017-10-01,345.343
2017-11-01,346.118
2017-12-01,346.92
2018-01-01,347.888
2018-02-01,348.355
2018-03-01,349.161
2018-04-01,349.889
2018-05-01,350.585
2018-06-01,350.756
2018-07-01,351.404
2018-08-01,352.801
2018-09-01,352.964
2018-10-01,353.833
2018-11-01,354.649
2018-12-01,355.513
2019-01-01,356.335
2019-02-01,357.009
2019-03-01,357.883
2019-04-01,359.58
2019-05-01,360.075
2019-06-01,361.358
2019-07-01,362.099
2019-08-01,363.327
2019-09-01,364.306
2019-10-01,364.141
2019-11-01,365.561
2019-12-01,366.084
2020-01-01,367.151
2020-02-01,367.584
2020-03-01,368.227
2020-04-01,369.142
2020-05-01,369.469
2020-06-01,369.973
2020-07-01,370.379
2020-08-01,370.806
2020-09-01,371.903
2020-10-01,371.893
2020-11-01,372.793
2020-12-01,372.69
2021-01-01,372.819
2021-02-01,373.037
2021-03-01,373.351
2021-04-01,373.814
2021-05-01,374.233
2021-06-01,374.726
2021-07-01,374.519
2021-08-01,375.419
2021-09-01,376.101
2021-10-01,376.831
2021-11-01,377.717
2021-12-01,378.897
2022-01-01,380.092
2022-02-01,381.549
2022-03-01,382.076
2022-04-01,383.169
2022-05-01,384.67
2022-06-01,386.924
2022-07-01,388.189
2022-08-01,390.595
2022-09-01,393.01
2022-10-01,394.859
2022-11-01,397.558
2022-12-01,400.696
2023-01-01,403.654
