"Date","APU0000FC1101"
2022-02-01,5.199
2022-03-01,5.342
2022-04-01,5.414
2022-05-01,5.332
2022-06-01,5.402
2022-07-01,5.426
2022-08-01,5.456
2022-09-01,5.332
2022-10-01,5.298
2022-11-01,5.206
2022-12-01,5.186
2023-01-01,5.171
2023-02-01,5.207
2023-03-01,5.194
2023-04-01,5.247
2023-05-01,5.355
2023-06-01,5.435
2023-07-01,5.537
2023-08-01,5.554
2023-09-01,5.57
2023-10-01,5.666
2023-11-01,5.643
