"Date","CUUR0000SEED"
2022-03-01,94.339
2022-04-01,94.482
2022-05-01,94.454
2022-06-01,94.374
2022-07-01,94.34
2022-08-01,94.356
2022-09-01,94.385
2022-10-01,94.25
2022-11-01,96.216
2022-12-01,96.508
2023-01-01,96.709
2023-02-01,96.675
2023-03-01,96.258
2023-04-01,96.283
2023-05-01,95.771
2023-06-01,94.608
2023-07-01,94.727
2023-08-01,94.567
2023-09-01,94.475
2023-10-01,94.602
2023-11-01,94.605
