"Date","CUSR0000SAS367"
1967-01-01,35.3
1967-02-01,35.4
1967-03-01,35.5
1967-04-01,35.6
1967-05-01,35.8
1967-06-01,35.9
1967-07-01,36
1967-08-01,36.1
1967-09-01,36.3
1967-10-01,36.4
1967-11-01,36.7
1967-12-01,36.8
1968-01-01,36.9
1968-02-01,37.1
1968-03-01,37.5
1968-04-01,37.7
1968-05-01,37.9
1968-06-01,38.1
1968-07-01,38.1
1968-08-01,38.3
1968-09-01,38.5
1968-10-01,38.7
1968-11-01,38.9
1968-12-01,39
1969-01-01,39.1
1969-02-01,39.1
1969-03-01,39.3
1969-04-01,39.5
1969-05-01,39.7
1969-06-01,39.8
1969-07-01,40
1969-08-01,40.3
1969-09-01,40.4
1969-10-01,40.5
1969-11-01,40.7
1969-12-01,40.9
1970-01-01,41.1
1970-02-01,41.2
1970-03-01,41.3
1970-04-01,41.6
1970-05-01,41.9
1970-06-01,42.2
1970-07-01,42.4
1970-08-01,42.6
1970-09-01,42.7
1970-10-01,43
1970-11-01,43.1
1970-12-01,43.3
1971-01-01,43.7
1971-02-01,43.8
1971-03-01,43.9
1971-04-01,44
1971-05-01,44.2
1971-06-01,44.4
1971-07-01,44.5
1971-08-01,44.5
1971-09-01,44.8
1971-10-01,44.9
1971-11-01,44.9
1971-12-01,44.9
1972-01-01,45
1972-02-01,45.1
1972-03-01,45.2
1972-04-01,45.3
1972-05-01,45.4
1972-06-01,45.6
1972-07-01,45.7
1972-08-01,45.7
1972-09-01,45.9
1972-10-01,46
1972-11-01,46.2
1972-12-01,46.3
1973-01-01,46.4
1973-02-01,46.6
1973-03-01,46.8
1973-04-01,47.1
1973-05-01,47.3
1973-06-01,47.6
1973-07-01,47.8
1973-08-01,48
1973-09-01,48.2
1973-10-01,48.5
1973-11-01,48.8
1973-12-01,49
1974-01-01,49.2
1974-02-01,49.5
1974-03-01,49.8
1974-04-01,50.1
1974-05-01,50.8
1974-06-01,51.2
1974-07-01,51.6
1974-08-01,51.9
1974-09-01,52.3
1974-10-01,52.6
1974-11-01,53.1
1974-12-01,53.5
1975-01-01,53.8
1975-02-01,54.2
1975-03-01,54.3
1975-04-01,54.5
1975-05-01,54.7
1975-06-01,54.9
1975-07-01,55.1
1975-08-01,55.3
1975-09-01,55.6
1975-10-01,55.8
1975-11-01,56.1
1975-12-01,56.3
1976-01-01,56.6
1976-02-01,57
1976-03-01,57.3
1976-04-01,57.6
1976-05-01,57.9
1976-06-01,58.2
1976-07-01,58.6
1976-08-01,58.9
1976-09-01,59.1
1976-10-01,59.5
1976-11-01,59.8
1976-12-01,60.1
1977-01-01,60.4
1977-02-01,60.7
1977-03-01,60.9
1977-04-01,61.2
1977-05-01,61.5
1977-06-01,61.9
1977-07-01,62.3
1977-08-01,62.5
1977-09-01,62.7
1977-10-01,63.1
1977-11-01,63.5
1977-12-01,63.8
1978-01-01,64.3
1978-02-01,64.7
1978-03-01,65
1978-04-01,65.5
1978-05-01,65.9
1978-06-01,66.2
1978-07-01,66.7
1978-08-01,67
1978-09-01,67.6
1978-10-01,68.1
1978-11-01,68.4
1978-12-01,68.8
1979-01-01,69.3
1979-02-01,69.6
1979-03-01,70.2
1979-04-01,70.8
1979-05-01,71.4
1979-06-01,71.8
1979-07-01,72.3
1979-08-01,72.8
1979-09-01,73.2
1979-10-01,73.5
1979-11-01,74
1979-12-01,74.4
1980-01-01,75.1
1980-02-01,75.9
1980-03-01,76.7
1980-04-01,77.3
1980-05-01,78
1980-06-01,78.5
1980-07-01,79.1
1980-08-01,79.6
1980-09-01,80.6
1980-10-01,81.1
1980-11-01,81.4
1980-12-01,82
1981-01-01,82.8
1981-02-01,83.6
1981-03-01,84
1981-04-01,84.5
1981-05-01,85
1981-06-01,85.6
1981-07-01,86.2
1981-08-01,86.9
1981-09-01,87.9
1981-10-01,88.5
1981-11-01,89.1
1981-12-01,89.6
1982-01-01,90.4
1982-02-01,91
1982-03-01,91.5
1982-04-01,92.1
1982-05-01,92.5
1982-06-01,93.1
1982-07-01,93.7
1982-08-01,94.4
1982-09-01,95.2
1982-10-01,95.9
1982-11-01,96.4
1982-12-01,96.9
1983-01-01,97.5
1983-02-01,98.1
1983-03-01,98.4
1983-04-01,98.9
1983-05-01,99.3
1983-06-01,99.9
1983-07-01,100.3
1983-08-01,100.7
1983-09-01,101
1983-10-01,101.9
1983-11-01,102.5
1983-12-01,103.1
1984-01-01,103.5
1984-02-01,104.1
1984-03-01,104.7
1984-04-01,105.1
1984-05-01,105.7
1984-06-01,106.4
1984-07-01,106.8
1984-08-01,107.4
1984-09-01,108.2
1984-10-01,108.7
1984-11-01,109.3
1984-12-01,109.9
1985-01-01,110.4
1985-02-01,110.8
1985-03-01,111.3
1985-04-01,111.8
1985-05-01,112.4
1985-06-01,113
1985-07-01,113.6
1985-08-01,113.9
1985-09-01,114.4
1985-10-01,115
1985-11-01,115.6
1985-12-01,116
1986-01-01,116.8
1986-02-01,117.4
1986-03-01,117.7
1986-04-01,118.2
1986-05-01,118.7
1986-06-01,119.2
1986-07-01,119.7
1986-08-01,119.9
1986-09-01,121.1
1986-10-01,121.5
1986-11-01,122
1986-12-01,122.4
1987-01-01,122.9
1987-02-01,123.3
1987-03-01,123.7
1987-04-01,124.3
1987-05-01,124.9
1987-06-01,125.2
1987-07-01,125.9
1987-08-01,126.1
1987-09-01,127
1987-10-01,127.9
1987-11-01,128.3
1987-12-01,128.7
1988-01-01,129.3
1988-02-01,130.1
1988-03-01,130.8
1988-04-01,131.4
1988-05-01,131.7
1988-06-01,132.3
1988-07-01,132.8
1988-08-01,133.6
1988-09-01,133.8
1988-10-01,134.6
1988-11-01,135.1
1988-12-01,135.8
1989-01-01,137
1989-02-01,137.7
1989-03-01,138.4
1989-04-01,139.2
1989-05-01,139.8
1989-06-01,140.7
1989-07-01,141.3
1989-08-01,142.1
1989-09-01,142.7
1989-10-01,143.2
1989-11-01,144
1989-12-01,145
1990-01-01,145.8
1990-02-01,146.5
1990-03-01,147.3
1990-04-01,148
1990-05-01,149.1
1990-06-01,149.8
1990-07-01,150.6
1990-08-01,151.6
1990-09-01,152.4
1990-10-01,152.8
1990-11-01,153.7
1990-12-01,154.4
1991-01-01,155.2
1991-02-01,156.1
1991-03-01,156.8
1991-04-01,157.7
1991-05-01,158.5
1991-06-01,159.2
1991-07-01,160.2
1991-08-01,160.8
1991-09-01,162.4
1991-10-01,163
1991-11-01,163.6
1991-12-01,164
1992-01-01,164.4
1992-02-01,165.4
1992-03-01,166.1
1992-04-01,166.7
1992-05-01,167.3
1992-06-01,168.1
1992-07-01,168.7
1992-08-01,169.5
1992-09-01,170.3
1992-10-01,171.1
1992-11-01,171.7
1992-12-01,172.5
1993-01-01,173
1993-02-01,173.7
1993-03-01,174.3
1993-04-01,175.1
1993-05-01,175.8
1993-06-01,176.6
1993-07-01,177.1
1993-08-01,177.8
1993-09-01,178.9
1993-10-01,179.7
1993-11-01,180.6
1993-12-01,181.2
1994-01-01,182
1994-02-01,182.9
1994-03-01,183.4
1994-04-01,184.1
1994-05-01,184.5
1994-06-01,185.3
1994-07-01,185.8
1994-08-01,186.1
1994-09-01,186.7
1994-10-01,187.4
1994-11-01,188.3
1994-12-01,188.6
1995-01-01,189.4
1995-02-01,190.8
1995-03-01,191.3
1995-04-01,191.9
1995-05-01,192.4
1995-06-01,192.5
1995-07-01,193.1
1995-08-01,193.9
1995-09-01,195.1
1995-10-01,195.5
1995-11-01,196.3
1995-12-01,197
1996-01-01,197.9
1996-02-01,198.9
1996-03-01,199.3
1996-04-01,199.9
1996-05-01,200.5
1996-06-01,201.1
1996-07-01,201.6
1996-08-01,202
1996-09-01,202.8
1996-10-01,203.3
1996-11-01,204.1
1996-12-01,204.7
1997-01-01,205.7
1997-02-01,206.5
1997-03-01,207.4
1997-04-01,208
1997-05-01,208.7
1997-06-01,209.7
1997-07-01,210.2
1997-08-01,210.8
1997-09-01,211
1997-10-01,211.8
1997-11-01,212.1
1997-12-01,212.8
1998-01-01,213.7
1998-02-01,214.2
1998-03-01,215.1
1998-04-01,215.7
1998-05-01,216.4
1998-06-01,217
1998-07-01,217.4
1998-08-01,217.5
1998-09-01,218.3
1998-10-01,218.6
1998-11-01,219.3
1998-12-01,219.6
1999-01-01,220.2
1999-02-01,220.8
1999-03-01,221.2
1999-04-01,221.8
1999-05-01,222.2
1999-06-01,222.7
1999-07-01,223.2
1999-08-01,223.8
1999-09-01,224.2
1999-10-01,224.8
1999-11-01,225.8
1999-12-01,226.5
2000-01-01,227.4
2000-02-01,227.2
2000-03-01,227.7
2000-04-01,228.1
2000-05-01,228.7
2000-06-01,229.2
2000-07-01,230.5
2000-08-01,231.2
2000-09-01,230.9
2000-10-01,232.1
2000-11-01,232.2
2000-12-01,233.1
2001-01-01,234
2001-02-01,234.6
2001-03-01,235.4
2001-04-01,236.3
2001-05-01,236.8
2001-06-01,237.3
2001-07-01,238.3
2001-08-01,239.3
2001-09-01,239.8
2001-10-01,240.8
2001-11-01,241.6
2001-12-01,242.1
2002-01-01,242.8
2002-02-01,243.3
2002-03-01,243.5
2002-04-01,244
2002-05-01,245
2002-06-01,245.7
2002-07-01,247.1
2002-08-01,248.1
2002-09-01,248.3
2002-10-01,249
2002-11-01,249.6
2002-12-01,250.3
2003-01-01,251.3
2003-02-01,252.3
2003-03-01,252.6
2003-04-01,252.7
2003-05-01,253.4
2003-06-01,253.7
2003-07-01,254.5
2003-08-01,255.4
2003-09-01,256.1
2003-10-01,256.5
2003-11-01,256.8
2003-12-01,257.5
2004-01-01,258.3
2004-02-01,259.1
2004-03-01,259.6
2004-04-01,259.9
2004-05-01,260.1
2004-06-01,260.9
2004-07-01,261.4
2004-08-01,261.8
2004-09-01,262.8
2004-10-01,262.8
2004-11-01,263.6
2004-12-01,264.3
2005-01-01,265
2005-02-01,265.7
2005-03-01,266.2
2005-04-01,267
2005-05-01,267.5
2005-06-01,267.5
2005-07-01,268.1
2005-08-01,268.6
2005-09-01,270.1
2005-10-01,270.6
2005-11-01,271.5
2005-12-01,272.3
2006-01-01,273.3
2006-02-01,273.9
2006-03-01,274.9
2006-04-01,275.8
2006-05-01,276.4
2006-06-01,277.4
2006-07-01,278.2
2006-08-01,278.8
2006-09-01,279.6
2006-10-01,280.3
2006-11-01,280.5
2006-12-01,280.9
2007-01-01,281.307
2007-02-01,281.928
2007-03-01,282.694
2007-04-01,283.685
2007-05-01,285.158
2007-06-01,285.451
2007-07-01,285.796
2007-08-01,286.153
2007-09-01,287.229
2007-10-01,288.336
2007-11-01,289.008
2007-12-01,289.896
2008-01-01,291
2008-02-01,291.506
2008-03-01,292.493
2008-04-01,293.387
2008-05-01,294.522
2008-06-01,295.405
2008-07-01,296.511
2008-08-01,297.526
2008-09-01,298.369
2008-10-01,298.988
2008-11-01,299.524
2008-12-01,300.085
2009-01-01,300.748
