"Date","CUSR0000SAE2"
2010-01-01,84.972
2010-02-01,84.849
2010-03-01,84.868
2010-04-01,84.84
2010-05-01,84.738
2010-06-01,84.622
2010-07-01,84.682
2010-08-01,84.735
2010-09-01,84.749
2010-10-01,84.602
2010-11-01,84.506
2010-12-01,84.019
2011-01-01,83.833
2011-02-01,83.708
2011-03-01,83.588
2011-04-01,83.49
2011-05-01,83.382
2011-06-01,83.298
2011-07-01,83.178
2011-08-01,83.13
2011-09-01,83.109
2011-10-01,83.146
2011-11-01,83.13
2011-12-01,83.124
2012-01-01,83.384
2012-02-01,83.352
2012-03-01,83.269
2012-04-01,83.29
2012-05-01,83.48
2012-06-01,83.439
2012-07-01,83.076
2012-08-01,82.683
2012-09-01,82.647
2012-10-01,82.704
2012-11-01,82.684
2012-12-01,82.688
2013-01-01,82.873
2013-02-01,83.053
2013-03-01,83.051
2013-04-01,82.538
2013-05-01,82.536
2013-06-01,82.414
2013-07-01,82.344
2013-08-01,82.39
2013-09-01,82.559
2013-10-01,82.572
2013-11-01,82.484
2013-12-01,82.525
2014-01-01,82.653
2014-02-01,82.381
2014-03-01,82.334
2014-04-01,82.379
2014-05-01,82.338
2014-06-01,82.298
2014-07-01,82.389
2014-08-01,82.342
2014-09-01,82.184
2014-10-01,81.483
2014-11-01,81.095
2014-12-01,80.831
2015-01-01,80.73
2015-02-01,80.536
2015-03-01,80.317
2015-04-01,80.228
2015-05-01,79.9
2015-06-01,79.835
2015-07-01,79.82
2015-08-01,79.928
2015-09-01,80.129
2015-10-01,80.275
2015-11-01,80.425
2015-12-01,80.329
2016-01-01,80.347
2016-02-01,79.974
2016-03-01,80.026
2016-04-01,79.914
2016-05-01,79.565
2016-06-01,79.369
2016-07-01,79.21
2016-08-01,79.2
2016-09-01,78.584
2016-10-01,78.192
2016-11-01,78.265
2016-12-01,78.182
2017-01-01,78.212
2017-02-01,77.823
2017-03-01,75.25
2017-04-01,74.801
2017-05-01,74.598
2017-06-01,74.357
2017-07-01,74.121
2017-08-01,74.002
2017-09-01,74.007
2017-10-01,74.187
2017-11-01,74.335
2017-12-01,74.36
2018-01-01,74.362
2018-02-01,73.983
2018-03-01,73.856
2018-04-01,73.791
2018-05-01,73.988
2018-06-01,74.127
2018-07-01,74.174
2018-08-01,73.991
2018-09-01,74.113
2018-10-01,73.878
2018-11-01,73.048
2018-12-01,73.026
2019-01-01,73.11
2019-02-01,73.064
2019-03-01,72.916
2019-04-01,73.015
2019-05-01,72.979
2019-06-01,73.033
2019-07-01,73.223
2019-08-01,73.284
2019-09-01,73.213
2019-10-01,73.205
2019-11-01,73.589
2019-12-01,73.557
2020-01-01,73.797
2020-02-01,73.763
2020-03-01,73.695
2020-04-01,73.838
2020-05-01,73.786
2020-06-01,73.656
2020-07-01,74.988
2020-08-01,75.285
2020-09-01,75.202
2020-10-01,75.238
2020-11-01,75.314
2020-12-01,75.319
2021-01-01,75.366
2021-02-01,75.384
2021-03-01,75.234
2021-04-01,75.617
2021-05-01,75.716
2021-06-01,75.751
2021-07-01,75.818
2021-08-01,76.078
2021-09-01,76.366
2021-10-01,76.398
2021-11-01,76.285
2021-12-01,76.301
2022-01-01,76.293
2022-02-01,76.247
2022-03-01,75.851
2022-04-01,75.567
2022-05-01,75.339
2022-06-01,75.314
2022-07-01,75.069
2022-08-01,74.992
2022-09-01,74.917
2022-10-01,74.748
2022-11-01,75.453
2022-12-01,75.452
2023-01-01,75.75
2023-02-01,75.768
2023-03-01,75.734
2023-04-01,75.654
2023-05-01,75.413
2023-06-01,75.067
2023-07-01,74.973
2023-08-01,74.87
2023-09-01,74.845
2023-10-01,74.618
2023-11-01,74.205
