"Date","CWSR0000SA0"
1947-01-01,21.6
1947-02-01,21.74
1947-03-01,22.12
1947-04-01,22.12
1947-05-01,22.08
1947-06-01,22.2
1947-07-01,22.36
1947-08-01,22.53
1947-09-01,22.97
1947-10-01,23.04
1947-11-01,23.19
1947-12-01,23.54
1948-01-01,23.81
1948-02-01,23.8
1948-03-01,23.64
1948-04-01,23.95
1948-05-01,24.14
1948-06-01,24.29
1948-07-01,24.54
1948-08-01,24.57
1948-09-01,24.49
1948-10-01,24.44
1948-11-01,24.3
1948-12-01,24.18
1949-01-01,24.15
1949-02-01,24.05
1949-03-01,24.04
1949-04-01,24.05
1949-05-01,24.04
1949-06-01,24.05
1949-07-01,23.84
1949-08-01,23.83
1949-09-01,23.88
1949-10-01,23.8
1949-11-01,23.83
1949-12-01,23.75
1950-01-01,23.64
1950-02-01,23.74
1950-03-01,23.77
1950-04-01,23.78
1950-05-01,23.91
1950-06-01,24.02
1950-07-01,24.21
1950-08-01,24.33
1950-09-01,24.48
1950-10-01,24.63
1950-11-01,24.74
1950-12-01,25.12
1951-01-01,25.52
1951-02-01,25.98
1951-03-01,26.03
1951-04-01,26.06
1951-05-01,26.14
1951-06-01,26.08
1951-07-01,26.06
1951-08-01,26.01
1951-09-01,26.18
1951-10-01,26.31
1951-11-01,26.47
1951-12-01,26.62
1952-01-01,26.6
1952-02-01,26.56
1952-03-01,26.54
1952-04-01,26.61
1952-05-01,26.62
1952-06-01,26.68
1952-07-01,26.83
1952-08-01,26.84
1952-09-01,26.78
1952-10-01,26.84
1952-11-01,26.84
1952-12-01,26.86
1953-01-01,26.79
1953-02-01,26.74
1953-03-01,26.78
1953-04-01,26.84
1953-05-01,26.85
1953-06-01,26.92
1953-07-01,26.94
1953-08-01,27.01
1953-09-01,27.04
1953-10-01,27.11
1953-11-01,27.01
1953-12-01,27.03
1954-01-01,27.09
1954-02-01,27.14
1954-03-01,27.08
1954-04-01,27.01
1954-05-01,27.09
1954-06-01,27.09
1954-07-01,27.01
1954-08-01,27.01
1954-09-01,26.96
1954-10-01,26.87
1954-11-01,26.93
1954-12-01,26.92
1955-01-01,26.92
1955-02-01,26.97
1955-03-01,26.94
1955-04-01,26.94
1955-05-01,26.92
1955-06-01,26.86
1955-07-01,26.91
1955-08-01,26.87
1955-09-01,27
1955-10-01,26.97
1955-11-01,27.03
1955-12-01,27.02
1956-01-01,26.98
1956-02-01,27.01
1956-03-01,27.05
1956-04-01,27.08
1956-05-01,27.19
1956-06-01,27.3
1956-07-01,27.44
1956-08-01,27.47
1956-09-01,27.5
1956-10-01,27.67
1956-11-01,27.67
1956-12-01,27.79
1957-01-01,27.82
1957-02-01,27.96
1957-03-01,28.02
1957-04-01,28.09
1957-05-01,28.16
1957-06-01,28.27
1957-07-01,28.35
1957-08-01,28.44
1957-09-01,28.48
1957-10-01,28.48
1957-11-01,28.57
1957-12-01,28.63
1958-01-01,28.8
1958-02-01,28.86
1958-03-01,29.04
1958-04-01,29.1
1958-05-01,29.1
1958-06-01,29.08
1958-07-01,29.05
1958-08-01,29.11
1958-09-01,29.08
1958-10-01,29.08
1958-11-01,29.11
1958-12-01,29.14
1959-01-01,29.17
1959-02-01,29.16
1959-03-01,29.14
1959-04-01,29.14
1959-05-01,29.2
1959-06-01,29.28
1959-07-01,29.32
1959-08-01,29.34
1959-09-01,29.41
1959-10-01,29.51
1959-11-01,29.51
1959-12-01,29.57
1960-01-01,29.54
1960-02-01,29.57
1960-03-01,29.57
1960-04-01,29.71
1960-05-01,29.74
1960-06-01,29.78
1960-07-01,29.72
1960-08-01,29.78
1960-09-01,29.78
1960-10-01,29.92
1960-11-01,29.95
1960-12-01,29.98
1961-01-01,30.01
1961-02-01,30.01
1961-03-01,30.01
1961-04-01,29.98
1961-05-01,30.01
1961-06-01,30.01
1961-07-01,30.09
1961-08-01,30.11
1961-09-01,30.15
1961-10-01,30.15
1961-11-01,30.15
1961-12-01,30.18
1962-01-01,30.21
1962-02-01,30.28
1962-03-01,30.35
1962-04-01,30.38
1962-05-01,30.41
1962-06-01,30.38
1962-07-01,30.39
1962-08-01,30.45
1962-09-01,30.59
1962-10-01,30.55
1962-11-01,30.55
1962-12-01,30.55
1963-01-01,30.61
1963-02-01,30.65
1963-03-01,30.68
1963-04-01,30.65
1963-05-01,30.68
1963-06-01,30.79
1963-07-01,30.86
1963-08-01,30.92
1963-09-01,30.89
1963-10-01,30.92
1963-11-01,30.96
1963-12-01,31.05
1964-01-01,31.12
1964-02-01,31.08
1964-03-01,31.12
1964-04-01,31.12
1964-05-01,31.15
1964-06-01,31.19
1964-07-01,31.19
1964-08-01,31.22
1964-09-01,31.26
1964-10-01,31.29
1964-11-01,31.39
1964-12-01,31.42
1965-01-01,31.45
1965-02-01,31.45
1965-03-01,31.49
1965-04-01,31.56
1965-05-01,31.65
1965-06-01,31.79
1965-07-01,31.76
1965-08-01,31.73
1965-09-01,31.8
1965-10-01,31.83
1965-11-01,31.93
1965-12-01,32.03
1966-01-01,32.06
1966-02-01,32.26
1966-03-01,32.36
1966-04-01,32.46
1966-05-01,32.53
1966-06-01,32.56
1966-07-01,32.64
1966-08-01,32.83
1966-09-01,32.93
1966-10-01,33.03
1966-11-01,33.07
1966-12-01,33.1
1967-01-01,33.1
1967-02-01,33.2
1967-03-01,33.2
1967-04-01,33.3
1967-05-01,33.3
1967-06-01,33.5
1967-07-01,33.6
1967-08-01,33.7
1967-09-01,33.8
1967-10-01,33.9
1967-11-01,34
1967-12-01,34.1
1968-01-01,34.3
1968-02-01,34.4
1968-03-01,34.5
1968-04-01,34.6
1968-05-01,34.7
1968-06-01,34.9
1968-07-01,35
1968-08-01,35.2
1968-09-01,35.3
1968-10-01,35.5
1968-11-01,35.6
1968-12-01,35.8
1969-01-01,35.9
1969-02-01,36
1969-03-01,36.3
1969-04-01,36.5
1969-05-01,36.6
1969-06-01,36.8
1969-07-01,37
1969-08-01,37.1
1969-09-01,37.3
1969-10-01,37.5
1969-11-01,37.7
1969-12-01,37.9
1970-01-01,38.1
1970-02-01,38.3
1970-03-01,38.5
1970-04-01,38.7
1970-05-01,38.8
1970-06-01,39
1970-07-01,39.1
1970-08-01,39.2
1970-09-01,39.4
1970-10-01,39.6
1970-11-01,39.8
1970-12-01,40
1971-01-01,40.1
1971-02-01,40.2
1971-03-01,40.2
1971-04-01,40.4
1971-05-01,40.5
1971-06-01,40.7
1971-07-01,40.9
1971-08-01,41
1971-09-01,41
1971-10-01,41.1
1971-11-01,41.2
1971-12-01,41.4
1972-01-01,41.5
1972-02-01,41.6
1972-03-01,41.7
1972-04-01,41.7
1972-05-01,41.8
1972-06-01,41.9
1972-07-01,42.1
1972-08-01,42.2
1972-09-01,42.3
1972-10-01,42.5
1972-11-01,42.6
1972-12-01,42.8
1973-01-01,43
1973-02-01,43.2
1973-03-01,43.6
1973-04-01,43.9
1973-05-01,44.2
1973-06-01,44.4
1973-07-01,44.5
1973-08-01,45.3
1973-09-01,45.4
1973-10-01,45.8
1973-11-01,46.2
1973-12-01,46.5
1974-01-01,47
1974-02-01,47.6
1974-03-01,48.1
1974-04-01,48.3
1974-05-01,48.8
1974-06-01,49.2
1974-07-01,49.6
1974-08-01,50.2
1974-09-01,50.9
1974-10-01,51.3
1974-11-01,51.8
1974-12-01,52.2
1975-01-01,52.6
1975-02-01,52.9
1975-03-01,53.1
