"Date","CUURA400SA0"
1977-12-01,61.3
1978-01-01,NA
1978-02-01,62
1978-03-01,NA
1978-04-01,63.2
1978-05-01,NA
1978-06-01,64.7
1978-07-01,NA
1978-08-01,65.6
1978-09-01,NA
1978-10-01,66.4
1978-11-01,NA
1978-12-01,66.1
1979-01-01,NA
1979-02-01,67.5
1979-03-01,NA
1979-04-01,69.5
1979-05-01,NA
1979-06-01,71.1
1979-07-01,NA
1979-08-01,72.8
1979-09-01,NA
1979-10-01,74.1
1979-11-01,NA
1979-12-01,76.5
1980-01-01,NA
1980-02-01,79.5
1980-03-01,NA
1980-04-01,81.4
1980-05-01,NA
1980-06-01,83.5
1980-07-01,NA
1980-08-01,83.1
1980-09-01,NA
1980-10-01,84.4
1980-11-01,NA
1980-12-01,86.3
1981-01-01,NA
1981-02-01,87.5
1981-03-01,NA
1981-04-01,89.4
1981-05-01,NA
1981-06-01,90.5
1981-07-01,NA
1981-08-01,93.5
1981-09-01,NA
1981-10-01,95.9
1981-11-01,NA
1981-12-01,95.7
1982-01-01,NA
1982-02-01,96.8
1982-03-01,NA
1982-04-01,97.2
1982-05-01,NA
1982-06-01,98.6
1982-07-01,NA
1982-08-01,98.3
1982-09-01,NA
1982-10-01,98.3
1982-11-01,NA
1982-12-01,96.2
1983-01-01,NA
1983-02-01,96.8
1983-03-01,NA
1983-04-01,97.6
1983-05-01,NA
1983-06-01,99
1983-07-01,NA
1983-08-01,99.8
1983-09-01,NA
1983-10-01,100.3
1983-11-01,NA
1983-12-01,100.6
1984-01-01,NA
1984-02-01,101.6
1984-03-01,NA
1984-04-01,102.5
1984-05-01,NA
1984-06-01,103.4
1984-07-01,NA
1984-08-01,104.4
1984-09-01,NA
1984-10-01,105.6
1984-11-01,NA
1984-12-01,105.5
1985-01-01,NA
1985-02-01,106.4
1985-03-01,NA
1985-04-01,107.1
1985-05-01,NA
1985-06-01,108
1985-07-01,NA
1985-08-01,109.2
1985-09-01,NA
1985-10-01,109.8
1985-11-01,NA
1985-12-01,110
1986-01-01,NA
1986-02-01,110.3
1986-03-01,NA
1986-04-01,110.1
1986-05-01,NA
1986-06-01,111.5
1986-07-01,NA
1986-08-01,111.6
1986-09-01,NA
1986-10-01,113
1986-11-01,NA
1986-12-01,112
1987-01-01,112.6
1987-02-01,113.6
1987-03-01,114.1
1987-04-01,114.8
1987-05-01,115.3
1987-06-01,115.2
1987-07-01,115.4
1987-08-01,116
1987-09-01,116.7
1987-10-01,117.1
1987-11-01,117
1987-12-01,117.2
1988-01-01,117.9
1988-02-01,118.2
1988-03-01,118.9
1988-04-01,119.2
1988-05-01,120.1
1988-06-01,120.2
1988-07-01,120.5
1988-08-01,121.1
1988-09-01,121.7
1988-10-01,122.2
1988-11-01,122.3
1988-12-01,122.5
1989-01-01,123.3
1989-02-01,123.7
1989-03-01,124.7
1989-04-01,125.3
1989-05-01,126.2
1989-06-01,126.3
1989-07-01,126.9
1989-08-01,127.1
1989-09-01,127.5
1989-10-01,127.8
1989-11-01,127.8
1989-12-01,128.3
1990-01-01,129.5
1990-02-01,130.6
1990-03-01,131.5
1990-04-01,131.5
1990-05-01,132
1990-06-01,132.6
1990-07-01,133.1
1990-08-01,133.9
1990-09-01,135.3
1990-10-01,136
1990-11-01,136.2
1990-12-01,136.7
1991-01-01,137.8
1991-02-01,137.5
1991-03-01,137.4
1991-04-01,137.8
1991-05-01,138.1
1991-06-01,138.7
1991-07-01,139.2
1991-08-01,139.7
1991-09-01,140.4
1991-10-01,140.5
1991-11-01,140.9
1991-12-01,140.8
1992-01-01,141.8
1992-02-01,142.4
1992-03-01,143
