"Date","CUURA311SAH"
1996-11-01,100
1996-12-01,NA
1997-01-01,100.4
1997-02-01,NA
1997-03-01,100.6
1997-04-01,NA
1997-05-01,100.4
1997-06-01,NA
1997-07-01,102.4
1997-08-01,NA
1997-09-01,101.9
1997-10-01,NA
1997-11-01,99.9
1997-12-01,NA
1998-01-01,100.9
1998-02-01,NA
1998-03-01,101.8
1998-04-01,NA
1998-05-01,101.5
1998-06-01,NA
1998-07-01,105.2
1998-08-01,NA
1998-09-01,105.5
1998-10-01,NA
1998-11-01,103.1
1998-12-01,NA
1999-01-01,103.8
1999-02-01,NA
1999-03-01,104.5
1999-04-01,NA
1999-05-01,104
1999-06-01,NA
1999-07-01,107.4
1999-08-01,NA
1999-09-01,107.2
1999-10-01,NA
1999-11-01,105.5
1999-12-01,NA
2000-01-01,106.1
2000-02-01,NA
2000-03-01,107.5
2000-04-01,NA
2000-05-01,106.8
2000-06-01,NA
2000-07-01,110.5
2000-08-01,NA
2000-09-01,110.8
2000-10-01,NA
2000-11-01,110.2
2000-12-01,NA
2001-01-01,111.4
2001-02-01,NA
2001-03-01,112
2001-04-01,NA
2001-05-01,111.7
2001-06-01,NA
2001-07-01,114.3
2001-08-01,NA
2001-09-01,114.7
2001-10-01,NA
2001-11-01,113.4
2001-12-01,NA
2002-01-01,114.7
2002-02-01,NA
2002-03-01,115.7
2002-04-01,NA
2002-05-01,116.3
2002-06-01,NA
2002-07-01,118.6
2002-08-01,NA
2002-09-01,118.6
2002-10-01,NA
2002-11-01,118.7
2002-12-01,NA
2003-01-01,119.2
2003-02-01,NA
2003-03-01,120.8
2003-04-01,NA
2003-05-01,120.9
2003-06-01,NA
2003-07-01,123.1
2003-08-01,NA
2003-09-01,122.4
2003-10-01,NA
2003-11-01,122.5
2003-12-01,NA
2004-01-01,123.3
2004-02-01,NA
2004-03-01,124
2004-04-01,NA
2004-05-01,124.4
2004-06-01,NA
2004-07-01,127.6
2004-08-01,NA
2004-09-01,127.6
2004-10-01,NA
2004-11-01,127
2004-12-01,NA
2005-01-01,128.7
2005-02-01,NA
2005-03-01,129.2
2005-04-01,NA
2005-05-01,129.9
2005-06-01,NA
2005-07-01,132.9
2005-08-01,NA
2005-09-01,131.2
2005-10-01,NA
2005-11-01,131.4
2005-12-01,NA
2006-01-01,132.7
2006-02-01,NA
2006-03-01,133.3
2006-04-01,NA
2006-05-01,134.4
2006-06-01,NA
2006-07-01,139.1
2006-08-01,NA
2006-09-01,138.6
2006-10-01,NA
2006-11-01,138.5
2006-12-01,NA
2007-01-01,139.95
2007-02-01,NA
2007-03-01,141.081
2007-04-01,NA
2007-05-01,140.752
2007-06-01,NA
2007-07-01,145.575
2007-08-01,NA
2007-09-01,144.462
2007-10-01,NA
2007-11-01,144.353
2007-12-01,NA
2008-01-01,145.925
2008-02-01,NA
2008-03-01,147.801
2008-04-01,NA
2008-05-01,148.653
2008-06-01,NA
2008-07-01,152.356
2008-08-01,NA
2008-09-01,151.671
2008-10-01,NA
2008-11-01,150.305
2008-12-01,NA
2009-01-01,150.681
2009-02-01,NA
2009-03-01,151.674
2009-04-01,NA
2009-05-01,152.349
2009-06-01,NA
2009-07-01,153.811
2009-08-01,NA
2009-09-01,152.94
2009-10-01,NA
2009-11-01,151.131
2009-12-01,NA
2010-01-01,151.224
2010-02-01,NA
2010-03-01,151.484
2010-04-01,NA
2010-05-01,151.863
2010-06-01,NA
2010-07-01,153.215
2010-08-01,NA
2010-09-01,153.239
2010-10-01,NA
2010-11-01,152.686
2010-12-01,NA
2011-01-01,153.243
2011-02-01,NA
2011-03-01,154.133
2011-04-01,NA
2011-05-01,154.137
2011-06-01,NA
2011-07-01,155.689
2011-08-01,NA
2011-09-01,155.428
2011-10-01,NA
2011-11-01,155.266
2011-12-01,NA
2012-01-01,156.488
2012-02-01,NA
2012-03-01,157.095
2012-04-01,NA
2012-05-01,157.78
2012-06-01,NA
2012-07-01,159.25
2012-08-01,NA
2012-09-01,160.003
2012-10-01,NA
2012-11-01,159.445
2012-12-01,NA
2013-01-01,160.134
2013-02-01,NA
2013-03-01,160.664
2013-04-01,NA
2013-05-01,160.555
2013-06-01,NA
2013-07-01,161.697
2013-08-01,NA
2013-09-01,161.977
2013-10-01,NA
2013-11-01,162.072
2013-12-01,NA
2014-01-01,162.8
2014-02-01,NA
2014-03-01,163.907
2014-04-01,NA
2014-05-01,163.189
2014-06-01,NA
2014-07-01,164.235
2014-08-01,NA
2014-09-01,165.115
2014-10-01,NA
2014-11-01,165.678
2014-12-01,NA
2015-01-01,166.015
2015-02-01,NA
2015-03-01,166.786
2015-04-01,NA
2015-05-01,166.864
2015-06-01,NA
2015-07-01,168.092
2015-08-01,NA
2015-09-01,168.462
2015-10-01,NA
2015-11-01,168.682
2015-12-01,NA
2016-01-01,168.587
2016-02-01,NA
2016-03-01,169.966
2016-04-01,NA
2016-05-01,170.732
2016-06-01,NA
2016-07-01,171.568
2016-08-01,NA
2016-09-01,171.416
2016-10-01,NA
2016-11-01,170.965
2016-12-01,NA
2017-01-01,170.882
2017-02-01,NA
2017-03-01,172.136
2017-04-01,NA
2017-05-01,172.744
2017-06-01,NA
2017-07-01,173.451
2017-08-01,NA
2017-09-01,174.155
2017-10-01,NA
2017-11-01,173.796
