"Date","APUS49D7471A"
2011-02-01,3.375
2011-03-01,3.739
2011-04-01,3.954
2011-05-01,4.033
2011-06-01,3.9
2011-07-01,3.82
2011-08-01,3.793
2011-09-01,3.896
2011-10-01,3.843
2011-11-01,3.725
2011-12-01,3.494
2012-01-01,3.488
2012-02-01,3.625
2012-03-01,4.046
2012-04-01,4.127
2012-05-01,4.207
2012-06-01,4.048
2012-07-01,3.619
2012-08-01,3.863
2012-09-01,4.056
2012-10-01,4.013
2012-11-01,3.52
2012-12-01,3.387
2013-01-01,3.419
2013-02-01,3.671
2013-03-01,3.844
2013-04-01,3.688
2013-05-01,3.886
2013-06-01,3.841
2013-07-01,3.871
2013-08-01,3.836
2013-09-01,3.711
2013-10-01,3.494
2013-11-01,3.293
2013-12-01,3.342
2014-01-01,3.416
2014-02-01,3.366
2014-03-01,3.624
2014-04-01,3.795
2014-05-01,3.92
2014-06-01,3.977
2014-07-01,4.007
2014-08-01,3.881
2014-09-01,3.794
2014-10-01,3.448
2014-11-01,3.048
2014-12-01,2.884
2015-01-01,2.348
2015-02-01,2.358
2015-03-01,2.904
2015-04-01,2.745
2015-05-01,3.049
2015-06-01,3.104
2015-07-01,3.199
2015-08-01,3.094
2015-09-01,2.791
2015-10-01,2.493
2015-11-01,2.414
2015-12-01,2.348
2016-01-01,2.326
2016-02-01,2.019
2016-03-01,2.119
2016-04-01,2.253
2016-05-01,2.437
2016-06-01,2.567
2016-07-01,2.561
2016-08-01,2.492
2016-09-01,2.597
2016-10-01,2.643
2016-11-01,2.594
2016-12-01,2.473
2017-01-01,2.686
2017-02-01,2.666
2017-03-01,2.726
2017-04-01,2.79
2017-05-01,2.765
2017-06-01,2.722
2017-07-01,2.704
2017-08-01,2.767
2017-09-01,2.953
2017-10-01,2.809
2017-11-01,2.9
2017-12-01,2.838
2018-01-01,2.839
2018-02-01,2.974
2018-03-01,3.023
2018-04-01,3.197
2018-05-01,3.346
2018-06-01,3.379
2018-07-01,3.311
2018-08-01,3.221
2018-09-01,3.248
2018-10-01,3.406
2018-11-01,3.374
2018-12-01,3.143
2019-01-01,2.944
2019-02-01,2.859
2019-03-01,2.93
2019-04-01,3.345
2019-05-01,3.545
2019-06-01,3.41
2019-07-01,3.286
2019-08-01,3.175
2019-09-01,3.114
2019-10-01,3.255
2019-11-01,3.284
2019-12-01,3.079
2020-01-01,2.964
2020-02-01,2.956
2020-03-01,2.95
2020-04-01,2.465
2020-05-01,2.374
2020-06-01,2.462
2020-07-01,2.621
2020-08-01,2.667
2020-09-01,2.689
2020-10-01,2.627
2020-11-01,2.608
2020-12-01,2.647
2021-01-01,2.726
2021-02-01,2.871
2021-03-01,3.165
2021-04-01,3.321
2021-05-01,3.448
2021-06-01,3.832
2021-07-01,4.013
2021-08-01,4.077
2021-09-01,4.07
2021-10-01,4.068
2021-11-01,4.09
2021-12-01,4.085
2022-01-01,4.138
2022-02-01,4.182
2022-03-01,4.848
2022-04-01,4.908
2022-05-01,5.212
2022-06-01,5.675
2022-07-01,5.46
2022-08-01,5.024
2022-09-01,4.949
2022-10-01,5.429
2022-11-01,4.965
2022-12-01,4.329
2023-01-01,4.242
2023-02-01,4.397
2023-03-01,4.49
2023-04-01,4.669
2023-05-01,4.79
2023-06-01,5.009
2023-07-01,5.137
2023-08-01,5.228
2023-09-01,5.27
2023-10-01,5.12
2023-11-01,4.742
