"Date","APUS48A7471A"
2018-01-01,2.3
2018-02-01,2.364
2018-03-01,2.396
2018-04-01,2.692
2018-05-01,2.928
2018-06-01,3.093
2018-07-01,2.968
2018-08-01,2.885
2018-09-01,2.878
2018-10-01,2.937
2018-11-01,2.881
2018-12-01,2.774
2019-01-01,2.594
2019-02-01,2.45
2019-03-01,2.578
2019-04-01,2.993
2019-05-01,3.199
2019-06-01,3.042
2019-07-01,2.813
2019-08-01,2.802
2019-09-01,2.95
2019-10-01,2.992
2019-11-01,3.011
2019-12-01,2.953
2020-01-01,2.921
2020-02-01,2.899
2020-03-01,2.731
2020-04-01,2.295
2020-05-01,2.121
2020-06-01,2.304
2020-07-01,2.4
2020-08-01,2.366
2020-09-01,2.359
2020-10-01,2.31
2020-11-01,2.275
2020-12-01,2.256
2021-01-01,2.413
2021-02-01,2.611
2021-03-01,3.109
2021-04-01,3.073
2021-05-01,3.133
2021-06-01,3.226
2021-07-01,3.226
2021-08-01,3.219
2021-09-01,3.246
2021-10-01,3.509
2021-11-01,3.865
2021-12-01,3.905
2022-01-01,3.756
2022-02-01,3.869
2022-03-01,4.629
2022-04-01,4.733
2022-05-01,5.057
2022-06-01,5.669
2022-07-01,5.075
2022-08-01,4.251
2022-09-01,4.292
2022-10-01,4.922
2022-11-01,4.548
2022-12-01,3.772
2023-01-01,3.591
2023-02-01,3.694
2023-03-01,4.332
2023-04-01,4.913
2023-05-01,5.054
2023-06-01,4.511
2023-07-01,3.999
2023-08-01,4.388
2023-09-01,4.879
2023-10-01,4.62
2023-11-01,3.855
