"Date","CUUR0000SERA02"
1983-12-01,100
1984-01-01,101.1
1984-02-01,101.9
1984-03-01,102.3
1984-04-01,103
1984-05-01,103.5
1984-06-01,103.9
1984-07-01,105
1984-08-01,104.9
1984-09-01,104.4
1984-10-01,104.5
1984-11-01,105.6
1984-12-01,106.1
1985-01-01,107.5
1985-02-01,108.8
1985-03-01,109.4
1985-04-01,109.7
1985-05-01,110.1
1985-06-01,110.6
1985-07-01,111
1985-08-01,111.8
1985-09-01,111.6
1985-10-01,111.8
1985-11-01,112.3
1985-12-01,112.5
1986-01-01,113.3
1986-02-01,114.8
1986-03-01,115.3
1986-04-01,115.2
1986-05-01,115.2
1986-06-01,115.5
1986-07-01,115.1
1986-08-01,115
1986-09-01,116
1986-10-01,116.6
1986-11-01,116.7
1986-12-01,116.8
1987-01-01,118.1
1987-02-01,120.7
1987-03-01,122.1
1987-04-01,121.7
1987-05-01,122.5
1987-06-01,123
1987-07-01,123.5
1987-08-01,124.3
1987-09-01,124.2
1987-10-01,124.9
1987-11-01,124.7
1987-12-01,127.9
1988-01-01,128.6
1988-02-01,127.4
1988-03-01,127.9
1988-04-01,129.7
1988-05-01,130.2
1988-06-01,129.9
1988-07-01,129.5
1988-08-01,133.1
1988-09-01,134
1988-10-01,141.9
1988-11-01,141.3
1988-12-01,141.4
1989-01-01,144.3
1989-02-01,144.3
1989-03-01,145.1
1989-04-01,140.9
1989-05-01,141.9
1989-06-01,143.7
1989-07-01,144.7
1989-08-01,143.4
1989-09-01,144.6
1989-10-01,144.3
1989-11-01,144.3
1989-12-01,146.8
1990-01-01,148.5
1990-02-01,151.2
1990-03-01,153.1
1990-04-01,152.8
1990-05-01,155.6
1990-06-01,159.6
1990-07-01,161.8
1990-08-01,163.5
1990-09-01,162.5
1990-10-01,161.7
1990-11-01,163.9
1990-12-01,166.1
1991-01-01,166.9
1991-02-01,169.9
1991-03-01,172.9
1991-04-01,172.3
1991-05-01,176.3
1991-06-01,177.8
1991-07-01,177.9
1991-08-01,177.2
1991-09-01,178.2
1991-10-01,179.2
1991-11-01,179.8
1991-12-01,180.4
1992-01-01,179
1992-02-01,181.7
1992-03-01,184.6
1992-04-01,186.5
1992-05-01,186.5
1992-06-01,187.8
1992-07-01,189.6
1992-08-01,189.2
1992-09-01,185.9
1992-10-01,187.3
1992-11-01,188.8
1992-12-01,187
1993-01-01,188.4
1993-02-01,194.3
1993-03-01,200.7
1993-04-01,201.5
1993-05-01,197.8
1993-06-01,200.1
1993-07-01,200.2
1993-08-01,201.2
1993-09-01,201
1993-10-01,201.2
1993-11-01,200.8
1993-12-01,200.1
1994-01-01,200.1
1994-02-01,200.6
1994-03-01,200.7
1994-04-01,200.1
1994-05-01,200.1
1994-06-01,199.1
1994-07-01,196.8
1994-08-01,195.6
1994-09-01,193.7
1994-10-01,193.3
1994-11-01,194.1
1994-12-01,194.9
1995-01-01,196.2
1995-02-01,197.9
1995-03-01,199.3
1995-04-01,200.2
1995-05-01,201.1
1995-06-01,201.2
1995-07-01,201.1
1995-08-01,201.8
1995-09-01,201.6
1995-10-01,202.2
1995-11-01,202.6
1995-12-01,202.8
1996-01-01,204.1
1996-02-01,206.8
1996-03-01,207.6
1996-04-01,209.4
1996-05-01,210.2
1996-06-01,211.5
1996-07-01,214.9
1996-08-01,215.8
1996-09-01,216.6
1996-10-01,217.7
1996-11-01,218.4
1996-12-01,218.6
1997-01-01,220.3
1997-02-01,223.8
1997-03-01,224.2
1997-04-01,225.5
1997-05-01,226.6
1997-06-01,228.7
1997-07-01,231.1
1997-08-01,232
1997-09-01,232.4
1997-10-01,232.8
1997-11-01,233.4
1997-12-01,233.6
1998-01-01,237.9
1998-02-01,241.7
1998-03-01,242
1998-04-01,242.7
1998-05-01,243.7
1998-06-01,245.3
1998-07-01,246.5
1998-08-01,247.5
1998-09-01,248.5
1998-10-01,248.1
1998-11-01,248.7
1998-12-01,249.8
1999-01-01,251.4
1999-02-01,253.5
1999-03-01,253.2
1999-04-01,253.3
1999-05-01,254.1
1999-06-01,254.5
1999-07-01,255.4
1999-08-01,256.3
1999-09-01,255.1
1999-10-01,255.6
1999-11-01,256
1999-12-01,256.8
2000-01-01,260.3
2000-02-01,263.3
2000-03-01,264.9
2000-04-01,264.8
2000-05-01,265.2
2000-06-01,266.7
2000-07-01,267.3
2000-08-01,269.2
2000-09-01,269.4
2000-10-01,270.1
2000-11-01,270.4
2000-12-01,270
2001-01-01,272.5
2001-02-01,275.4
2001-03-01,277.1
2001-04-01,277.8
2001-05-01,278.3
2001-06-01,278
2001-07-01,279.7
2001-08-01,280.3
2001-09-01,279.6
2001-10-01,280.3
2001-11-01,280.7
2001-12-01,280.9
2002-01-01,285.7
2002-02-01,290.4
2002-03-01,291.4
2002-04-01,292.8
2002-05-01,293.4
2002-06-01,295.4
2002-07-01,297.3
2002-08-01,296.4
2002-09-01,296.5
2002-10-01,298.8
2002-11-01,300.4
2002-12-01,301.3
2003-01-01,303.6
2003-02-01,306
2003-03-01,306.7
2003-04-01,307.5
2003-05-01,309
2003-06-01,310.4
2003-07-01,311.3
2003-08-01,311.3
2003-09-01,310.9
2003-10-01,311.8
2003-11-01,313
2003-12-01,312.6
2004-01-01,315.2
2004-02-01,318.4
2004-03-01,319.5
2004-04-01,322.4
2004-05-01,323
2004-06-01,323.4
2004-07-01,324
2004-08-01,324
2004-09-01,324.2
2004-10-01,324.6
2004-11-01,324.8
2004-12-01,325.2
2005-01-01,327.7
2005-02-01,329
2005-03-01,331.3
2005-04-01,332.4
2005-05-01,332.4
2005-06-01,326.7
2005-07-01,327.6
2005-08-01,334.2
2005-09-01,334.4
2005-10-01,335.4
2005-11-01,335.5
2005-12-01,336
2006-01-01,337.1
2006-02-01,338.6
2006-03-01,343
2006-04-01,346.1
2006-05-01,346.3
2006-06-01,346.7
2006-07-01,346.9
2006-08-01,347.4
2006-09-01,347.5
2006-10-01,347
2006-11-01,347.2
2006-12-01,344.7
2007-01-01,346.012
2007-02-01,348.195
2007-03-01,348.252
2007-04-01,350.592
2007-05-01,353.152
2007-06-01,353.152
2007-07-01,351.622
2007-08-01,351.174
2007-09-01,353.474
2007-10-01,355.034
2007-11-01,353.608
2007-12-01,353.432
2008-01-01,355.407
2008-02-01,357.842
2008-03-01,360.734
2008-04-01,361.324
2008-05-01,360.821
2008-06-01,358.766
2008-07-01,358.978
2008-08-01,361.771
2008-09-01,362.824
2008-10-01,360.654
2008-11-01,360.188
2008-12-01,359.854
2009-01-01,360.439
2009-02-01,364.127
2009-03-01,366.82
2009-04-01,368.032
2009-05-01,368.118
2009-06-01,369.774
2009-07-01,370.084
2009-08-01,370.138
2009-09-01,369.417
2009-10-01,367.79
2009-11-01,368.067
2009-12-01,368.083
2010-01-01,370.947
2010-02-01,370.828
2010-03-01,371.882
2010-04-01,372.295
2010-05-01,371.97
2010-06-01,374.917
2010-07-01,373.718
2010-08-01,372.933
2010-09-01,372.915
2010-10-01,373.464
2010-11-01,373.543
2010-12-01,369.132
2011-01-01,370.969
2011-02-01,375.354
2011-03-01,377.231
2011-04-01,378.766
2011-05-01,379.451
2011-06-01,378.656
2011-07-01,379.967
2011-08-01,379.215
2011-09-01,381.277
2011-10-01,381.753
2011-11-01,381.969
2011-12-01,383.032
2012-01-01,386.09
2012-02-01,390.45
2012-03-01,393.939
2012-04-01,395.221
2012-05-01,396.585
2012-06-01,397.14
2012-07-01,398.005
2012-08-01,399.267
2012-09-01,400.034
2012-10-01,397.143
2012-11-01,397.022
2012-12-01,396.775
2013-01-01,399.087
2013-02-01,403.588
2013-03-01,406.766
2013-04-01,407.231
2013-05-01,407.607
2013-06-01,407.205
2013-07-01,407.63
2013-08-01,407.36
2013-09-01,407.774
2013-10-01,407.714
2013-11-01,408.771
2013-12-01,407.644
2014-01-01,409.656
2014-02-01,413.052
2014-03-01,416.841
2014-04-01,417.616
2014-05-01,418.398
2014-06-01,418.773
2014-07-01,418.104
2014-08-01,415.002
2014-09-01,416.017
2014-10-01,417.537
2014-11-01,416.223
2014-12-01,416.436
2015-01-01,418.208
2015-02-01,421.254
2015-03-01,423.358
2015-04-01,424.955
2015-05-01,423.62
2015-06-01,423.862
2015-07-01,423.764
2015-08-01,421.594
2015-09-01,421.637
2015-10-01,423.23
2015-11-01,423.953
2015-12-01,424.055
2016-01-01,425.331
2016-02-01,431.667
2016-03-01,437.576
2016-04-01,438.978
2016-05-01,439.4
2016-06-01,441.928
2016-07-01,442.505
2016-08-01,439.59
2016-09-01,437.284
2016-10-01,438.292
2016-11-01,442.902
2016-12-01,443.947
2017-01-01,447.73
2017-02-01,454.553
2017-03-01,459.685
2017-04-01,461.112
2017-05-01,462.903
2017-06-01,463.673
2017-07-01,465.374
2017-08-01,465.966
2017-09-01,467.056
2017-10-01,465.57
2017-11-01,467.136
2017-12-01,465.176
2018-01-01,465.752
2018-02-01,470.245
2018-03-01,472.211
2018-04-01,470.069
2018-05-01,469.407
2018-06-01,469.203
2018-07-01,468.929
2018-08-01,470.559
2018-09-01,472.996
2018-10-01,470.687
2018-11-01,472.254
2018-12-01,473.126
2019-01-01,475.061
2019-02-01,477.965
2019-03-01,479.506
2019-04-01,477.678
2019-05-01,476.355
2019-06-01,475.287
2019-07-01,475.86
2019-08-01,478.811
2019-09-01,480.344
2019-10-01,482.189
2019-11-01,484.836
2019-12-01,489.021
2020-01-01,491.484
2020-02-01,493.577
2020-03-01,495.647
2020-04-01,496.543
2020-05-01,497.488
2020-06-01,495.854
2020-07-01,500.988
2020-08-01,503.704
2020-09-01,504.178
2020-10-01,505.518
2020-11-01,507.017
2020-12-01,509.545
2021-01-01,507.562
2021-02-01,512.696
2021-03-01,516.234
2021-04-01,516.709
2021-05-01,516.933
2021-06-01,521.305
2021-07-01,524.411
2021-08-01,525.761
2021-09-01,527.652
2021-10-01,527.003
2021-11-01,526.649
2021-12-01,524.005
2022-01-01,529.522
2022-02-01,535.075
2022-03-01,537.93
2022-04-01,540.675
2022-05-01,546.733
2022-06-01,546.71
2022-07-01,543.295
2022-08-01,541.47
2022-09-01,539.325
2022-10-01,542.687
2022-11-01,547.975
2022-12-01,544.717
2023-01-01,547.509
2023-02-01,560.978
2023-03-01,569.723
2023-04-01,571.894
2023-05-01,571.495
2023-06-01,570.953
2023-07-01,573.038
2023-08-01,575.575
2023-09-01,574.749
2023-10-01,572.417
2023-11-01,571.726
