"Date","CUURA311SAA"
1996-11-01,100
1996-12-01,NA
1997-01-01,99
1997-02-01,NA
1997-03-01,100.3
1997-04-01,NA
1997-05-01,101.4
1997-06-01,NA
1997-07-01,97.3
1997-08-01,NA
1997-09-01,99.2
1997-10-01,NA
1997-11-01,95.3
1997-12-01,NA
1998-01-01,94.1
1998-02-01,NA
1998-03-01,105.2
1998-04-01,NA
1998-05-01,100.9
1998-06-01,NA
1998-07-01,97.6
1998-08-01,NA
1998-09-01,98
1998-10-01,NA
1998-11-01,99.5
1998-12-01,NA
1999-01-01,95.9
1999-02-01,NA
1999-03-01,98.5
1999-04-01,NA
1999-05-01,100.4
1999-06-01,NA
1999-07-01,94.5
1999-08-01,NA
1999-09-01,101.8
1999-10-01,NA
1999-11-01,98.5
1999-12-01,NA
2000-01-01,97.9
2000-02-01,NA
2000-03-01,104.2
2000-04-01,NA
2000-05-01,97.6
2000-06-01,NA
2000-07-01,91.6
2000-08-01,NA
2000-09-01,100.1
2000-10-01,NA
2000-11-01,99.1
2000-12-01,NA
2001-01-01,94.2
2001-02-01,NA
2001-03-01,101.8
2001-04-01,NA
2001-05-01,98.4
2001-06-01,NA
2001-07-01,93.1
2001-08-01,NA
2001-09-01,104.1
2001-10-01,NA
2001-11-01,100.5
2001-12-01,NA
2002-01-01,93.2
2002-02-01,NA
2002-03-01,96.2
2002-04-01,NA
2002-05-01,92.5
2002-06-01,NA
2002-07-01,86.7
2002-08-01,NA
2002-09-01,95.5
2002-10-01,NA
2002-11-01,91.1
2002-12-01,NA
2003-01-01,91.1
2003-02-01,NA
2003-03-01,89.7
2003-04-01,NA
2003-05-01,91.6
2003-06-01,NA
2003-07-01,88.2
2003-08-01,NA
2003-09-01,94.9
2003-10-01,NA
2003-11-01,87.4
2003-12-01,NA
2004-01-01,80.6
2004-02-01,NA
2004-03-01,88.7
2004-04-01,NA
2004-05-01,86.8
2004-06-01,NA
2004-07-01,80.2
2004-08-01,NA
2004-09-01,91.1
2004-10-01,NA
2004-11-01,87.6
2004-12-01,NA
2005-01-01,85
2005-02-01,NA
2005-03-01,94
2005-04-01,NA
2005-05-01,92.3
2005-06-01,NA
2005-07-01,84.5
2005-08-01,NA
2005-09-01,96.6
2005-10-01,NA
2005-11-01,91.8
2005-12-01,NA
2006-01-01,91.6
2006-02-01,NA
2006-03-01,92.5
2006-04-01,NA
2006-05-01,91.2
2006-06-01,NA
2006-07-01,87.2
2006-08-01,NA
2006-09-01,94.3
2006-10-01,NA
2006-11-01,93.9
2006-12-01,NA
2007-01-01,90.06
2007-02-01,NA
2007-03-01,98.834
2007-04-01,NA
2007-05-01,94.091
2007-06-01,NA
2007-07-01,85.042
2007-08-01,NA
2007-09-01,95.929
2007-10-01,NA
2007-11-01,93.013
2007-12-01,NA
2008-01-01,88.051
2008-02-01,NA
2008-03-01,95.648
2008-04-01,NA
2008-05-01,90.855
2008-06-01,NA
2008-07-01,88.211
2008-08-01,NA
2008-09-01,95.933
2008-10-01,NA
2008-11-01,98.842
2008-12-01,NA
2009-01-01,91.152
2009-02-01,NA
2009-03-01,96.914
2009-04-01,NA
2009-05-01,96.228
2009-06-01,NA
2009-07-01,92.141
2009-08-01,NA
2009-09-01,95.201
2009-10-01,NA
2009-11-01,91.123
2009-12-01,NA
2010-01-01,89.147
2010-02-01,NA
2010-03-01,95.599
2010-04-01,NA
2010-05-01,91.327
2010-06-01,NA
2010-07-01,87.228
2010-08-01,NA
2010-09-01,93.112
2010-10-01,NA
2010-11-01,90.88
2010-12-01,NA
2011-01-01,93.46
2011-02-01,NA
2011-03-01,97.225
2011-04-01,NA
2011-05-01,100.517
2011-06-01,NA
2011-07-01,97.844
2011-08-01,NA
2011-09-01,97.518
2011-10-01,NA
2011-11-01,100.108
2011-12-01,NA
2012-01-01,95.28
2012-02-01,NA
2012-03-01,103.281
2012-04-01,NA
2012-05-01,100.382
2012-06-01,NA
2012-07-01,94.107
2012-08-01,NA
2012-09-01,103.602
2012-10-01,NA
2012-11-01,99.505
2012-12-01,NA
2013-01-01,92.915
2013-02-01,NA
2013-03-01,94.174
2013-04-01,NA
2013-05-01,95.197
2013-06-01,NA
2013-07-01,93.434
2013-08-01,NA
2013-09-01,99.525
2013-10-01,NA
2013-11-01,98.387
2013-12-01,NA
2014-01-01,93.392
2014-02-01,NA
2014-03-01,97.216
2014-04-01,NA
2014-05-01,97.231
2014-06-01,NA
2014-07-01,93.235
2014-08-01,NA
2014-09-01,102.863
2014-10-01,NA
2014-11-01,97.335
2014-12-01,NA
2015-01-01,90.108
2015-02-01,NA
2015-03-01,101.091
2015-04-01,NA
2015-05-01,97.189
2015-06-01,NA
2015-07-01,86.778
2015-08-01,NA
2015-09-01,98.415
2015-10-01,NA
2015-11-01,95.71
2015-12-01,NA
2016-01-01,95.831
2016-02-01,NA
2016-03-01,100.029
2016-04-01,NA
2016-05-01,102.971
2016-06-01,NA
2016-07-01,100.039
2016-08-01,NA
2016-09-01,109.06
2016-10-01,NA
2016-11-01,105.392
2016-12-01,NA
2017-01-01,101.113
2017-02-01,NA
2017-03-01,101.528
2017-04-01,NA
2017-05-01,103.849
2017-06-01,NA
2017-07-01,98.921
2017-08-01,NA
2017-09-01,109.65
2017-10-01,NA
2017-11-01,103.351
