"Date","APUS12B7471A"
1978-01-01,0.621
1978-02-01,0.618
1978-03-01,0.619
1978-04-01,0.619
1978-05-01,0.625
1978-06-01,0.632
1978-07-01,0.643
1978-08-01,0.651
1978-09-01,0.656
1978-10-01,0.659
1978-11-01,0.665
1978-12-01,0.669
1979-01-01,0.677
1979-02-01,0.694
1979-03-01,0.722
1979-04-01,0.77
1979-05-01,0.818
1979-06-01,0.882
1979-07-01,0.953
1979-08-01,0.983
1979-09-01,1.013
1979-10-01,1.015
1979-11-01,1.033
1979-12-01,1.05
1980-01-01,1.115
1980-02-01,1.192
1980-03-01,1.235
1980-04-01,1.233
1980-05-01,1.24
1980-06-01,1.249
1980-07-01,1.241
1980-08-01,1.237
1980-09-01,1.229
1980-10-01,1.218
1980-11-01,1.217
1980-12-01,1.227
1981-01-01,1.272
1981-02-01,1.363
1981-03-01,1.378
1981-04-01,1.365
1981-05-01,1.353
1981-06-01,1.342
1981-07-01,1.361
1981-08-01,1.357
1981-09-01,1.361
1981-10-01,1.359
1981-11-01,1.355
1981-12-01,1.354
1982-01-01,1.34
1982-02-01,1.315
1982-03-01,1.266
1982-04-01,1.206
1982-05-01,1.192
1982-06-01,1.242
1982-07-01,1.263
1982-08-01,1.262
1982-09-01,1.25
1982-10-01,1.247
1982-11-01,1.237
1982-12-01,1.228
1983-01-01,1.211
1983-02-01,1.168
1983-03-01,1.121
1983-04-01,1.172
1983-05-01,1.19
1983-06-01,1.194
1983-07-01,1.216
1983-08-01,1.246
1983-09-01,1.257
1983-10-01,1.258
1983-11-01,1.254
1983-12-01,1.242
1984-01-01,1.227
1984-02-01,1.215
1984-03-01,1.209
1984-04-01,1.212
1984-05-01,1.214
1984-06-01,1.217
1984-07-01,1.208
1984-08-01,1.201
1984-09-01,1.205
1984-10-01,1.209
1984-11-01,1.196
1984-12-01,1.192
1985-01-01,1.152
1985-02-01,1.145
1985-03-01,1.162
1985-04-01,1.146
1985-05-01,1.174
1985-06-01,1.189
1985-07-01,1.199
1985-08-01,1.196
1985-09-01,1.193
1985-10-01,1.196
1985-11-01,1.202
1985-12-01,1.201
1986-01-01,1.197
1986-02-01,1.146
1986-03-01,1.001
1986-04-01,0.833
1986-05-01,0.879
1986-06-01,0.927
1986-07-01,0.871
1986-08-01,0.819
1986-09-01,0.835
1986-10-01,0.82
1986-11-01,0.808
1986-12-01,0.809
1987-01-01,0.843
1987-02-01,0.876
1987-03-01,0.887
1987-04-01,0.904
1987-05-01,0.915
1987-06-01,0.932
1987-07-01,0.954
1987-08-01,0.977
1987-09-01,0.974
1987-10-01,0.962
1987-11-01,0.963
1987-12-01,0.957
1988-01-01,0.942
1988-02-01,0.932
1988-03-01,0.915
1988-04-01,0.915
1988-05-01,0.925
1988-06-01,0.927
1988-07-01,0.941
1988-08-01,0.947
1988-09-01,0.947
1988-10-01,0.948
1988-11-01,0.953
1988-12-01,0.958
1989-01-01,0.959
1989-02-01,0.966
1989-03-01,0.978
1989-04-01,1.047
1989-05-01,1.131
1989-06-01,1.142
1989-07-01,1.144
1989-08-01,1.093
1989-09-01,1.093
1989-10-01,1.1
1989-11-01,1.087
1989-12-01,1.083
1990-01-01,1.105
1990-02-01,1.115
1990-03-01,1.108
1990-04-01,1.108
1990-05-01,1.118
1990-06-01,1.148
1990-07-01,1.154
1990-08-01,1.228
1990-09-01,1.36
1990-10-01,1.484
1990-11-01,1.506
1990-12-01,1.508
1991-01-01,1.363
1991-02-01,1.233
1991-03-01,1.188
1991-04-01,1.206
1991-05-01,1.234
1991-06-01,1.233
1991-07-01,1.217
1991-08-01,1.208
1991-09-01,1.247
1991-10-01,1.241
1991-11-01,1.241
1991-12-01,1.243
1992-01-01,1.213
1992-02-01,1.181
1992-03-01,1.158
1992-04-01,1.135
1992-05-01,1.169
1992-06-01,1.23
1992-07-01,1.256
1992-08-01,1.258
1992-09-01,1.252
1992-10-01,1.263
1992-11-01,1.295
1992-12-01,1.291
1993-01-01,1.27
1993-02-01,1.249
1993-03-01,1.216
1993-04-01,1.171
1993-05-01,1.172
1993-06-01,1.184
1993-07-01,1.177
1993-08-01,1.153
1993-09-01,1.145
1993-10-01,1.171
1993-11-01,1.195
1993-12-01,1.181
1994-01-01,1.159
1994-02-01,1.156
1994-03-01,1.151
1994-04-01,1.128
1994-05-01,1.144
1994-06-01,1.177
1994-07-01,1.201
1994-08-01,1.249
1994-09-01,1.25
1994-10-01,1.148
1994-11-01,1.192
1994-12-01,1.211
1995-01-01,1.205
1995-02-01,1.202
1995-03-01,1.188
1995-04-01,1.184
1995-05-01,1.212
1995-06-01,1.253
1995-07-01,1.252
1995-08-01,1.219
1995-09-01,1.194
1995-10-01,1.169
1995-11-01,1.127
1995-12-01,1.116
1996-01-01,1.149
1996-02-01,1.142
1996-03-01,1.145
1996-04-01,1.218
1996-05-01,1.301
1996-06-01,1.293
1996-07-01,1.294
1996-08-01,1.317
1996-09-01,1.296
