"Date","CUURA421SATCLTB"
2009-12-01,100
2010-01-01,100.317
2010-02-01,100.249
2010-03-01,100.688
2010-04-01,100.518
2010-05-01,100.604
2010-06-01,101.187
2010-07-01,101.454
2010-08-01,101.464
2010-09-01,101.4
2010-10-01,100.807
2010-11-01,99.706
2010-12-01,99.984
2011-01-01,100.649
2011-02-01,100.807
2011-03-01,101.583
2011-04-01,102.519
2011-05-01,103.495
2011-06-01,104.584
2011-07-01,103.72
2011-08-01,103.744
2011-09-01,103.148
2011-10-01,103.078
2011-11-01,103.625
2011-12-01,103.111
2012-01-01,103.098
2012-02-01,103.152
2012-03-01,103.843
2012-04-01,104.801
2012-05-01,105.173
2012-06-01,105.932
2012-07-01,106.162
2012-08-01,105.854
2012-09-01,105.126
2012-10-01,104.558
2012-11-01,103.644
2012-12-01,103.379
2013-01-01,103.929
2013-02-01,104.028
2013-03-01,104.457
2013-04-01,104.587
2013-05-01,104.661
2013-06-01,104.246
2013-07-01,104.275
2013-08-01,104.356
2013-09-01,103.761
2013-10-01,103.397
2013-11-01,102.906
2013-12-01,103.268
2014-01-01,103.061
2014-02-01,103.2
2014-03-01,103.576
2014-04-01,103.578
2014-05-01,103.998
2014-06-01,103.468
2014-07-01,103.941
2014-08-01,103.818
2014-09-01,103.188
2014-10-01,102.889
2014-11-01,101.3
2014-12-01,101.068
2015-01-01,101.76
2015-02-01,102.702
2015-03-01,103.623
2015-04-01,104.012
2015-05-01,104.209
2015-06-01,104.07
2015-07-01,103.811
2015-08-01,103.237
2015-09-01,102.074
2015-10-01,101.556
2015-11-01,100.741
2015-12-01,100.578
2016-01-01,100.437
2016-02-01,101.295
2016-03-01,102.295
2016-04-01,102.78
2016-05-01,102.223
2016-06-01,101.525
2016-07-01,101.591
2016-08-01,101.08
2016-09-01,100.219
2016-10-01,99.557
2016-11-01,98.669
2016-12-01,99.253
2017-01-01,99.8
2017-02-01,99.781
2017-03-01,99.494
2017-04-01,99.851
2017-05-01,99.879
2017-06-01,99.313
2017-07-01,98.849
2017-08-01,98.893
2017-09-01,98.601
2017-10-01,98.636
2017-11-01,98.743
2017-12-01,99.293
