"Date","APUC00072621"
1987-01-01,37.588
1987-02-01,37.706
1987-03-01,37.808
1987-04-01,37.866
1987-05-01,37.571
1987-06-01,39.307
1987-07-01,39.439
1987-08-01,39.214
1987-09-01,39.119
1987-10-01,38.631
1987-11-01,38.416
1987-12-01,38.133
1988-01-01,38.259
1988-02-01,38.374
1988-03-01,38.263
1988-04-01,38.876
1988-05-01,38.408
1988-06-01,38.464
1988-07-01,38.527
1988-08-01,38.574
1988-09-01,38.998
1988-10-01,38.926
1988-11-01,38.333
1988-12-01,38.398
1989-01-01,38.513
1989-02-01,38.247
1989-03-01,38.122
1989-04-01,38.484
1989-05-01,38.471
1989-06-01,38.821
1989-07-01,38.911
1989-08-01,38.808
1989-09-01,38.871
1989-10-01,38.774
1989-11-01,38.53
1989-12-01,38.781
1990-01-01,38.559
1990-02-01,38.698
1990-03-01,38.417
1990-04-01,38.638
1990-05-01,38.915
1990-06-01,39.544
1990-07-01,39.575
1990-08-01,39.43
1990-09-01,39.307
1990-10-01,39.406
1990-11-01,38.866
1990-12-01,39.095
1991-01-01,39.382
1991-02-01,39.768
1991-03-01,39.33
1991-04-01,39.326
1991-05-01,39.497
1991-06-01,40.295
1991-07-01,40.09
1991-08-01,39.956
1991-09-01,40.044
1991-10-01,40.132
1991-11-01,39.948
1991-12-01,40.127
1992-01-01,40.419
1992-02-01,40.574
1992-03-01,40.549
1992-04-01,40.406
1992-05-01,40.989
1992-06-01,42.052
1992-07-01,42.057
1992-08-01,42.507
1992-09-01,42.568
1992-10-01,42.436
1992-11-01,41.131
1992-12-01,41.781
1993-01-01,41.681
1993-02-01,42.007
1993-03-01,41.943
1993-04-01,42.151
1993-05-01,42.241
1993-06-01,43.432
1993-07-01,43.274
1993-08-01,43.069
1993-09-01,43.116
1993-10-01,42.571
1993-11-01,41.873
1993-12-01,41.983
1994-01-01,42.045
1994-02-01,42.042
1994-03-01,41.494
1994-04-01,41.576
1994-05-01,41.553
1994-06-01,42.561
1994-07-01,42.474
1994-08-01,42.355
1994-09-01,42.594
1994-10-01,42.286
1994-11-01,41.484
1994-12-01,41.191
1995-01-01,41.412
1995-02-01,41.337
1995-03-01,41.594
1995-04-01,41.717
1995-05-01,41.762
1995-06-01,43.047
1995-07-01,42.93
1995-08-01,43.066
1995-09-01,41.241
1995-10-01,42.96
1995-11-01,42.268
1995-12-01,41.603
1996-01-01,41.841
1996-02-01,41.857
1996-03-01,42.028
1996-04-01,42.561
1996-05-01,42.442
1996-06-01,43.209
1996-07-01,42.699
1996-08-01,43.627
1996-09-01,43.378
1996-10-01,43.464
1996-11-01,42.666
1996-12-01,42.238
1997-01-01,42.566
1997-02-01,42.337
1997-03-01,42.499
1997-04-01,43.204
1997-05-01,43.691
1997-06-01,44.172
1997-07-01,43.952
1997-08-01,43.491
1997-09-01,43.65
1997-10-01,43.527
1997-11-01,43.236
1997-12-01,38.109
