"Date","CUURD200SAGS"
2009-12-01,100
2010-01-01,100.6
2010-02-01,100.77
2010-03-01,101.721
2010-04-01,102.213
2010-05-01,102.551
2010-06-01,102.668
2010-07-01,102.253
2010-08-01,102.657
2010-09-01,103.295
2010-10-01,103.2
2010-11-01,103.851
2010-12-01,104.063
2011-01-01,104.822
2011-02-01,104.909
2011-03-01,104.743
2011-04-01,104.743
2011-05-01,105.754
2011-06-01,106.005
2011-07-01,106.465
2011-08-01,106.564
2011-09-01,107.336
2011-10-01,107.633
2011-11-01,107.673
2011-12-01,108.219
2012-01-01,108.596
2012-02-01,108.715
2012-03-01,108.708
2012-04-01,108.979
2012-05-01,109.017
2012-06-01,108.806
2012-07-01,109.235
2012-08-01,109.24
2012-09-01,109.404
2012-10-01,109.404
2012-11-01,109.553
2012-12-01,109.878
2013-01-01,109.952
2013-02-01,110.553
2013-03-01,111.051
2013-04-01,110.861
2013-05-01,112.793
2013-06-01,112.903
2013-07-01,114.653
2013-08-01,115.038
2013-09-01,115.038
2013-10-01,115.038
2013-11-01,115.036
2013-12-01,115.718
2014-01-01,115.756
2014-02-01,116.577
2014-03-01,116.577
2014-04-01,116.913
2014-05-01,117.549
2014-06-01,117.724
2014-07-01,117.724
2014-08-01,117.513
2014-09-01,117.516
2014-10-01,118.173
2014-11-01,118.173
2014-12-01,118.173
2015-01-01,119.23
2015-02-01,119.333
2015-03-01,119.436
2015-04-01,119.78
2015-05-01,119.859
2015-06-01,119.902
2015-07-01,116.285
2015-08-01,116.434
2015-09-01,111.046
2015-10-01,110.228
2015-11-01,111.369
2015-12-01,111.968
2016-01-01,112.25
2016-02-01,112.606
2016-03-01,119.104
2016-04-01,119.223
2016-05-01,129.063
2016-06-01,129.557
2016-07-01,129.615
2016-08-01,130.253
2016-09-01,130.496
2016-10-01,130.788
2016-11-01,130.783
2016-12-01,130.265
2017-01-01,130.378
2017-02-01,130.534
2017-03-01,130.282
2017-04-01,130.858
2017-05-01,132.817
2017-06-01,132.921
2017-07-01,133.912
2017-08-01,133.992
2017-09-01,135.064
2017-10-01,135.161
2017-11-01,134.439
2017-12-01,135.208
