"Date","CUUR0000SERA"
2013-07-01,99.769
2013-08-01,99.652
2013-09-01,99.566
2013-10-01,99.468
2013-11-01,99.542
2013-12-01,99.01
2014-01-01,99.444
2014-02-01,100.055
2014-03-01,100.672
2014-04-01,100.821
2014-05-01,100.773
2014-06-01,100.597
2014-07-01,99.993
2014-08-01,99.267
2014-09-01,99.276
2014-10-01,99.557
2014-11-01,98.945
2014-12-01,98.702
2015-01-01,99.144
2015-02-01,99.824
2015-03-01,100.088
2015-04-01,100.249
2015-05-01,100.058
2015-06-01,99.916
2015-07-01,99.705
2015-08-01,99.254
2015-09-01,99.289
2015-10-01,99.495
2015-11-01,99.414
2015-12-01,99.181
2016-01-01,99.373
2016-02-01,100.504
2016-03-01,101.51
2016-04-01,101.676
2016-05-01,101.719
2016-06-01,101.975
2016-07-01,101.719
2016-08-01,100.948
2016-09-01,100.231
2016-10-01,100.207
2016-11-01,100.779
2016-12-01,100.714
2017-01-01,101.682
2017-02-01,103.132
2017-03-01,104.011
2017-04-01,104.35
2017-05-01,104.603
2017-06-01,104.713
2017-07-01,104.803
2017-08-01,104.861
2017-09-01,104.994
2017-10-01,104.636
2017-11-01,104.39
2017-12-01,103.844
2018-01-01,104.014
2018-02-01,104.65
2018-03-01,104.921
2018-04-01,104.412
2018-05-01,104.278
2018-06-01,104.115
2018-07-01,103.973
2018-08-01,103.991
2018-09-01,104.306
2018-10-01,103.959
2018-11-01,103.995
2018-12-01,103.8
2019-01-01,104.478
2019-02-01,105
2019-03-01,105.119
2019-04-01,104.75
2019-05-01,104.381
2019-06-01,104.162
2019-07-01,103.922
2019-08-01,104.38
2019-09-01,104.552
2019-10-01,104.763
2019-11-01,104.946
2019-12-01,105.427
2020-01-01,105.68
2020-02-01,106.034
2020-03-01,106.466
2020-04-01,106.51
2020-05-01,106.53
2020-06-01,106.214
2020-07-01,107.223
2020-08-01,107.898
2020-09-01,108.103
2020-10-01,108.183
2020-11-01,107.882
2020-12-01,108.207
2021-01-01,107.888
2021-02-01,108.911
2021-03-01,109.417
2021-04-01,109.612
2021-05-01,109.731
2021-06-01,110.503
2021-07-01,111.16
2021-08-01,111.756
2021-09-01,111.917
2021-10-01,111.704
2021-11-01,111.366
2021-12-01,110.531
2022-01-01,111.376
2022-02-01,112.225
2022-03-01,112.236
2022-04-01,112.568
2022-05-01,113.457
2022-06-01,113.514
2022-07-01,113
2022-08-01,112.544
2022-09-01,112.307
2022-10-01,112.911
2022-11-01,113.219
2022-12-01,112.507
2023-01-01,113.362
2023-02-01,115.056
2023-03-01,116.021
2023-04-01,116.545
2023-05-01,116.495
2023-06-01,116.289
2023-07-01,116.39
2023-08-01,116.65
2023-09-01,116.753
2023-10-01,116.379
2023-11-01,115.469
