"Date","CUURD000SAA"
1977-12-01,81.3
1978-01-01,NA
1978-02-01,79.5
1978-03-01,NA
1978-04-01,80.6
1978-05-01,NA
1978-06-01,82
1978-07-01,NA
1978-08-01,81
1978-09-01,NA
1978-10-01,82.5
1978-11-01,NA
1978-12-01,82.5
1979-01-01,NA
1979-02-01,81.4
1979-03-01,NA
1979-04-01,84.1
1979-05-01,NA
1979-06-01,85.3
1979-07-01,NA
1979-08-01,84.8
1979-09-01,NA
1979-10-01,87.8
1979-11-01,NA
1979-12-01,88.8
1980-01-01,NA
1980-02-01,86.8
1980-03-01,NA
1980-04-01,90.5
1980-05-01,NA
1980-06-01,92
1980-07-01,NA
1980-08-01,91.5
1980-09-01,NA
1980-10-01,94.4
1980-11-01,NA
1980-12-01,94.2
1981-01-01,NA
1981-02-01,92.6
1981-03-01,NA
1981-04-01,95.2
1981-05-01,NA
1981-06-01,95.8
1981-07-01,NA
1981-08-01,96.8
1981-09-01,NA
1981-10-01,98.5
1981-11-01,NA
1981-12-01,98
1982-01-01,NA
1982-02-01,94.4
1982-03-01,NA
1982-04-01,98.7
1982-05-01,NA
1982-06-01,97.2
1982-07-01,NA
1982-08-01,96.6
1982-09-01,NA
1982-10-01,99.3
1982-11-01,NA
1982-12-01,98.5
1983-01-01,NA
1983-02-01,97.3
1983-03-01,NA
1983-04-01,100.1
1983-05-01,NA
1983-06-01,100.1
1983-07-01,NA
1983-08-01,100
1983-09-01,NA
1983-10-01,103.4
1983-11-01,NA
1983-12-01,102.8
1984-01-01,NA
1984-02-01,99.6
1984-03-01,NA
1984-04-01,101.9
1984-05-01,NA
1984-06-01,101.5
1984-07-01,NA
1984-08-01,101.2
1984-09-01,NA
1984-10-01,104.9
1984-11-01,NA
1984-12-01,104.4
1985-01-01,NA
1985-02-01,102.7
1985-03-01,NA
1985-04-01,104.2
1985-05-01,NA
1985-06-01,104.5
1985-07-01,NA
1985-08-01,104.4
1985-09-01,NA
1985-10-01,107.3
1985-11-01,NA
1985-12-01,107
1986-01-01,NA
1986-02-01,103.6
1986-03-01,NA
1986-04-01,105.7
1986-05-01,NA
1986-06-01,105.3
1986-07-01,NA
1986-08-01,104.9
1986-09-01,NA
1986-10-01,107.9
1986-11-01,NA
1986-12-01,106.7
1987-01-01,103.6
1987-02-01,101.7
1987-03-01,103
1987-04-01,105.1
1987-05-01,105.5
1987-06-01,103.5
1987-07-01,101.5
1987-08-01,102.5
1987-09-01,107
1987-10-01,110.3
1987-11-01,111.6
1987-12-01,109.8
1988-01-01,106.8
1988-02-01,105.9
1988-03-01,110.2
1988-04-01,115.2
1988-05-01,114.5
1988-06-01,114
1988-07-01,111.7
1988-08-01,109.5
1988-09-01,113.8
1988-10-01,115.8
1988-11-01,115.7
1988-12-01,114.4
1989-01-01,111.2
1989-02-01,112.8
1989-03-01,115.9
1989-04-01,119.7
1989-05-01,119.6
1989-06-01,116.9
1989-07-01,114.1
1989-08-01,110.3
1989-09-01,113.2
1989-10-01,118.5
1989-11-01,118.8
1989-12-01,116
1990-01-01,112.3
1990-02-01,115.9
1990-03-01,122.8
1990-04-01,124.9
1990-05-01,124.4
1990-06-01,123.5
1990-07-01,121.8
1990-08-01,121.5
1990-09-01,123.4
1990-10-01,124.9
1990-11-01,124.8
1990-12-01,124.2
1991-01-01,122.5
1991-02-01,123.9
1991-03-01,127.2
1991-04-01,128.2
1991-05-01,128.1
1991-06-01,126.1
1991-07-01,124.9
1991-08-01,126.4
1991-09-01,129.3
1991-10-01,128.7
1991-11-01,129.7
1991-12-01,128.5
1992-01-01,127.9
1992-02-01,129.3
1992-03-01,130.5
1992-04-01,132.3
1992-05-01,132.5
1992-06-01,130.6
1992-07-01,128.6
1992-08-01,129
1992-09-01,131.6
1992-10-01,133.1
1992-11-01,133.7
1992-12-01,133.9
1993-01-01,130.6
1993-02-01,131.7
1993-03-01,134.7
1993-04-01,135
1993-05-01,134.5
1993-06-01,133.3
1993-07-01,131
1993-08-01,131.6
1993-09-01,132.7
1993-10-01,135.4
1993-11-01,137.6
1993-12-01,136.1
1994-01-01,134.4
1994-02-01,130.4
1994-03-01,131.3
1994-04-01,135.4
1994-05-01,136.3
1994-06-01,133.7
1994-07-01,131
1994-08-01,130.4
1994-09-01,134
1994-10-01,139.4
1994-11-01,138.8
1994-12-01,135.9
1995-01-01,133
1995-02-01,132.7
1995-03-01,134.1
1995-04-01,136.1
1995-05-01,135
1995-06-01,133.7
1995-07-01,131.8
1995-08-01,131.5
1995-09-01,134.6
1995-10-01,139.2
1995-11-01,139.7
1995-12-01,137.9
1996-01-01,134.5
1996-02-01,132.1
1996-03-01,134.3
1996-04-01,134.6
1996-05-01,134.5
1996-06-01,132.2
1996-07-01,130
1996-08-01,128.1
1996-09-01,130.5
1996-10-01,137.5
1996-11-01,137.9
1996-12-01,132.8
1997-01-01,130.1
1997-02-01,129.8
1997-03-01,132.3
1997-04-01,137.3
1997-05-01,136.5
1997-06-01,132.6
1997-07-01,131.4
1997-08-01,130.4
1997-09-01,133.4
1997-10-01,135.2
1997-11-01,137.3
1997-12-01,136
1998-01-01,133.2
1998-02-01,132.6
1998-03-01,133
1998-04-01,135.4
1998-05-01,135.5
1998-06-01,134
1998-07-01,131.2
1998-08-01,131.9
1998-09-01,132.9
1998-10-01,137.1
1998-11-01,139
1998-12-01,136.3
1999-01-01,134.8
1999-02-01,133.6
1999-03-01,135.2
1999-04-01,135.6
1999-05-01,135.7
1999-06-01,134.2
1999-07-01,132.7
1999-08-01,130.4
1999-09-01,133.2
1999-10-01,136.7
1999-11-01,137.4
1999-12-01,136.7
2000-01-01,130.6
2000-02-01,130.3
2000-03-01,135.7
2000-04-01,138.3
2000-05-01,136
2000-06-01,131.8
